,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,SRC_HUMAN_D0_1YI6_A,True,34.6,1.8616667985916138
1,True,AAPK2_HUMAN_D0_2YZA_A,True,27.7,1.6184378862380981
2,True,JAK2_HUMAN_D1_3IO7_A,True,34.4,1.3323310613632202
3,True,MK14_HUMAN_D0_4KIQ_C,True,25.3,1.6899316310882568
4,True,MK14_MOUSE_D0_4LOP_B,True,25.3,1.640442132949829
5,True,AAPK2_HUMAN_D0_4CFF_C,True,27.7,1.6786417961120605
6,True,MKNK1_HUMAN_D0_2HW6_B,True,23.5,1.7016128301620483
7,True,PKNB_MYCTU_D0_2FUM_D,True,23.1,1.554664134979248
8,True,MK14_HUMAN_D0_3GCP_A,True,25.3,1.782769799232483
9,True,MK14_MOUSE_D0_2GTM_A,True,25.3,1.675042986869812
10,True,IRE1_YEAST_D0_3LJ1_A,True,28.5,2.230968475341797
11,True,MK14_HUMAN_D0_3HV7_A,True,25.3,1.6069542169570923
12,True,MUSK_RAT_D0_1LUF_A,True,40.8,1.1640808582305908
13,False,ABL1_HUMAN_D0_2HYY_C,False,38.6,
14,True,MP2K1_HUMAN_D0_4AN9_A,True,27.4,1.4407926797866821
15,True,PIM1_HUMAN_D0_4MED_A,True,25.7,1.8567613363265991
16,True,MK14_MOUSE_D0_1YW2_A,True,25.4,1.7196272611618042
17,True,CDK9_HUMAN_D0_4IMY_E,True,23.9,1.7655706405639648
18,True,TBK1_HUMAN_D0_4EUT_B,True,24.5,1.7162431478500366
19,True,STK24_HUMAN_D0_3CKX_A,True,29.4,1.511889100074768
20,True,PAK4_HUMAN_D0_4FIE_A,True,28.2,1.9764652252197266
21,True,MK14_HUMAN_D0_3DS6_D,True,25.3,1.7391324043273926
22,True,MK13_HUMAN_D0_3COI_A,True,27.1,1.6164950132369995
23,True,SRC_HUMAN_D0_1YOJ_B,True,37.5,1.8857110738754272
24,True,PDPK1_HUMAN_D0_3PWY_A,True,26.8,2.042290449142456
25,True,CDK2_HUMAN_D0_3R9H_A,True,26.9,1.2689183950424194
26,True,SRC_CHICK_D0_3EN6_A,True,35.0,1.7402613162994385
27,True,ABL1_HUMAN_D0_2HZ4_A,True,38.6,1.5126949548721313
28,True,DAPK2_HUMAN_D0_1ZWS_C,True,25.9,1.5494288206100464
29,True,MP2K6_HUMAN_D0_3ENM_C,True,29.7,1.4733914136886597
30,True,ABL1_HUMAN_D0_2HZI_B,True,38.6,1.4738705158233643
31,True,RN5A_HUMAN_D0_4OAV_B,True,24.3,1.3862979412078857
32,True,WEE1_HUMAN_D0_2IO6_A,True,23.6,1.28722083568573
33,True,DAPK2_HUMAN_D0_2CKE_A,True,25.9,1.686203122138977
34,True,GSK3B_HUMAN_D0_1Q5K_A,True,27.0,1.7889089584350586
35,True,TYK2_MOUSE_D1_4E20_A,True,34.5,1.066732406616211
36,True,JAK1_HUMAN_D1_4EHZ_B,True,35.8,1.4326776266098022
37,True,IKKB_HUMAN_D0_4E3C_D,True,23.9,1.4261499643325806
38,True,MK10_HUMAN_D0_3FI3_A,True,23.3,1.643096923828125
39,True,ACVL1_HUMAN_D0_3MY0_H,True,22.7,1.915789008140564
40,True,ABL1_MOUSE_D0_3DK7_B,True,39.3,1.3368885517120361
41,True,TGFR1_HUMAN_D0_3TZM_A,True,27.8,1.7634750604629517
42,True,TTK_HUMAN_D0_2ZMC_A,True,23.2,1.3773354291915894
43,True,ACVL1_HUMAN_D0_3MY0_A,True,22.7,2.072875738143921
44,True,MK08_HUMAN_D0_4HYU_A,True,22.9,1.853561282157898
45,True,MK01_HUMAN_D0_3I60_A,True,26.3,1.9498722553253174
46,True,MK14_HUMAN_D0_3NNU_A,True,25.3,1.6262346506118774
47,True,STK3_HUMAN_D0_4LG4_C,True,27.4,1.401772141456604
48,True,PIM2_HUMAN_D0_2IWI_A,True,27.1,1.6936302185058594
49,True,ABL1_MOUSE_D0_3IK3_B,True,39.3,1.2139809131622314
50,True,MERTK_HUMAN_D0_4M3Q_B,True,42.6,1.4174189567565918
51,True,DAPK2_HUMAN_D0_1ZWS_B,True,25.9,1.5653845071792603
52,True,GSK3B_HUMAN_D0_2JLD_B,True,27.5,1.7663902044296265
53,True,MK11_HUMAN_D0_3GP0_A,True,25.3,1.6187071800231934
54,True,MARK2_HUMAN_D0_3IEC_C,True,28.6,1.4152952432632446
55,True,MP2K1_HUMAN_D0_4MNE_H,True,25.2,1.497357964515686
56,True,DAPK2_MOUSE_D0_2YAA_A,True,25.1,1.7770812511444092
57,True,MAPK2_HUMAN_D0_3GOK_G,True,24.8,2.0747158527374268
58,True,MARK2_HUMAN_D0_3IEC_A,True,28.6,1.4219802618026733
59,True,HASP_HUMAN_D0_3F2N_A,True,17.5,1.9612737894058228
60,True,IGF1R_HUMAN_D0_3F5P_H,True,37.0,1.1856119632720947
61,False,FGFR1_HUMAN_D0_1FGI_B,False,54.2,
62,True,CDK2_HUMAN_D0_3QTU_A,True,26.9,1.286056637763977
63,True,TYK2_MOUSE_D1_4E1Z_A,True,34.4,1.0875929594039917
64,True,DDR1_HUMAN_D0_4CKR_A,True,32.8,0.8616089224815369
65,True,AKT2_HUMAN_D0_3E88_B,True,27.1,1.4796892404556274
66,True,TYK2_HUMAN_D1_4PY1_A,True,33.3,1.0647165775299072
67,True,CDK2_HUMAN_D0_4EOR_A,True,26.9,1.2244179248809814
68,True,CSK21_HUMAN_D0_4MD9_F,True,22.8,2.0439651012420654
69,True,CSK21_HUMAN_D0_3U9C_A,True,23.1,1.4764090776443481
70,True,GSK3B_HUMAN_D0_3ZRL_B,True,27.0,1.841622233390808
71,True,CDK2_HUMAN_D0_3RPV_A,True,26.9,1.2709250450134277
72,True,PIM1_HUMAN_D0_3VBT_A,True,25.7,1.8736770153045654
73,True,AKT2_HUMAN_D0_2UW9_A,True,27.1,1.4301097393035889
74,True,ALK_HUMAN_D0_2XB7_A,True,36.8,1.2706042528152466
75,True,ST32A_HUMAN_D0_4FR4_C,True,23.9,1.9157387018203735
76,True,MERTK_HUMAN_D0_4MH7_A,True,42.6,1.5321115255355835
77,True,NAHK_BIFL2_D0_4OCK_A,True,18.0,2.186850070953369
78,True,MET_HUMAN_D0_3ZBX_A,True,41.4,1.3492318391799927
79,False,EPHB4_HUMAN_D0_2VX1_A,False,32.6,
80,True,ERN1_HUMAN_D0_3P23_C,True,26.0,1.3961073160171509
81,True,PIM1_HUMAN_D0_2O65_A,True,25.7,1.89900541305542
82,True,AKT2_HUMAN_D0_1O6K_A,True,27.1,1.4825176000595093
83,False,DAPK1_HUMAN_D0_2Y4P_D,False,27.8,
84,True,KSYK_HUMAN_D0_4FYN_A,True,37.1,1.301633596420288
85,True,MELK_HUMAN_D0_4D2V_D,True,29.3,1.3043726682662964
86,True,MK08_HUMAN_D0_2G01_B,True,23.5,1.8294905424118042
87,True,MET_HUMAN_D0_3L8V_A,True,41.4,1.2566825151443481
88,True,ALK_HUMAN_D0_4CMO_A,True,36.8,1.4364348649978638
89,True,NTRK1_HUMAN_D0_4PMP_A,True,39.1,1.3803974390029907
90,True,MK14_HUMAN_D0_3MH2_A,True,24.4,1.7494713068008423
91,False,FGFR2_HUMAN_D0_4J98_B,False,54.5,
92,True,EPHA4_MOUSE_D0_2HEL_A,True,36.3,1.7462085485458374
93,True,MK14_MOUSE_D0_4LOQ_C,True,25.3,1.6558856964111328
94,True,MK14_HUMAN_D0_3O8T_A,True,23.9,1.6627458333969116
95,True,AURKA_HUMAN_D0_2J50_B,True,27.1,1.135724663734436
96,True,CDK5_HUMAN_D0_1UNL_B,True,26.9,1.9253438711166382
97,True,EGFR_HUMAN_D0_2ITX_A,True,36.2,1.3565994501113892
98,True,CSK21_HUMAN_D0_4MD9_K,True,23.1,1.5410972833633423
99,True,AKT1_HUMAN_D0_3OCB_B,True,27.4,1.6746283769607544
100,True,M3K7_HUMAN_D0_4GS6_A,True,34.8,2.408763885498047
101,True,PLK2_HUMAN_D0_4I6B_A,True,25.1,1.586472988128662
102,True,CSK2A_MAIZE_D0_2OXY_B,True,19.6,1.9525176286697388
103,True,EGFR_HUMAN_D0_4WKQ_A,True,36.2,1.3158131837844849
104,True,EPHB1_HUMAN_D0_3ZFX_D,True,36.4,1.8607438802719116
105,True,AURKA_HUMAN_D0_3LAU_A,True,27.1,1.1035510301589966
106,True,ALK_HUMAN_D0_4CNH_A,True,36.8,1.2811808586120605
107,True,KC1G3_HUMAN_D0_2CHL_A,True,24.0,1.2022148370742798
108,True,ITK_HUMAN_D0_3MIY_B,True,38.1,1.8601301908493042
109,True,KAPCA_MOUSE_D0_3TNP_F,True,27.5,1.721224308013916
110,True,KAPCA_MOUSE_D0_3PVB_A,True,27.5,1.6707922220230103
111,True,MK14_HUMAN_D0_4KIN_C,True,25.3,1.6578425168991089
112,True,KS6A1_HUMAN_D1_4NIF_A,True,23.6,2.3455610275268555
113,True,CDK2_HUMAN_D0_2R3G_A,True,26.9,1.2423068284988403
114,True,KAPCA_BOVIN_D0_3ZO2_A,True,27.8,1.7400705814361572
115,True,PAK4_HUMAN_D0_4JDJ_A,True,28.2,2.0174996852874756
116,True,SRC_CHICK_D0_2OIQ_A,True,35.0,1.7546066045761108
117,True,PIM1_HUMAN_D0_1YWV_A,True,25.7,1.8559085130691528
118,True,MAPK2_HUMAN_D0_3A2C_C,True,27.1,2.0985398292541504
119,True,MK01_RAT_D0_3O71_A,True,26.3,1.8938301801681519
120,True,CHK1_HUMAN_D0_4GH2_A,True,28.0,1.3076903820037842
121,True,MK14_HUMAN_D0_4EHV_A,True,25.3,1.6910836696624756
122,True,CSK21_HUMAN_D0_3FWQ_B,True,23.1,1.6283196210861206
123,True,MK14_HUMAN_D0_2FST_X,True,25.3,1.7701425552368164
124,True,KAPCA_MOUSE_D0_1REJ_A,True,27.5,1.647096037864685
125,True,KAPCA_BOVIN_D0_1Q24_A,True,27.8,1.7350218296051025
126,True,KAPCA_MOUSE_D0_1RDQ_E,True,27.5,1.675186276435852
127,True,MET_HUMAN_D0_4DEH_A,True,41.4,1.2585252523422241
128,True,KAE1B_METJA_D0_3EN9_B,True,21.8,2.170386791229248
129,True,CDK2_HUMAN_D0_3R71_A,True,26.9,1.1867680549621582
130,True,PAK4_HUMAN_D0_2BVA_B,True,28.2,1.9254865646362305
131,True,ERN1_MOUSE_D0_4PL5_C,True,27.1,1.600699543952942
132,True,EPHA3_HUMAN_D0_2QO7_A,True,37.4,1.8768316507339478
133,True,MK14_HUMAN_D0_1OUK_A,True,25.3,1.6036791801452637
134,True,CDK2_HUMAN_D0_3IG7_A,True,26.9,1.210227370262146
135,True,DAPK1_HUMAN_D0_3F5U_A,True,27.8,1.232448935508728
136,True,CHK1_HUMAN_D0_2YM8_A,True,28.0,1.2608486413955688
137,True,MP2K2_HUMAN_D0_1S9I_B,True,24.8,1.7051032781600952
138,True,NEK1_HUMAN_D0_4B9D_B,True,22.9,1.3713469505310059
139,True,CDK2_HUMAN_D0_1JSV_A,True,26.9,1.2257294654846191
140,True,KAPCA_PIG_D0_1CDK_B,True,28.2,1.712082028388977
141,True,JAK2_HUMAN_D1_4E6D_A,True,34.4,1.3897149562835693
142,True,JAK1_HUMAN_D1_4IVD_B,True,35.8,1.4605579376220703
143,True,MET_HUMAN_D0_3CTH_A,True,41.4,1.2412532567977905
144,True,CDK2_HUMAN_D0_2WMB_C,True,26.9,1.453494668006897
145,True,CHK1_HUMAN_D0_3OT3_A,True,28.0,1.2967830896377563
146,True,MK14_HUMAN_D0_4F9Y_A,True,25.3,1.5946669578552246
147,True,AURKA_HUMAN_D0_4C3P_D,True,27.1,1.254341721534729
148,True,CDK6_HUMAN_D0_1JOW_B,True,28.5,1.4978959560394287
149,True,KAPCA_BOVIN_D0_4C38_A,True,29.0,1.6590262651443481
150,True,ITK_HUMAN_D0_3V5L_C,True,37.5,1.6183868646621704
151,True,CHK2_HUMAN_D0_2YIT_A,True,28.1,1.8202576637268066
152,True,IRE1_YEAST_D0_3SDJ_B,True,28.3,1.6560131311416626
153,True,MERTK_HUMAN_D0_3BPR_A,True,42.6,1.381716012954712
154,True,ARBK1_BOVIN_D0_2BCJ_A,True,28.5,1.8411675691604614
155,True,BRAF_HUMAN_D0_4MNE_G,True,30.3,1.5455302000045776
156,True,AURKA_HUMAN_D0_2XNG_A,True,27.1,1.1206650733947754
157,True,MK14_HUMAN_D0_3MH3_A,True,25.2,1.7503423690795898
158,True,CDK9_HUMAN_D0_3BLQ_A,True,23.9,1.7183873653411865
159,True,MK14_HUMAN_D0_2QD9_A,True,25.3,1.578626275062561
160,True,CSK21_HUMAN_D0_3OWL_A,True,23.1,1.4917718172073364
161,True,AURKA_HUMAN_D0_3UOD_A,True,27.1,1.138538122177124
162,True,AURKA_HUMAN_D0_3QBN_A,True,27.4,1.267472743988037
163,True,KAPCA_MOUSE_D0_1SYK_A,True,27.5,1.644802451133728
164,True,KAPCA_MOUSE_D0_4IAC_A,True,27.5,1.728203296661377
165,True,MARK2_RAT_D0_2WZJ_F,True,28.6,1.5682597160339355
166,True,BRAF_HUMAN_D0_1UWH_B,True,30.3,1.3664544820785522
167,True,MAPK2_HUMAN_D0_3KC3_J,True,24.8,2.0580739974975586
168,True,IRE1_YEAST_D0_3SDJ_L,True,28.3,1.644193172454834
169,True,IGF1R_HUMAN_D0_1M7N_B,True,37.0,1.687604546546936
170,True,CDC2H_PLAFK_D0_1V0P_A,True,26.3,1.7355797290802002
171,True,MAPK3_HUMAN_D0_3SHE_A,True,27.6,1.779179334640503
172,True,CDK2_HUMAN_D0_3QTQ_A,True,26.9,1.2494436502456665
173,True,HCK_HUMAN_D0_3VS5_B,True,42.1,1.4642550945281982
174,True,AURKA_HUMAN_D0_3UO5_A,True,27.1,1.1394290924072266
175,True,IGF1R_HUMAN_D0_3QQU_C,True,37.0,1.19992196559906
176,True,MK01_RAT_D0_3ZUV_A,True,26.5,1.8635045289993286
177,True,AURKA_HUMAN_D0_3UNZ_B,True,27.6,1.173476219177246
178,True,CSK21_RAT_D0_2R7I_A,True,23.1,1.559801697731018
179,True,AVR2A_HUMAN_D0_3Q4T_B,True,24.5,2.217881202697754
180,True,JAK2_HUMAN_D1_4BBF_D,True,34.4,1.329978585243225
181,True,CDK9_HUMAN_D0_3MI9_A,True,23.9,1.7021827697753906
182,True,DAPK2_HUMAN_D0_2A27_G,True,25.9,1.6806364059448242
183,True,ILK_HUMAN_D0_3KMW_A,True,28.0,2.226320505142212
184,True,AURKA_HUMAN_D0_4JBQ_A,True,27.1,1.1612567901611328
185,True,AURKA_HUMAN_D0_4DED_A,True,27.1,1.1852115392684937
186,True,FGFR2_HUMAN_D0_3B2T_A,True,54.9,1.1944807767868042
187,True,CDK6_HUMAN_D0_1XO2_B,True,28.5,1.4832079410552979
188,True,CDK2_HUMAN_D0_4EOQ_A,True,26.9,1.3240033388137817
189,False,FGFR1_HUMAN_D0_3TT0_B,False,54.2,
