,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,STK3_HUMAN_D0_4LG4_C,True,25.8,1.9800280332565308
1,True,AAPK2_HUMAN_D0_2YZA_A,True,29.6,2.005629777908325
2,True,ROCK1_HUMAN_D0_3TWJ_B,True,24.3,1.9427084922790527
3,True,CDK9_HUMAN_D0_4IMY_E,True,26.0,2.043212652206421
4,True,MK14_MOUSE_D0_4LOQ_C,True,23.1,2.0450310707092285
5,True,TYK2_HUMAN_D1_4PY1_A,True,34.8,2.0202932357788086
6,True,MK14_HUMAN_D0_4KIQ_C,True,23.1,2.0671403408050537
7,True,AAPK2_HUMAN_D0_4CFF_C,True,29.6,2.047311544418335
8,True,GSK3B_HUMAN_D0_2JLD_B,True,22.0,1.8764499425888062
9,True,ABL1_HUMAN_D0_2HYY_C,True,44.4,1.9870994091033936
10,True,MK14_MOUSE_D0_2GTM_A,True,23.1,1.9930408000946045
11,True,ABL1_HUMAN_D0_2HZ4_A,True,44.4,1.9897924661636353
12,True,ABL1_HUMAN_D0_2HZI_B,True,44.4,1.9931106567382812
13,True,MK14_HUMAN_D0_3NNU_A,True,23.1,2.008929491043091
14,True,EPHA3_HUMAN_D0_2QON_A,True,35.5,2.0226690769195557
15,True,CSK21_HUMAN_D0_1PJK_A,True,20.9,1.992463231086731
16,True,PIM1_HUMAN_D0_4MED_A,True,24.5,1.9728809595108032
17,True,CDK5_HUMAN_D0_1UNL_B,True,24.9,1.8533539772033691
18,True,MK14_MOUSE_D0_1YW2_A,True,22.7,2.0799009799957275
19,True,ABL1_MOUSE_D0_3DK7_B,True,45.6,2.0243942737579346
20,False,JAK3_HUMAN_D1_3ZC6_D,True,36.8,
21,True,TBK1_HUMAN_D0_4EUT_B,True,23.1,1.9721083641052246
22,True,PAK4_HUMAN_D0_4JDJ_A,True,23.4,2.0673511028289795
23,True,MP2K1_HUMAN_D0_4AN9_A,True,25.0,1.9655272960662842
24,True,IRE1_YEAST_D0_3FBV_H,True,23.8,1.923527717590332
25,True,TYK2_MOUSE_D1_4E1Z_A,True,33.0,2.003632068634033
26,True,MP2K6_HUMAN_D0_3ENM_C,True,23.0,2.0311312675476074
27,True,CDK2_HUMAN_D0_3QTU_A,True,24.2,1.9240165948867798
28,True,MK14_HUMAN_D0_3DS6_D,True,23.1,2.07637882232666
29,True,PIM1_HUMAN_D0_3VBT_A,True,24.5,1.94710373878479
30,True,MUSK_RAT_D0_1LUF_A,True,45.1,1.995527982711792
31,True,JAK2_HUMAN_D1_3IO7_A,True,31.1,2.011049509048462
32,True,ABL1_MOUSE_D0_3IK3_B,True,45.6,2.0063610076904297
33,True,MK14_HUMAN_D0_3O8T_A,True,21.6,2.014502763748169
34,True,MKNK1_HUMAN_D0_2HW6_B,True,20.9,2.0268688201904297
35,True,ST32A_HUMAN_D0_4FR4_C,True,22.4,2.0484235286712646
36,True,MK14_HUMAN_D0_3GCP_A,True,23.1,2.075526475906372
37,True,CDK2_HUMAN_D0_3RPV_A,True,24.2,1.9411804676055908
38,True,EGFR_HUMAN_D0_2ITX_A,True,39.2,1.9601713418960571
39,True,MK10_HUMAN_D0_3FI3_A,True,23.1,1.8797632455825806
40,True,MK14_MOUSE_D0_4LOP_B,True,23.1,1.987945795059204
41,False,CDK7_HUMAN_D0_1UA2_D,False,23.4,
42,True,CDK2_HUMAN_D0_3R1Y_A,True,24.2,1.9537042379379272
43,True,DAPK2_HUMAN_D0_2CKE_A,True,23.6,2.0447230339050293
44,True,MK13_HUMAN_D0_3COI_A,True,22.3,2.029855966567993
45,True,STK24_HUMAN_D0_3CKX_A,True,26.6,1.9834479093551636
46,True,NTRK1_HUMAN_D0_4PMP_A,True,39.1,1.996485948562622
47,True,MK11_HUMAN_D0_3GP0_A,True,22.7,1.9979863166809082
48,True,MK14_HUMAN_D0_3HV7_A,True,23.1,2.0640499591827393
49,False,SRC_HUMAN_D0_1YOJ_B,True,39.5,
50,True,CDK2_HUMAN_D0_3QTQ_A,True,24.2,1.9485090970993042
51,True,CDK2_HUMAN_D0_4EOR_A,True,24.2,1.942172884941101
52,False,DAPK1_HUMAN_D0_2Y4P_D,False,25.9,
53,True,ACVL1_HUMAN_D0_3MY0_A,True,27.5,2.0447733402252197
54,True,PLK2_HUMAN_D0_4I6B_A,True,23.9,2.0196118354797363
55,True,ACVL1_HUMAN_D0_3MY0_H,True,27.5,2.0550591945648193
56,True,DAPK2_MOUSE_D0_2YAA_A,True,23.6,2.0315146446228027
57,True,MK14_HUMAN_D0_4KIN_C,True,23.1,2.0450384616851807
58,True,RN5A_HUMAN_D0_4OAV_B,True,20.7,2.0588855743408203
59,True,ERN1_MOUSE_D0_4PL5_C,True,26.0,1.983296275138855
60,False,FGFR1_HUMAN_D0_1FGI_B,False,40.7,
61,True,CDK2_HUMAN_D0_3QHR_C,True,24.2,1.9366527795791626
62,True,DAPK2_HUMAN_D0_1ZWS_C,True,23.6,2.042649269104004
63,True,CSK2A_MAIZE_D0_2OXY_B,True,19.8,1.9879639148712158
64,True,MARK2_HUMAN_D0_3IEC_A,True,25.4,1.9790754318237305
65,True,EPHB1_HUMAN_D0_3ZFX_D,True,37.5,2.011770725250244
66,True,PIM1_HUMAN_D0_1YWV_A,True,24.5,1.905129313468933
67,True,MK08_HUMAN_D0_4HYU_A,True,22.6,2.051725387573242
68,True,MK14_HUMAN_D0_4EHV_A,True,23.1,2.0371484756469727
69,True,MP2K2_HUMAN_D0_1S9I_B,True,21.2,1.941839337348938
70,False,PIM1_HUMAN_D0_2O65_A,True,24.5,
71,True,PIM2_HUMAN_D0_2IWI_A,True,23.5,1.934995412826538
72,True,DAPK2_HUMAN_D0_1ZWS_B,True,23.6,2.0465314388275146
73,True,IGF1R_HUMAN_D0_3F5P_H,True,42.1,2.086489677429199
74,True,PAK4_HUMAN_D0_2BVA_B,True,23.4,2.1088907718658447
75,True,AKT2_HUMAN_D0_1O6K_A,True,28.7,2.0091633796691895
76,False,EPHB4_HUMAN_D0_2VX1_A,False,34.4,
77,True,MK01_HUMAN_D0_3I60_A,True,22.0,1.9446862936019897
78,True,HASP_HUMAN_D0_3F2N_A,True,21.6,2.0142061710357666
79,True,AKT2_HUMAN_D0_3E88_B,True,28.7,2.007331371307373
80,True,ERN1_HUMAN_D0_3P23_C,True,25.6,1.9553743600845337
81,False,FGFR1_HUMAN_D0_3RHX_B,False,40.7,
82,True,AKT2_HUMAN_D0_2UW9_A,True,28.7,2.0128347873687744
83,True,CSK21_HUMAN_D0_4MD9_K,True,20.9,2.064213275909424
84,True,MERTK_HUMAN_D0_4MH7_A,True,64.7,2.0349464416503906
85,True,GSK3B_HUMAN_D0_3ZRL_B,True,22.0,1.8956763744354248
86,True,MERTK_HUMAN_D0_4M3Q_B,True,64.7,1.9826081991195679
87,True,MELK_HUMAN_D0_4D2V_D,True,24.7,2.015803337097168
88,True,NAHK_BIFL2_D0_4OCK_A,True,20.5,2.149282217025757
89,True,SRC_CHICK_D0_3EN6_A,True,39.8,1.9991960525512695
90,True,AKT1_HUMAN_D0_3OCB_B,True,27.8,2.0201900005340576
91,True,CDK2_HUMAN_D0_2R3G_A,True,24.2,1.9408223628997803
92,True,ALK_HUMAN_D0_2XB7_A,True,39.2,2.0063836574554443
93,True,MAPK2_HUMAN_D0_3GOK_G,True,24.4,1.9978045225143433
94,True,ALK_HUMAN_D0_4CMO_A,True,39.2,1.9910540580749512
95,True,PDPK1_HUMAN_D0_3PWY_A,True,28.0,2.000173807144165
96,True,MK14_HUMAN_D0_1OUK_A,True,23.1,2.0168492794036865
97,True,MARK2_HUMAN_D0_3IEC_C,True,25.4,2.012556314468384
98,True,ARBK1_BOVIN_D0_2BCJ_A,True,21.7,1.9161204099655151
99,True,TTK_HUMAN_D0_2ZMC_A,True,19.1,2.1028823852539062
100,True,AURKA_HUMAN_D0_2J50_B,True,26.7,1.9941662549972534
101,True,ALK_HUMAN_D0_4CNH_A,True,39.2,2.0253982543945312
102,True,SRC_HUMAN_D0_1YI6_A,True,39.8,1.949293613433838
103,True,M3K7_HUMAN_D0_4GS6_A,True,29.7,1.9795846939086914
104,True,KSYK_HUMAN_D0_4FYN_A,True,34.3,1.9824872016906738
105,True,EPHA4_MOUSE_D0_2HEL_A,True,35.5,2.0163536071777344
106,True,SRC_CHICK_D0_2OIQ_A,True,39.8,1.9899777173995972
107,True,CDK2_HUMAN_D0_3R71_A,True,24.2,1.9711453914642334
108,True,FAK1_HUMAN_D0_2IJM_A,True,39.8,2.0037806034088135
109,True,CSK21_HUMAN_D0_3U9C_A,True,20.9,2.014812707901001
110,True,MK14_HUMAN_D0_2QD9_A,True,23.1,2.0358614921569824
111,True,EGFR_HUMAN_D0_4WKQ_A,True,39.2,1.9462337493896484
112,True,MET_HUMAN_D0_3ZBX_A,True,44.8,1.9637314081192017
113,True,KS6A1_HUMAN_D1_4NIF_A,True,22.1,2.007059335708618
114,True,MP2K1_HUMAN_D0_4MNE_H,True,22.3,2.0280516147613525
115,True,MERTK_HUMAN_D0_3BPR_A,True,64.7,1.9753086566925049
116,True,AURKA_HUMAN_D0_3LAU_A,True,26.7,1.9950953722000122
117,True,MK14_HUMAN_D0_2FST_X,True,23.1,2.0691661834716797
118,True,MET_HUMAN_D0_3L8V_A,True,44.8,1.9577455520629883
119,True,MK14_HUMAN_D0_3MH2_A,True,21.4,2.024348258972168
120,True,AURKA_HUMAN_D0_2XNG_A,True,26.7,2.017498731613159
121,True,CHK2_HUMAN_D0_2YIT_A,True,24.0,2.0098891258239746
122,True,CSK21_HUMAN_D0_3FWQ_B,True,20.9,2.018097400665283
123,True,CSK21_HUMAN_D0_4MD9_F,True,20.9,2.1564815044403076
124,True,MK01_RAT_D0_3ZUV_A,True,22.0,1.961151361465454
125,True,MET_HUMAN_D0_4DEH_A,True,44.8,1.9965578317642212
126,True,KAPCA_MOUSE_D0_3TNP_F,True,26.3,1.973637580871582
127,True,KC1G3_HUMAN_D0_2CHL_A,True,20.3,2.020442008972168
128,True,DAPK1_HUMAN_D0_3F5U_A,True,25.9,2.0193135738372803
129,True,MAPK3_HUMAN_D0_3SHE_A,True,23.4,1.991433024406433
130,True,KAPCA_MOUSE_D0_1REJ_A,True,26.3,1.9795087575912476
131,True,KAPCA_MOUSE_D0_3PVB_A,True,26.3,1.9838452339172363
132,True,AURKA_HUMAN_D0_3UNZ_B,True,26.8,2.0099010467529297
133,True,DDR1_HUMAN_D0_4CKR_A,True,35.2,1.9981908798217773
134,True,LCK_HUMAN_D0_1QPE_A,True,38.2,1.9809306859970093
135,True,KAPCA_PIG_D0_1CDK_B,True,26.7,2.0082216262817383
136,True,MK08_HUMAN_D0_2G01_B,True,23.1,1.9855467081069946
137,True,CHK1_HUMAN_D0_2YM8_A,True,24.9,2.0422232151031494
138,True,KAPCA_MOUSE_D0_1RDQ_E,True,26.3,1.9874210357666016
139,True,KAPCA_MOUSE_D0_4IAC_A,True,26.3,2.0118918418884277
140,True,KAPCA_BOVIN_D0_4C38_A,True,27.8,1.9830440282821655
141,True,KAPCA_BOVIN_D0_1Q24_A,True,25.9,2.0272836685180664
142,True,NEK1_HUMAN_D0_4B9D_B,True,25.7,1.9575471878051758
143,True,MARK2_RAT_D0_2WZJ_F,True,25.4,1.9346466064453125
144,True,DAPK2_HUMAN_D0_2A27_G,True,23.6,2.022611618041992
145,True,MET_HUMAN_D0_3CTH_A,True,44.8,1.9900084733963013
146,True,MK01_RAT_D0_3O71_A,True,22.0,1.9897735118865967
147,True,CDK2_HUMAN_D0_3EZR_A,True,24.2,1.9938770532608032
148,True,KAE1B_METJA_D0_3EN9_B,True,20.2,1.8749710321426392
149,True,MK14_HUMAN_D0_4F9Y_A,True,23.1,2.0408194065093994
150,True,AURKA_HUMAN_D0_3UO5_A,True,26.7,2.0120084285736084
151,True,JAK2_HUMAN_D1_4E6D_A,True,31.1,2.042426347732544
152,True,EPHA3_HUMAN_D0_2QO7_A,True,35.5,2.01727557182312
153,True,CHK1_HUMAN_D0_2GHG_A,True,24.9,2.044945240020752
154,True,MK14_HUMAN_D0_3MH3_A,True,22.2,2.051316261291504
