,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,STK3_HUMAN_D0_4LG4_C,True,29.0,0.47621285915374756
1,True,GSK3B_HUMAN_D0_3ZRL_B,True,23.7,0.81214439868927
2,True,MK14_HUMAN_D0_1OUK_A,True,24.0,1.1385891437530518
3,True,TGFR1_HUMAN_D0_2X7O_C,True,27.9,0.4164361357688904
4,True,HASP_HUMAN_D0_3F2N_A,True,22.1,1.208426833152771
5,True,JAK2_HUMAN_D1_4BBF_D,True,34.7,0.38721856474876404
6,True,MP2K1_HUMAN_D0_4MNE_H,True,26.3,0.6726245284080505
7,True,AAPK2_HUMAN_D0_2YZA_A,True,25.7,1.0519824028015137
8,True,CDK2_HUMAN_D0_4BCO_C,True,24.8,0.7923716306686401
9,True,AAPK2_HUMAN_D0_4CFF_C,True,25.7,0.5864743590354919
10,False,FGFR1_HUMAN_D0_4F63_A,False,37.0,
11,True,ROCK1_HUMAN_D0_3TWJ_B,True,24.4,0.8847346305847168
12,True,TYK2_HUMAN_D1_4GFO_A,True,32.8,0.44857537746429443
13,True,JAK2_HUMAN_D1_4BBF_C,True,34.7,0.3514544665813446
14,True,JAK2_HUMAN_D1_4C62_B,True,33.6,0.47715410590171814
15,True,CDK2_HUMAN_D0_4EOK_C,True,24.8,0.7778162956237793
16,True,SRC_CHICK_D0_4LGH_A,True,47.2,0.5362652540206909
17,True,TAOK2_RAT_D0_1U5R_A,True,27.6,0.5270690321922302
18,False,CDK7_HUMAN_D0_1UA2_D,False,24.4,
19,True,TYK2_MOUSE_D1_4E1Z_A,True,34.4,0.45337480306625366
20,True,SRC_CHICK_D0_3LOK_B,True,49.1,0.661727249622345
21,True,SLK_HUMAN_D0_2JFL_A,True,27.6,0.7723343372344971
22,True,KAPCA_MOUSE_D0_1SYK_A,True,24.3,0.4847297966480255
23,True,MK14_HUMAN_D0_3NNU_A,True,24.0,1.1252927780151367
24,True,KAPCA_MOUSE_D0_2QVS_E,True,24.3,0.4974903166294098
25,True,PLK1_HUMAN_D0_2RKU_A,True,26.5,0.4250388443470001
26,True,MK08_HUMAN_D0_2G01_B,True,27.5,0.9298481345176697
27,True,ST32A_HUMAN_D0_4FR4_C,True,25.5,0.6432784795761108
28,True,ABL1_MOUSE_D0_3IK3_B,True,42.1,0.6445198059082031
29,True,MUSK_RAT_D0_1LUF_A,True,42.0,0.6697120666503906
30,True,CSK21_HUMAN_D0_4MD9_K,True,21.4,1.1554454565048218
31,True,PKNB_MYCTU_D0_2FUM_D,True,24.4,0.6830592751502991
32,True,PAK4_HUMAN_D0_4JDJ_A,True,26.2,0.38706451654434204
33,True,CDK2_HUMAN_D0_3R9H_A,True,24.8,0.9746115803718567
34,True,MP2K1_HUMAN_D0_4AN9_A,True,27.4,0.46992984414100647
35,True,CSK21_HUMAN_D0_3OWL_A,True,21.4,1.1484715938568115
36,True,CDK5_HUMAN_D0_1UNL_B,True,24.4,0.545364499092102
37,True,ABL1_MOUSE_D0_3DK7_B,True,42.1,0.39053672552108765
38,True,MET_HUMAN_D0_3CTH_A,True,39.3,0.5721607208251953
39,True,SRC_CHICK_D0_2OIQ_A,True,47.2,0.5747451782226562
40,True,TYK2_HUMAN_D1_4PY1_A,True,33.2,0.4360882639884949
41,True,PIM1_HUMAN_D0_4MED_A,True,26.1,1.2503557205200195
42,True,EPHB1_HUMAN_D0_3ZFX_D,True,81.7,0.22386585175991058
43,True,MKNK1_HUMAN_D0_2HW6_B,True,23.7,0.9714503884315491
44,True,MK14_HUMAN_D0_3O8T_A,True,21.0,1.1916191577911377
45,True,ACVL1_HUMAN_D0_3MY0_A,True,26.0,0.5617552995681763
46,True,MK14_HUMAN_D0_3GCP_A,True,24.0,1.2396451234817505
47,True,CDK2_HUMAN_D0_3R1Y_A,True,24.8,0.9453856945037842
48,True,ACVL1_HUMAN_D0_3MY0_H,True,26.0,0.5094178915023804
49,True,MK14_MOUSE_D0_2GTM_A,True,24.8,1.312235713005066
50,True,MAPK3_HUMAN_D0_3SHE_A,True,24.5,0.9213464260101318
51,True,IRE1_YEAST_D0_3FBV_H,True,26.0,0.4861871898174286
52,True,PLK2_HUMAN_D0_4I6B_A,True,23.5,0.4371553361415863
53,True,MP2K6_HUMAN_D0_3ENM_C,True,26.8,0.9974715113639832
54,True,MK14_HUMAN_D0_4KIQ_C,True,24.0,1.0804457664489746
55,True,MK14_MOUSE_D0_4LOQ_C,True,24.8,1.1914618015289307
56,True,EGFR_HUMAN_D0_2ITX_A,True,36.3,0.3092786371707916
57,True,MK14_MOUSE_D0_1YW2_A,True,23.3,1.3302973508834839
58,False,FGFR2_HUMAN_D0_4J98_B,False,38.9,
59,True,ERN1_MOUSE_D0_4PL5_C,True,23.7,1.080899953842163
60,True,MK14_HUMAN_D0_4KIN_C,True,24.0,1.0239351987838745
61,True,MK14_HUMAN_D0_3DS6_D,True,24.0,1.0794481039047241
62,True,PIM1_HUMAN_D0_1YWV_A,True,26.1,1.2555338144302368
63,True,EPHA3_HUMAN_D0_2QON_A,True,84.0,0.4117770493030548
64,True,CDK2_HUMAN_D0_3QHR_C,True,24.8,0.8018924593925476
65,True,MK13_HUMAN_D0_3COI_A,True,26.3,1.0051261186599731
66,True,CHK1_HUMAN_D0_4FST_A,True,28.0,0.6156588196754456
67,True,DAPK2_HUMAN_D0_1ZWS_C,True,24.8,0.6017986536026001
68,True,AKT2_HUMAN_D0_2UW9_A,True,22.9,0.5583364963531494
69,True,EPHA3_HUMAN_D0_2QO7_A,True,84.0,0.5323206186294556
70,True,ALK_HUMAN_D0_2XB7_A,True,38.2,0.3643993139266968
71,True,MK08_HUMAN_D0_4HYU_A,True,27.1,1.307572603225708
72,True,IGF1R_HUMAN_D0_3F5P_H,True,38.9,0.39902469515800476
73,True,MK14_MOUSE_D0_4LOP_B,True,24.8,1.1627024412155151
74,True,TBK1_HUMAN_D0_4EUT_B,True,27.5,0.8478250503540039
75,True,MK11_HUMAN_D0_3GP0_A,True,24.4,1.1950174570083618
76,True,CDK2_HUMAN_D0_3IG7_A,True,24.8,0.9217157959938049
77,True,PAK4_HUMAN_D0_2BVA_B,True,26.2,0.44822365045547485
78,True,MK14_HUMAN_D0_3HV7_A,True,24.0,1.274837851524353
79,True,KAPCA_BOVIN_D0_3E8C_B,True,23.9,0.45601436495780945
80,True,AKT2_HUMAN_D0_3E88_B,True,22.9,0.5560830235481262
81,True,DAPK2_HUMAN_D0_2CKE_A,True,24.8,0.5652403831481934
82,True,AKT2_HUMAN_D0_1O6K_A,True,22.9,0.5456083416938782
83,True,LCK_HUMAN_D0_1QPE_A,True,44.5,0.33730843663215637
84,False,WNK1_RAT_D0_3FPQ_B,False,26.0,
85,True,SRC_CHICK_D0_3UQG_B,True,47.2,0.38189494609832764
86,True,PAK4_HUMAN_D0_4FIE_A,True,26.2,0.3936026692390442
87,True,SRC_CHICK_D0_3OEZ_B,True,47.2,0.6185519695281982
88,True,MK10_HUMAN_D0_3FI3_A,True,27.9,1.0318903923034668
89,True,SRC_HUMAN_D0_1YOJ_B,True,47.0,1.0910156965255737
90,True,AURKA_HUMAN_D0_2J50_B,True,26.3,0.4537307322025299
91,True,DAPK2_HUMAN_D0_1ZWS_B,True,24.8,0.5736067295074463
92,True,MK01_HUMAN_D0_3I60_A,True,26.7,0.9911571741104126
93,True,AKT1_HUMAN_D0_3OCB_B,True,22.8,0.5407823324203491
94,True,SRC_HUMAN_D0_1YI6_A,True,47.6,0.2744749188423157
95,True,PIM2_HUMAN_D0_2IWI_A,True,26.3,0.8264771103858948
96,True,MP2K2_HUMAN_D0_1S9I_B,True,27.1,0.6793535947799683
97,True,MAPK2_HUMAN_D0_3GOK_G,True,22.5,1.0153077840805054
98,True,CDK2_HUMAN_D0_2WMB_C,True,24.8,0.9142926335334778
99,True,DAPK2_MOUSE_D0_2YAA_A,True,25.6,0.5367485284805298
100,True,ILK_HUMAN_D0_3KMW_A,True,28.0,0.5681430101394653
101,True,CDK9_HUMAN_D0_4IMY_E,True,24.0,0.9509594440460205
102,False,DAPK1_HUMAN_D0_2Y4P_D,False,24.4,
103,True,MARK2_HUMAN_D0_3IEC_A,True,29.0,0.5192285776138306
104,True,MET_HUMAN_D0_3ZBX_A,True,39.3,0.6353856921195984
105,True,KC1D_HUMAN_D0_4KB8_A,True,16.8,0.9318379759788513
106,True,MERTK_HUMAN_D0_4MH7_A,True,37.0,0.4998858571052551
107,True,TGFR1_HUMAN_D0_3TZM_A,True,27.9,0.39394286274909973
108,True,CDK2_HUMAN_D0_2R3G_A,True,24.8,0.9622677564620972
109,True,PDPK1_HUMAN_D0_3PWY_A,True,24.9,0.5011904239654541
110,True,CDK2_HUMAN_D0_3RPV_A,True,24.8,0.9365279078483582
111,True,M3K7_HUMAN_D0_4GS6_A,True,31.6,0.6278794407844543
112,True,ARBK1_BOVIN_D0_2BCJ_A,True,23.3,0.5851011872291565
113,True,MET_HUMAN_D0_3L8V_A,True,39.3,0.40343961119651794
114,True,CHK2_HUMAN_D0_2YIT_A,True,22.1,1.1372298002243042
115,True,KSYK_HUMAN_D0_4FYN_A,True,36.7,0.3231220543384552
116,True,CSK2A_MAIZE_D0_2OXY_B,True,22.9,1.028590202331543
117,True,MERTK_HUMAN_D0_4M3Q_B,True,37.0,0.6142666935920715
118,True,MELK_HUMAN_D0_4D2V_D,True,25.5,0.419099360704422
119,True,MET_HUMAN_D0_4DEH_A,True,39.3,0.648758590221405
120,True,CDK2_HUMAN_D0_3QTQ_A,True,24.8,0.9444971680641174
121,True,MARK2_HUMAN_D0_3IEC_C,True,29.0,0.5269925594329834
122,True,GSK3B_HUMAN_D0_1Q5K_A,True,23.7,0.7710407972335815
123,True,MK14_HUMAN_D0_2QD9_A,True,24.0,1.071858286857605
124,True,NAHK_BIFL2_D0_4OCK_A,True,16.8,2.1304237842559814
125,True,CSK21_HUMAN_D0_4MD9_F,True,21.4,1.1365602016448975
126,False,JAK3_HUMAN_D1_3PJC_A,False,35.5,
127,True,MAPK2_HUMAN_D0_3KC3_J,True,22.5,0.9440427422523499
128,False,FGFR1_HUMAN_D0_1FGI_B,False,37.0,
129,True,CDK2_HUMAN_D0_4EOR_A,True,24.8,0.8827921748161316
130,True,KS6A1_HUMAN_D1_4NIF_A,True,24.0,0.876750648021698
131,True,CSK21_HUMAN_D0_3U9C_A,True,21.4,1.1212804317474365
132,True,CDK2_HUMAN_D0_3R71_A,True,24.8,0.921502947807312
133,True,MK01_RAT_D0_3ZUV_A,True,27.1,0.9710001349449158
134,True,AURKA_HUMAN_D0_4JBQ_A,True,26.3,0.441778302192688
135,True,AURKA_HUMAN_D0_3UOD_A,True,26.3,0.4531131684780121
136,True,CHK1_HUMAN_D0_2GHG_A,True,28.0,0.656935453414917
137,True,MK14_HUMAN_D0_3MH2_A,True,21.0,1.348953366279602
138,False,EPHB4_HUMAN_D0_2VX1_A,False,78.2,
139,True,KAE1B_METJA_D0_3EN9_B,True,23.4,1.606469750404358
140,True,CDK9_HUMAN_D0_3MI9_A,True,24.0,0.9764577746391296
141,True,NEK1_HUMAN_D0_4B9D_B,True,20.5,0.6057208180427551
142,True,AURKA_HUMAN_D0_3LAU_A,True,26.3,0.5813232660293579
143,True,CSK21_HUMAN_D0_3FWQ_B,True,21.4,1.1388744115829468
144,True,KAPCA_MOUSE_D0_3PVB_A,True,24.3,0.48099467158317566
145,True,IKKB_HUMAN_D0_4E3C_D,True,23.7,0.6881777048110962
146,True,KAPCA_MOUSE_D0_1RDQ_E,True,24.3,0.4318949282169342
147,True,FAK1_HUMAN_D0_2IJM_A,True,42.9,0.42490506172180176
148,True,MK14_HUMAN_D0_2FST_X,True,24.0,1.1230077743530273
149,True,ALK_HUMAN_D0_4CNH_A,True,38.2,0.395719975233078
150,True,KAPCA_MOUSE_D0_1REJ_A,True,24.3,0.44699016213417053
151,True,CDK2_HUMAN_D0_1JSV_A,True,24.8,0.9379866719245911
152,True,JAK1_HUMAN_D1_4IVD_B,True,34.4,0.39536720514297485
153,True,AURKA_HUMAN_D0_4C3P_D,True,26.3,0.674746036529541
154,True,MK14_HUMAN_D0_4F9Y_A,True,24.0,1.0982353687286377
155,True,BRAF_HUMAN_D0_1UWH_B,True,32.2,0.5353186726570129
156,True,AURKA_HUMAN_D0_3QBN_A,True,25.7,0.5718047618865967
157,True,BRAF_HUMAN_D0_4MNE_G,True,32.2,0.4065864682197571
158,True,AURKA_HUMAN_D0_2XNG_A,True,26.3,0.3834339380264282
159,True,KC1G3_HUMAN_D0_2CHL_A,True,19.8,0.7763131260871887
160,True,CHK1_HUMAN_D0_4GH2_A,True,28.0,0.612317681312561
161,True,GSK3B_HUMAN_D0_4ACG_B,True,23.7,0.7818321585655212
162,True,MK14_HUMAN_D0_3MH3_A,True,21.0,1.3117634057998657
163,True,CSK21_HUMAN_D0_1PJK_A,True,21.4,1.1286485195159912
164,True,AURKA_HUMAN_D0_3UNZ_B,True,26.0,0.7749513387680054
165,True,CHK1_HUMAN_D0_2YM8_A,True,28.0,0.6234026551246643
166,True,CDK6_HUMAN_D0_1BI8_A,True,26.3,1.2137266397476196
167,True,KAPCA_MOUSE_D0_3TNP_F,True,24.3,0.44370776414871216
168,True,ERN1_HUMAN_D0_3P23_C,True,24.0,1.066333532333374
169,True,KAPCA_PIG_D0_1CDK_B,True,24.3,0.4647616744041443
170,True,ITK_HUMAN_D0_3V5L_C,True,42.3,0.5053462386131287
171,True,AURKA_HUMAN_D0_3UO5_A,True,26.3,0.3997531831264496
172,True,DAPK2_HUMAN_D0_2A27_G,True,24.8,0.58262699842453
173,True,KAPCA_BOVIN_D0_1Q24_A,True,23.9,0.48792675137519836
174,True,EPHA4_MOUSE_D0_2HEL_A,True,85.1,0.0
175,True,MK01_RAT_D0_3O71_A,True,27.1,0.9857494831085205
176,True,EGFR_HUMAN_D0_4WKQ_A,True,36.3,0.32741355895996094
177,False,FGFR2_HUMAN_D0_2PY3_A,False,38.9,
178,True,CDK9_HUMAN_D0_3BLQ_A,True,24.0,0.9701430201530457
179,True,CHK1_HUMAN_D0_3OT3_A,True,28.0,0.6119937896728516
180,True,KAPCA_BOVIN_D0_4C38_A,True,24.2,1.140487790107727
181,True,IRE1_YEAST_D0_3SDJ_L,True,26.0,0.47248631715774536
182,True,AVR2A_HUMAN_D0_3Q4T_B,True,26.0,0.5043952465057373
183,True,CDC2H_PLAFK_D0_1V0P_A,True,22.5,0.7710667252540588
184,True,CDK6_HUMAN_D0_1JOW_B,True,26.3,0.6995502710342407
185,True,BTK_HUMAN_D0_3PJ1_A,True,39.8,0.6583251357078552
186,True,AURKA_HUMAN_D0_4DED_A,True,26.3,0.4440405070781708
187,True,IGF1R_HUMAN_D0_1M7N_B,True,38.9,0.6829395294189453
188,True,HCK_HUMAN_D0_3VS2_B,True,45.7,0.5551228523254395
189,True,CDK2_HUMAN_D0_3EZR_A,True,24.8,0.9377022385597229
190,True,MARK2_RAT_D0_2WZJ_F,True,29.0,0.6522399187088013
191,True,JAK2_HUMAN_D1_4E6D_A,True,34.7,0.362907350063324
192,True,JAK3_HUMAN_D1_3ZC6_D,True,35.3,0.3684232234954834
193,True,MAPK2_HUMAN_D0_3A2C_C,True,24.6,0.7914567589759827
194,True,AVR2B_HUMAN_D0_2QLU_A,True,24.4,0.5507073402404785
