,templateid,seqid
0,SRC_CHICK_D0_3F6X_B,81.0
1,SRC_CHICK_D0_4MCV_B,80.9
2,SRC_CHICK_D0_3SVV_A,80.6
3,SRC_CHICK_D0_2HWO_A,80.4
4,SRC_CHICK_D0_4LGH_B,80.4
5,SRC_CHICK_D0_3EN7_A,80.3
6,SRC_CHICK_D0_3SVV_B,80.2
7,SRC_CHICK_D0_2QQ7_A,80.1
8,SRC_HUMAN_D0_4MXY_A,80.1
9,SRC_HUMAN_D0_4MXZ_A,80.1
10,SRC_CHICK_D0_3EL7_A,80.1
11,SRC_HUMAN_D0_1YOL_B,80.0
12,SRC_CHICK_D0_2QI8_B,80.0
13,SRC_CHICK_D0_2QQ7_B,80.0
14,SRC_CHICK_D0_2QI8_A,80.0
15,SRC_HUMAN_D0_1YOL_A,80.0
16,SRC_CHICK_D0_4LGG_A,79.9
17,SRC_CHICK_D0_3LOK_B,79.8
18,SRC_CHICK_D0_3EN5_A,79.8
19,SRC_CHICK_D0_3EN7_B,79.7
20,SRC_CHICK_D0_3QLF_B,79.6
21,SRC_CHICK_D0_3F3W_A,79.5
22,SRC_CHICK_D0_4LGH_A,79.5
23,SRC_CHICK_D0_3TZ7_B,79.5
24,SRC_CHICK_D0_3F3V_A,79.5
25,SRC_CHICK_D0_3UQF_B,79.5
26,SRC_CHICK_D0_3QLF_A,79.5
27,SRC_CHICK_D0_2HWP_B,79.5
28,SRC_CHICK_D0_3TZ8_A,79.5
29,SRC_CHICK_D0_3G6H_A,79.5
30,SRC_CHICK_D0_3DQX_B,79.5
31,SRC_CHICK_D0_4U5J_B,79.5
32,SRC_CHICK_D0_4LGG_B,79.5
33,SRC_CHICK_D0_3F6X_A,79.5
34,SRC_CHICK_D0_3F3V_B,79.5
35,SRC_CHICK_D0_2HWP_A,79.5
36,SRC_CHICK_D0_3G6H_B,79.5
37,SRC_CHICK_D0_3G5D_B,79.5
38,SRC_CHICK_D0_3UQF_A,79.5
39,SRC_CHICK_D0_2OIQ_A,79.5
40,SRC_CHICK_D0_4DGG_B,79.5
41,SRC_CHICK_D0_3DQX_A,79.5
42,SRC_CHICK_D0_3EN6_A,79.5
43,SRC_CHICK_D0_3GEQ_A,79.5
44,SRC_CHICK_D0_3OEZ_A,79.5
45,SRC_CHICK_D0_3GEQ_B,79.5
46,SRC_CHICK_D0_3D7U_D,79.5
47,SRC_CHICK_D0_4FIC_B,79.5
