,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,AAPK2_HUMAN_D0_2YZA_A,True,22.9,0.9295828342437744
1,True,MP2K6_HUMAN_D0_3ENM_C,True,24.7,1.8560210466384888
2,True,PAK4_HUMAN_D0_4FIE_A,True,25.0,1.0366618633270264
3,True,AAPK2_HUMAN_D0_4CFF_C,True,22.9,0.9569657444953918
4,True,IRE1_YEAST_D0_3LJ1_A,True,22.7,1.4848434925079346
5,True,CDK2_HUMAN_D0_3QTU_A,True,22.6,0.9081909656524658
6,True,MP2K1_HUMAN_D0_4AN9_A,True,25.8,0.9182390570640564
7,True,TTK_HUMAN_D0_2ZMC_A,True,19.9,1.1214081048965454
8,True,MUSK_RAT_D0_1LUF_A,True,26.2,0.6405333876609802
9,True,TYK2_HUMAN_D1_4GFO_A,True,26.1,0.9136427640914917
10,True,ABL1_HUMAN_D0_2HZI_B,True,30.5,0.7132968902587891
11,True,CDK2_HUMAN_D0_3R1Y_A,True,22.6,0.9458330273628235
12,True,MK14_MOUSE_D0_4LOQ_C,True,17.9,1.0767583847045898
13,True,CDK9_HUMAN_D0_4IMY_E,True,20.6,0.9696860313415527
14,True,MK11_HUMAN_D0_3GP0_A,True,21.4,1.6562217473983765
15,True,MK14_HUMAN_D0_4KIQ_C,True,17.9,0.9111721515655518
16,True,TYK2_HUMAN_D1_4PY1_A,True,26.0,0.7571843266487122
17,True,MK14_MOUSE_D0_2GTM_A,True,17.9,1.001211404800415
18,True,MK14_MOUSE_D0_4LOP_B,True,17.9,0.9179477095603943
19,True,DAPK2_MOUSE_D0_2YAA_A,True,22.4,1.1765201091766357
20,True,SRC_HUMAN_D0_1YOJ_B,True,34.0,1.3242260217666626
21,True,MK14_MOUSE_D0_1YW2_A,True,18.1,0.967868447303772
22,True,MK14_HUMAN_D0_3NNU_A,True,17.9,0.9267448782920837
23,True,STK24_HUMAN_D0_3CKX_A,True,25.4,0.8141326904296875
24,False,CDK7_HUMAN_D0_1UA2_D,False,21.5,
25,True,MK14_HUMAN_D0_3HV7_A,True,17.9,1.0293158292770386
26,True,MKNK1_HUMAN_D0_2HW6_B,True,19.3,1.464561939239502
27,True,MK14_HUMAN_D0_3O8T_A,True,16.0,1.1362683773040771
28,True,IKKB_HUMAN_D0_4E3C_D,True,22.1,1.423614740371704
29,True,EPHA3_HUMAN_D0_2QON_A,True,29.0,0.6283907294273376
30,True,ABL1_HUMAN_D0_2HYY_C,True,30.5,0.7069311141967773
31,True,ABL1_HUMAN_D0_2HZ4_A,True,30.5,0.6797258257865906
32,True,SRC_HUMAN_D0_1YI6_A,True,31.1,0.8199755549430847
33,True,RN5A_HUMAN_D0_4OAV_B,True,19.8,1.6003270149230957
34,True,SRC_CHICK_D0_3EN6_A,True,30.7,0.8608548045158386
35,True,TBK1_HUMAN_D0_4EUT_B,True,19.2,1.4928234815597534
36,True,DAPK2_HUMAN_D0_1ZWS_B,True,22.8,1.1171997785568237
37,True,CDK2_HUMAN_D0_3QHR_C,True,22.6,0.8695274591445923
38,True,ABL1_MOUSE_D0_3IK3_B,True,31.7,0.6953750252723694
39,True,MK08_HUMAN_D0_4HYU_A,True,18.0,1.4839787483215332
40,True,KAPCA_BOVIN_D0_3ZO2_A,True,23.1,1.383683443069458
41,True,MK14_HUMAN_D0_3DS6_D,True,17.9,1.0344891548156738
42,True,ACVL1_HUMAN_D0_3MY0_A,True,24.0,1.4730032682418823
43,True,GSK3B_HUMAN_D0_1Q5K_A,True,22.5,1.3963059186935425
44,True,ACVL1_HUMAN_D0_3MY0_H,True,24.0,1.4762656688690186
45,True,EGFR_HUMAN_D0_2ITX_A,True,25.0,0.9076454043388367
46,True,ABL1_MOUSE_D0_3DK7_B,True,31.7,0.7317349910736084
47,True,MK14_HUMAN_D0_3GCP_A,True,17.9,1.0857683420181274
48,False,DAPK2_HUMAN_D0_2CKE_A,True,22.8,
49,True,GSK3B_HUMAN_D0_2JLD_B,True,22.5,1.3929022550582886
50,True,PIM2_HUMAN_D0_2IWI_A,True,26.3,1.5117106437683105
51,True,DAPK2_HUMAN_D0_1ZWS_C,True,22.8,1.1593552827835083
52,True,EPHA3_HUMAN_D0_2QO7_A,True,29.0,0.6177883148193359
53,True,MK13_HUMAN_D0_3COI_A,True,18.3,1.204284906387329
54,True,MK10_HUMAN_D0_3FI3_A,True,19.2,1.3844974040985107
55,True,WEE1_HUMAN_D0_2IO6_A,True,23.6,1.6283708810806274
56,True,MERTK_HUMAN_D0_4MH7_A,True,27.9,1.0453588962554932
57,True,CDK2_HUMAN_D0_4EOR_A,True,22.6,0.9002050161361694
58,True,TYK2_MOUSE_D1_4E20_A,True,26.5,1.0643398761749268
59,True,PIM1_HUMAN_D0_4MED_A,True,26.1,1.4575235843658447
60,True,TGFR1_HUMAN_D0_3TZM_A,True,22.3,0.7878586053848267
61,True,MELK_HUMAN_D0_4D2V_D,True,24.3,1.0660390853881836
62,True,M3K7_HUMAN_D0_4GS6_A,True,25.0,0.8367975950241089
63,True,PIM1_HUMAN_D0_3VBT_A,True,26.1,1.4766634702682495
64,True,ERN1_MOUSE_D0_4PL5_C,True,24.4,0.9110110402107239
65,True,STK3_HUMAN_D0_4LG4_C,True,23.4,0.9768744111061096
66,False,DAPK1_HUMAN_D0_2Y4P_D,False,20.2,
67,True,PDPK1_HUMAN_D0_3PWY_A,True,20.7,0.9274032711982727
68,True,SRC_CHICK_D0_2OIQ_A,True,30.7,0.8915178179740906
69,True,AKT2_HUMAN_D0_3E88_B,True,26.4,1.3693650960922241
70,True,AKT2_HUMAN_D0_2UW9_A,True,26.4,1.4095760583877563
71,True,MK01_HUMAN_D0_3I60_A,True,20.6,1.25532865524292
72,True,MERTK_HUMAN_D0_4M3Q_B,True,27.9,1.09182870388031
73,True,NTRK1_HUMAN_D0_4PMP_A,True,27.6,0.7998382449150085
74,True,MP2K2_HUMAN_D0_1S9I_B,True,23.0,1.0936033725738525
75,True,ALK_HUMAN_D0_2XB7_A,True,28.9,0.7421504259109497
76,True,MARK2_HUMAN_D0_3IEC_A,True,21.0,0.7069419622421265
77,True,MARK2_HUMAN_D0_3IEC_C,True,21.0,0.7305325269699097
78,True,MP2K1_HUMAN_D0_4MNE_H,True,23.7,0.9489245414733887
79,True,MET_HUMAN_D0_3ZBX_A,True,24.6,0.6982055306434631
80,True,CSK2A_MAIZE_D0_2OXY_B,True,17.5,1.264912486076355
81,True,ALK_HUMAN_D0_4CMO_A,True,28.9,0.6718288064002991
82,False,ALK_HUMAN_D0_4CNH_A,True,28.9,
83,True,MK14_HUMAN_D0_3MH2_A,True,16.5,1.3350733518600464
84,True,CSK21_HUMAN_D0_3FWQ_B,True,17.8,1.6738725900650024
85,True,NEK1_HUMAN_D0_4B9D_B,True,23.7,1.413424015045166
86,True,NAHK_BIFL2_D0_4OCK_A,True,18.8,1.8062958717346191
87,True,EPHB1_HUMAN_D0_3ZFX_D,True,28.0,0.7523215413093567
88,True,TYK2_MOUSE_D1_4E1Z_A,True,26.4,1.0277268886566162
89,True,CDK2_HUMAN_D0_3RPV_A,True,22.6,0.9516503810882568
