,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,EPHB1_HUMAN_D0_3ZFX_D,True,39.4,0.289646178483963
1,True,FAK1_HUMAN_D0_2IJM_A,True,38.6,0.2849586606025696
2,True,EPHA3_HUMAN_D0_2QON_A,True,40.1,0.3413093686103821
3,False,ABL1_HUMAN_D0_2HYY_C,False,42.1,
4,False,FGFR2_HUMAN_D0_2PY3_A,False,37.5,
5,True,CDK2_HUMAN_D0_4EOQ_A,True,21.7,1.0539730787277222
6,True,PKNB_MYCTU_D0_2FUM_D,True,23.1,0.6269620656967163
7,True,ST32A_HUMAN_D0_4FR4_C,True,25.1,0.6009821891784668
8,True,AAPK2_HUMAN_D0_4CFF_C,True,24.9,0.5637524724006653
9,True,MK14_MOUSE_D0_4LOQ_C,True,19.9,1.2409265041351318
10,True,ROCK1_HUMAN_D0_3TWJ_B,True,23.6,0.9107754230499268
11,True,AAPK2_HUMAN_D0_2YZA_A,True,24.9,0.8168947100639343
12,True,HASP_HUMAN_D0_3F2N_A,True,25.3,1.2694941759109497
13,True,GSK3B_HUMAN_D0_1Q5K_A,True,25.6,0.6804927587509155
14,True,MK14_HUMAN_D0_4KIQ_C,True,20.9,1.1363273859024048
15,True,IRE1_YEAST_D0_3FBV_H,True,22.8,0.6966439485549927
16,True,IGF1R_HUMAN_D0_3F5P_H,True,45.7,0.48098549246788025
17,True,ABL1_HUMAN_D0_2HZ4_A,True,42.1,0.3353923261165619
18,False,JAK3_HUMAN_D1_3PJC_A,False,32.5,
19,True,ABL1_HUMAN_D0_2HZI_B,True,42.1,0.3760550022125244
20,True,PLK2_HUMAN_D0_4I6B_A,True,23.5,0.45594584941864014
21,True,CDK2_HUMAN_D0_3R9H_A,True,21.7,1.0456680059432983
22,True,GSK3B_HUMAN_D0_3ZRL_B,True,25.6,0.7110226154327393
23,True,CDK2_HUMAN_D0_4BCO_C,True,21.7,1.0727150440216064
24,True,TYK2_HUMAN_D1_4PY1_A,True,33.3,0.5508354306221008
25,True,MUSK_RAT_D0_1LUF_A,True,40.1,0.5152697563171387
26,True,CDK2_HUMAN_D0_3IG7_A,True,21.7,1.0657504796981812
27,True,DAPK1_HUMAN_D0_3F5U_A,True,22.1,0.9927384257316589
28,True,PIM1_HUMAN_D0_2O65_A,True,24.9,0.6783734560012817
29,True,EGFR_HUMAN_D0_2ITX_A,True,33.6,0.3006379008293152
30,True,PIM1_HUMAN_D0_1YWV_A,True,24.9,0.6680852770805359
31,True,MK14_HUMAN_D0_3O8T_A,True,18.3,1.2379971742630005
32,True,MK14_MOUSE_D0_2GTM_A,True,19.9,1.2643355131149292
33,True,MP2K1_HUMAN_D0_4AN9_A,True,25.8,0.6318080425262451
34,True,CHK1_HUMAN_D0_4FST_A,True,26.1,0.6423053741455078
35,True,ACVL1_HUMAN_D0_3MY0_A,True,28.9,0.692719042301178
36,True,MK14_HUMAN_D0_3GCP_A,True,20.9,1.1989161968231201
37,True,PAK4_HUMAN_D0_4JDJ_A,True,25.8,0.6161700487136841
38,True,ABL1_MOUSE_D0_3IK3_B,True,42.5,0.5391542911529541
39,True,SRC_HUMAN_D0_1YOJ_B,True,40.0,0.8238083720207214
40,True,PAK4_HUMAN_D0_4FIE_A,True,25.8,0.6603876352310181
41,True,MP2K6_HUMAN_D0_3ENM_C,True,25.9,0.8757901191711426
42,True,SRC_CHICK_D0_2OIQ_A,True,40.6,0.41954803466796875
43,True,ABL1_MOUSE_D0_3DK7_B,True,42.5,0.49091556668281555
44,True,TYK2_HUMAN_D1_4GFO_A,True,33.2,0.5536097288131714
45,True,MK14_HUMAN_D0_4KIN_C,True,20.9,1.1302233934402466
46,True,ACVL1_HUMAN_D0_3MY0_H,True,28.9,0.718133807182312
47,True,STK24_HUMAN_D0_3CKX_A,True,29.0,0.4842958450317383
48,True,PAK4_HUMAN_D0_2BVA_B,True,25.8,0.6276982426643372
49,True,MKNK1_HUMAN_D0_2HW6_B,True,22.0,1.0525456666946411
50,True,MK14_MOUSE_D0_1YW2_A,True,19.2,1.2563315629959106
51,True,CDK2_HUMAN_D0_2WMB_C,True,21.7,1.069098711013794
52,False,FGFR2_HUMAN_D0_4J98_B,False,37.5,
53,True,MK14_HUMAN_D0_3DS6_D,True,20.9,1.0916876792907715
54,True,CDK2_HUMAN_D0_3QTU_A,True,21.7,1.0663981437683105
55,True,MK13_HUMAN_D0_3COI_A,True,21.7,1.074556827545166
56,True,CDK5_HUMAN_D0_1UNL_B,True,21.7,1.1852819919586182
57,True,DAPK2_HUMAN_D0_1ZWS_B,True,22.1,0.9124357104301453
58,True,IKKB_HUMAN_D0_4E3C_D,True,24.9,0.7720244526863098
59,True,KAPCA_HUMAN_D0_3L9M_B,True,21.5,0.516277551651001
60,True,MK14_HUMAN_D0_3NNU_A,True,20.9,1.123011589050293
61,True,MK14_MOUSE_D0_4LOP_B,True,19.9,1.2367427349090576
62,True,AKT2_HUMAN_D0_2UW9_A,True,20.5,0.5893165469169617
63,True,CDK2_HUMAN_D0_3R1Y_A,True,21.7,1.0776910781860352
64,True,JAK2_HUMAN_D1_4BBF_D,True,30.8,0.3772314488887787
65,True,TYK2_MOUSE_D1_4E1Z_A,True,34.1,0.6042518019676208
66,False,CDK7_HUMAN_D0_1UA2_D,False,22.4,
67,True,PIM2_HUMAN_D0_2IWI_A,True,25.1,0.6569396257400513
68,True,RN5A_HUMAN_D0_4OAV_B,True,22.1,1.363783597946167
69,True,ERN1_MOUSE_D0_4PL5_C,True,28.6,0.6677696108818054
70,True,DAPK2_HUMAN_D0_1ZWS_C,True,22.1,0.936294436454773
71,True,SRC_HUMAN_D0_1YI6_A,True,40.6,0.39429739117622375
72,True,AKT2_HUMAN_D0_3E88_B,True,20.5,0.5599433183670044
73,True,ALK_HUMAN_D0_4CMO_A,True,100.0,0.0
74,False,DAPK1_HUMAN_D0_2Y4P_D,False,22.1,
75,True,MK11_HUMAN_D0_3GP0_A,True,22.4,1.0956122875213623
76,True,AKT1_HUMAN_D0_3OCB_B,True,20.8,0.8199714422225952
77,True,MK10_HUMAN_D0_3FI3_A,True,20.6,0.815143346786499
78,True,MK08_HUMAN_D0_4HYU_A,True,24.4,1.1200567483901978
79,True,AKT2_HUMAN_D0_1O6K_A,True,20.5,0.5980128049850464
80,True,ALK_HUMAN_D0_4CNH_A,True,100.0,0.19121433794498444
81,True,CDK2_HUMAN_D0_3QHR_C,True,21.7,1.0687569379806519
82,True,TAOK2_RAT_D0_1U5R_A,True,28.3,0.5241944789886475
