,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,CDK2_HUMAN_D0_3R1Y_A,True,25.7,0.9435098171234131
1,True,PAK4_HUMAN_D0_4FIE_A,True,26.6,0.4896717369556427
2,True,AAPK2_HUMAN_D0_4CFF_C,True,24.9,0.5287231206893921
3,True,IRE1_YEAST_D0_3FBV_H,True,24.9,0.592584490776062
4,True,GSK3B_HUMAN_D0_3ZRL_B,True,27.6,1.1331605911254883
5,True,CDK2_HUMAN_D0_4EOK_C,True,25.7,0.9578917026519775
6,True,JAK2_HUMAN_D1_4BBF_D,True,36.2,0.5367111563682556
7,True,SRC_CHICK_D0_3OEZ_B,True,44.5,0.3858321011066437
8,True,EGFR_HUMAN_D0_2ITX_A,True,37.0,0.4590693414211273
9,True,PLK1_HUMAN_D0_2RKU_A,True,25.7,0.5513685941696167
10,True,MK14_HUMAN_D0_3O8T_A,True,23.7,1.1374930143356323
11,True,AAPK2_HUMAN_D0_2YZA_A,True,24.9,0.66570645570755
12,True,CDK2_HUMAN_D0_3R9H_A,True,25.7,0.9164330363273621
13,True,MP2K6_HUMAN_D0_3ENM_C,True,29.7,0.8445844650268555
14,True,SLK_HUMAN_D0_2JFL_A,True,26.5,0.8461453318595886
15,True,MK14_HUMAN_D0_3NNU_A,True,25.7,0.8353357315063477
16,True,MK14_HUMAN_D0_3GCP_A,True,25.7,0.9862119555473328
17,True,PKNB_MYCTU_D0_2FUM_D,True,27.2,0.5202812552452087
18,True,IKKB_HUMAN_D0_4E3C_D,True,27.6,0.7964823842048645
19,True,CDK2_HUMAN_D0_3QHR_C,True,25.7,1.009062647819519
20,True,CDK2_HUMAN_D0_4EOR_A,True,25.7,0.919025719165802
21,True,MKNK1_HUMAN_D0_2HW6_B,True,24.1,1.049731969833374
22,False,WEE1_HUMAN_D0_2IO6_A,False,21.8,
23,True,DAPK2_HUMAN_D0_1ZWS_B,True,25.3,0.5426103472709656
24,False,TYK2_MOUSE_D1_4E20_A,False,34.2,
25,True,MK14_MOUSE_D0_1YW2_A,True,25.7,0.8954923152923584
26,True,ALK_HUMAN_D0_2XB7_A,True,41.6,0.3279019892215729
27,True,MK14_MOUSE_D0_4LOQ_C,True,26.1,0.7942273616790771
28,True,MK14_MOUSE_D0_2GTM_A,True,26.1,0.9631623029708862
29,True,TGFR1_HUMAN_D0_3TZM_A,True,23.3,0.47010383009910583
30,True,NEK1_HUMAN_D0_4B9D_B,True,24.5,0.6007053852081299
31,False,MK14_HUMAN_D0_4KIQ_C,True,25.7,
32,True,MK14_MOUSE_D0_4LOP_B,True,26.1,0.8138641715049744
33,True,MP2K1_HUMAN_D0_4AN9_A,True,25.0,0.6212233304977417
34,True,STK3_HUMAN_D0_4LG4_C,True,26.6,0.39098474383354187
35,True,MUSK_RAT_D0_1LUF_A,True,33.1,0.4504851996898651
36,True,MK11_HUMAN_D0_3GP0_A,True,26.1,0.8679855465888977
37,True,SRC_CHICK_D0_2OIQ_A,True,44.5,0.4389945864677429
38,True,MK14_HUMAN_D0_3DS6_D,True,25.7,0.8500633835792542
39,True,TBK1_HUMAN_D0_4EUT_B,True,28.0,1.3110707998275757
40,True,TYK2_HUMAN_D1_4GFO_A,True,35.0,0.5185401439666748
41,True,ABL1_MOUSE_D0_3IK3_B,True,45.6,0.46566399931907654
42,True,MK14_HUMAN_D0_3HV7_A,True,25.7,0.9050242900848389
43,True,MK14_HUMAN_D0_4F9Y_A,True,25.7,0.9129723310470581
44,True,MK10_HUMAN_D0_3FI3_A,True,25.7,0.5668588876724243
45,True,ACVL1_HUMAN_D0_3MY0_H,True,24.9,0.8623682260513306
46,True,ACVL1_HUMAN_D0_3MY0_A,True,24.9,0.8881063461303711
47,True,STK24_HUMAN_D0_3CKX_A,True,30.2,0.5299981236457825
48,True,MK13_HUMAN_D0_3COI_A,True,26.5,0.9281075596809387
49,True,IRE1_YEAST_D0_3LJ1_A,True,23.7,0.5844259262084961
50,True,SRC_HUMAN_D0_1YOJ_B,True,45.0,0.6434333324432373
51,True,TTK_HUMAN_D0_2ZMC_A,True,26.5,0.5036601424217224
52,True,MAPK2_HUMAN_D0_3GOK_G,True,23.3,1.3048769235610962
53,True,ABL1_MOUSE_D0_3DK7_B,True,45.6,0.510259747505188
54,True,MK14_HUMAN_D0_3MH3_A,True,23.3,0.8525201082229614
55,True,SRC_HUMAN_D0_1YI6_A,True,44.5,0.47530776262283325
56,False,DAPK2_HUMAN_D0_2CKE_A,True,25.3,
57,True,RN5A_HUMAN_D0_4OAV_B,True,27.0,0.8730223774909973
58,True,MARK2_HUMAN_D0_3IEC_A,True,27.4,0.5897973775863647
59,True,MERTK_HUMAN_D0_4M3Q_B,True,38.9,0.4179720878601074
60,True,MK08_HUMAN_D0_4HYU_A,True,26.5,1.1839783191680908
61,True,PIM2_HUMAN_D0_2IWI_A,True,25.5,0.5621211528778076
62,False,DAPK1_HUMAN_D0_2Y4P_D,False,23.7,
63,True,PIM1_HUMAN_D0_3VBT_A,True,25.7,0.563644289970398
64,False,CDK7_HUMAN_D0_1UA2_D,False,25.3,
65,True,MERTK_HUMAN_D0_4MH7_A,True,38.9,0.4760097563266754
66,True,MARK2_HUMAN_D0_3IEC_C,True,27.4,0.5948672890663147
67,True,PIM1_HUMAN_D0_4MED_A,True,25.7,0.5487015247344971
68,True,MK01_HUMAN_D0_3I60_A,True,25.3,0.8467939496040344
69,True,CSK21_HUMAN_D0_4MD9_F,True,20.2,1.0111643075942993
70,True,AKT2_HUMAN_D0_2UW9_A,True,24.9,0.8748330473899841
71,True,ALK_HUMAN_D0_4CMO_A,True,41.6,0.35357555747032166
72,True,EPHA3_HUMAN_D0_2QO7_A,True,38.5,0.43532052636146545
73,True,GSK3B_HUMAN_D0_1Q5K_A,True,27.6,1.1135467290878296
74,True,KAPCA_BOVIN_D0_3ZO2_A,True,23.9,0.5335477590560913
75,True,PDPK1_HUMAN_D0_3PWY_A,True,25.7,0.685013473033905
76,True,AKT2_HUMAN_D0_3E88_B,True,24.9,0.8264418840408325
77,True,M3K7_HUMAN_D0_4GS6_A,True,33.6,0.37107959389686584
78,True,DAPK2_HUMAN_D0_1ZWS_C,True,25.3,0.5563516020774841
79,True,PIM1_HUMAN_D0_2O65_A,True,25.7,0.5642203688621521
80,True,NTRK1_HUMAN_D0_4PMP_A,True,38.1,0.5352790951728821
81,True,NAHK_BIFL2_D0_4OCK_A,True,19.5,2.048677921295166
82,True,CSK2A_MAIZE_D0_2OXY_B,True,19.5,0.9332021474838257
83,True,MP2K1_HUMAN_D0_4MNE_H,True,26.1,0.7351009845733643
84,True,SRC_CHICK_D0_3EN6_A,True,44.5,0.3847750127315521
85,False,FGFR1_HUMAN_D0_1FGI_B,False,36.2,
86,True,AKT2_HUMAN_D0_1O6K_A,True,24.9,0.8543255925178528
87,True,MK14_HUMAN_D0_4KIN_C,True,25.7,0.8005465865135193
88,True,CSK21_HUMAN_D0_3U9C_A,True,19.1,1.0460768938064575
89,True,MK01_RAT_D0_3ZUV_A,True,25.3,0.8829094767570496
90,False,ALK_HUMAN_D0_4CNH_A,True,41.6,
91,False,EPHB4_HUMAN_D0_2VX1_A,False,38.5,
92,True,CHK1_HUMAN_D0_4GH2_A,True,21.8,0.5893087387084961
93,True,KSYK_HUMAN_D0_4FYN_A,True,34.7,0.6559702157974243
94,True,GSK3B_HUMAN_D0_2JLD_B,True,27.6,1.159438133239746
95,True,MELK_HUMAN_D0_4D2V_D,True,27.6,0.6410793662071228
96,True,MK14_HUMAN_D0_4EHV_A,True,25.7,0.8641363382339478
97,True,KC1G3_HUMAN_D0_2CHL_A,True,18.7,0.8907585740089417
98,True,CSK21_HUMAN_D0_3Q9Z_A,True,19.1,1.0031176805496216
99,False,FGFR2_HUMAN_D0_2PZ5_A,False,36.2,
