,has_model,templateid,unique_by_clustering,seqid,rmsd
0,False,TYK2_MOUSE_D1_4E20_A,False,36.2,
1,False,FGFR1_HUMAN_D0_3RHX_B,False,39.4,
2,False,JAK3_HUMAN_D1_3PJC_A,False,38.2,
3,True,DDR1_HUMAN_D0_4CKR_A,True,40.6,0.6139146089553833
4,True,CDK2_HUMAN_D0_3R9H_A,True,26.0,0.5914114117622375
5,True,STK3_HUMAN_D0_4LG4_C,True,24.2,0.5223662853240967
6,True,MP2K1_HUMAN_D0_4AN9_A,True,29.0,0.46079516410827637
7,True,TGFR1_HUMAN_D0_3TZM_A,True,28.0,0.4854745864868164
8,True,JAK3_HUMAN_D1_3ZC6_D,True,37.0,0.3088095784187317
9,True,JAK2_HUMAN_D1_4BBF_C,True,32.3,0.28090375661849976
10,True,AAPK2_HUMAN_D0_4CFF_C,True,29.2,0.34497740864753723
11,True,PAK4_HUMAN_D0_4JDJ_A,True,23.4,0.3794811964035034
12,True,AAPK2_HUMAN_D0_2YZA_A,True,29.2,0.9113314747810364
13,True,CSK21_HUMAN_D0_1PJK_A,True,22.8,0.9887864589691162
14,True,CSK21_HUMAN_D0_3OWL_A,True,22.8,0.9971117973327637
15,True,MK14_MOUSE_D0_1YW2_A,True,24.0,1.1570707559585571
16,True,CDK2_HUMAN_D0_4EOQ_A,True,26.0,0.594629168510437
17,True,EGFR_HUMAN_D0_2ITX_A,True,39.0,0.2478870451450348
18,True,JAK2_HUMAN_D1_3IO7_A,True,32.3,0.310598760843277
19,True,MP2K6_HUMAN_D0_3ENM_C,True,26.8,0.7658233642578125
20,True,PKNB_MYCTU_D0_2FUM_D,True,28.0,0.6951721906661987
21,True,MK14_HUMAN_D0_3O8T_A,True,22.4,1.119903326034546
22,True,IGF1R_HUMAN_D0_3F5P_H,True,40.6,0.35590600967407227
23,True,MP2K1_HUMAN_D0_4MNE_H,True,27.6,0.6001315712928772
24,True,MKNK1_HUMAN_D0_2HW6_B,True,21.3,0.8850715160369873
25,True,IRE1_YEAST_D0_3FBV_H,True,25.6,0.43901824951171875
26,True,GSK3B_HUMAN_D0_1Q5K_A,True,27.2,0.8459991812705994
27,True,MK14_HUMAN_D0_3GCP_A,True,26.0,1.3195745944976807
28,True,MK14_MOUSE_D0_4LOP_B,True,26.0,1.1349940299987793
29,True,PAK4_HUMAN_D0_4FIE_A,True,23.4,0.4152950346469879
30,True,MK14_MOUSE_D0_2GTM_A,True,26.0,1.2773691415786743
31,True,ACVL1_HUMAN_D0_3MY0_A,True,29.9,0.776260495185852
32,True,ALK_HUMAN_D0_2XB7_A,True,40.6,0.32578638195991516
33,False,TYK2_HUMAN_D1_4GFO_A,False,36.6,
34,True,ACVL1_HUMAN_D0_3MY0_H,True,29.9,0.743644654750824
35,True,MK10_HUMAN_D0_3FI3_A,True,26.0,0.5101136565208435
36,True,CDK2_HUMAN_D0_4BCO_C,True,26.0,0.6245068907737732
37,True,MK14_MOUSE_D0_4LOQ_C,True,26.0,1.148756742477417
38,True,MK08_HUMAN_D0_4HYU_A,True,23.2,1.042366862297058
39,True,MK14_HUMAN_D0_3HV7_A,True,26.0,1.2286803722381592
40,True,KAPCA_BOVIN_D0_3ZO2_A,True,23.6,0.4276290535926819
41,True,MK14_HUMAN_D0_4KIQ_C,True,26.0,1.1197776794433594
42,True,MK14_HUMAN_D0_3DS6_D,True,26.0,1.1464614868164062
43,True,MK13_HUMAN_D0_3COI_A,True,26.8,1.0869637727737427
44,True,ABL1_MOUSE_D0_3IK3_B,True,50.0,0.5577604174613953
45,True,CHK1_HUMAN_D0_4FST_A,True,28.3,0.4802062511444092
46,True,GSK3B_HUMAN_D0_2JLD_B,True,27.6,0.8826181292533875
47,True,IKKB_HUMAN_D0_4E3C_D,True,27.2,0.7195913791656494
48,True,EPHA3_HUMAN_D0_2QON_A,True,46.9,0.34707188606262207
49,True,MK14_HUMAN_D0_3NNU_A,True,26.0,1.1431748867034912
50,True,KAPCA_MOUSE_D0_1SYK_A,True,23.6,0.42855075001716614
51,True,AKT2_HUMAN_D0_3E88_B,True,23.6,0.6159301996231079
52,True,MK08_HUMAN_D0_2G01_B,True,26.0,0.577613115310669
53,True,MK11_HUMAN_D0_3GP0_A,True,26.4,1.0542458295822144
54,True,TBK1_HUMAN_D0_4EUT_B,True,28.3,0.7009278535842896
55,False,TYK2_MOUSE_D1_4E1Z_A,False,36.2,
56,True,AKT2_HUMAN_D0_2UW9_A,True,23.6,0.6046368479728699
57,True,NTRK1_HUMAN_D0_4PMP_A,True,37.8,0.5970022082328796
58,True,PIM1_HUMAN_D0_4MED_A,True,28.1,0.512803852558136
59,True,MUSK_RAT_D0_1LUF_A,True,37.4,0.6108944416046143
60,True,MAPK2_HUMAN_D0_3GOK_G,True,22.8,0.881395697593689
61,True,MK01_HUMAN_D0_3I60_A,True,28.0,0.3583102524280548
62,True,CDK2_HUMAN_D0_3R1Y_A,True,26.0,0.7035930752754211
63,True,MK14_HUMAN_D0_4KIN_C,True,26.0,1.1138983964920044
64,True,DAPK2_HUMAN_D0_1ZWS_C,True,24.0,0.631212592124939
65,True,ST32A_HUMAN_D0_4FR4_C,True,23.6,0.3433625102043152
66,True,PIM1_HUMAN_D0_2O65_A,True,28.1,0.4963059723377228
67,True,ABL1_MOUSE_D0_3DK7_B,True,50.0,0.361032098531723
68,False,TTK_HUMAN_D0_2ZMC_A,False,21.7,
69,True,ALK_HUMAN_D0_4CMO_A,True,40.6,0.3450812101364136
70,True,JAK1_HUMAN_D1_4EHZ_B,True,36.6,0.38225656747817993
71,True,RN5A_HUMAN_D0_4OAV_B,True,23.4,0.8546774983406067
72,True,MERTK_HUMAN_D0_4M3Q_B,True,41.3,0.569757342338562
73,False,TYK2_HUMAN_D1_4PY1_A,False,37.8,
74,True,MERTK_HUMAN_D0_4MH7_A,True,41.3,0.43483683466911316
75,True,SRC_CHICK_D0_2OIQ_A,True,99.2,0.46326765418052673
76,False,DAPK2_HUMAN_D0_2CKE_A,True,24.0,
77,True,PIM1_HUMAN_D0_3VBT_A,True,28.1,0.5116042494773865
78,True,MARK2_HUMAN_D0_3IEC_C,True,30.6,0.4539351165294647
79,True,MARK2_HUMAN_D0_3IEC_A,True,30.6,0.47785258293151855
80,True,CDK2_HUMAN_D0_3QHR_C,True,26.0,0.5424689650535583
81,True,AKT2_HUMAN_D0_1O6K_A,True,23.6,0.6479900479316711
82,True,PDPK1_HUMAN_D0_3PWY_A,True,24.4,0.4470864534378052
83,True,DAPK2_MOUSE_D0_2YAA_A,True,23.6,0.6107138395309448
84,False,WEE1_HUMAN_D0_2IO6_A,False,22.4,
85,True,CSK21_HUMAN_D0_4MD9_F,True,23.2,1.1306495666503906
86,True,SRC_CHICK_D0_3UQG_B,True,99.2,0.2129036784172058
87,True,HASP_HUMAN_D0_3F2N_A,True,25.6,1.052321434020996
88,True,CDK9_HUMAN_D0_4IMY_E,True,29.1,0.47036507725715637
89,True,SRC_CHICK_D0_3EN6_A,True,99.2,0.5031623840332031
90,True,AURKA_HUMAN_D0_3LAU_A,True,25.1,0.5687142014503479
91,True,CDK2_HUMAN_D0_3EZR_A,True,26.0,0.7188429832458496
92,True,GSK3B_HUMAN_D0_3ZRL_B,True,27.2,0.873313844203949
93,True,PLK2_HUMAN_D0_4I6B_A,True,30.8,0.3575489819049835
94,True,SRC_HUMAN_D0_1YI6_A,True,100.0,0.0
95,True,CSK21_HUMAN_D0_4MD9_K,True,22.8,1.0124002695083618
96,False,DAPK1_HUMAN_D0_2Y4P_D,False,24.4,
97,True,M3K7_HUMAN_D0_4GS6_A,True,32.3,0.6273906826972961
98,True,NEK1_HUMAN_D0_4B9D_B,True,24.1,0.5867182016372681
99,True,DAPK2_HUMAN_D0_1ZWS_B,True,24.0,0.6144494414329529
100,True,AKT1_HUMAN_D0_3OCB_B,True,24.0,0.6625286340713501
101,True,CDK2_HUMAN_D0_3RPV_A,True,26.0,0.6532747745513916
102,True,PLK1_HUMAN_D0_2RKU_A,True,24.5,0.5629244446754456
103,True,ERN1_HUMAN_D0_3P23_C,True,22.4,0.6086782217025757
104,True,KSYK_HUMAN_D0_4FYN_A,True,36.3,0.26875293254852295
105,True,CHK2_HUMAN_D0_2YIT_A,True,26.0,0.8071538805961609
106,False,FGFR1_HUMAN_D0_1FGI_B,False,39.4,
107,True,MK14_HUMAN_D0_4F9Y_A,True,26.0,1.14546537399292
108,True,JAK2_HUMAN_D1_4C62_B,True,30.3,0.38078591227531433
109,True,CDK2_HUMAN_D0_2R3G_A,True,26.0,0.6695469617843628
110,True,CSK2A_MAIZE_D0_2OXY_B,True,22.4,0.7376359701156616
111,True,PIM1_HUMAN_D0_1YWV_A,True,28.1,0.5378236174583435
112,True,NAHK_BIFL2_D0_4OCK_A,True,18.5,2.1386590003967285
113,True,MELK_HUMAN_D0_4D2V_D,True,29.7,0.4598168730735779
114,True,EPHB1_HUMAN_D0_3ZFX_D,True,45.7,0.2566026449203491
115,True,KS6A1_HUMAN_D1_4NIF_A,True,24.0,0.7573782801628113
116,True,EPHA4_MOUSE_D0_2HEL_A,True,47.2,0.27604126930236816
117,True,CHK1_HUMAN_D0_4GH2_A,True,28.3,0.4535585939884186
118,True,MK14_HUMAN_D0_4EHV_A,True,26.0,1.2415248155593872
119,True,MK14_HUMAN_D0_3MH3_A,True,22.4,1.2784680128097534
120,True,MET_HUMAN_D0_3CTH_A,True,38.6,0.47478076815605164
121,True,EGFR_HUMAN_D0_4WKQ_A,True,39.0,0.27247703075408936
122,False,EPHB4_HUMAN_D0_2VX1_A,False,46.1,
123,True,MET_HUMAN_D0_3ZBX_A,True,38.6,0.5545250177383423
124,True,ARBK1_BOVIN_D0_2BCJ_A,True,21.7,0.920106053352356
125,True,MERTK_HUMAN_D0_3BPR_A,True,41.3,0.5283881425857544
126,True,KC1G3_HUMAN_D0_2CHL_A,True,24.0,0.6134396195411682
127,True,CSK21_HUMAN_D0_3FWQ_B,True,22.8,1.0099570751190186
128,True,CDK2_HUMAN_D0_4EOR_A,True,26.0,0.5921975374221802
129,True,PAK4_HUMAN_D0_2BVA_B,True,23.4,0.4266805946826935
130,True,CSK21_HUMAN_D0_3U9C_A,True,22.8,0.9830053448677063
131,True,CHK1_HUMAN_D0_2GHG_A,True,28.3,0.46645188331604004
132,True,KAE1B_METJA_D0_3EN9_B,True,16.5,1.6729435920715332
133,False,AURKA_HUMAN_D0_3UOD_A,True,25.1,
134,True,HCK_HUMAN_D0_3VS2_B,True,68.1,0.4472874104976654
135,False,FGFR2_HUMAN_D0_4J98_B,False,38.6,
136,True,KAPCA_MOUSE_D0_3PVB_A,True,23.6,0.4216362535953522
137,True,AURKA_HUMAN_D0_4JBQ_A,True,25.1,0.5315832495689392
138,True,CDK5_HUMAN_D0_1UNL_B,True,29.1,0.5168129205703735
139,True,ERN1_MOUSE_D0_4PL5_C,True,22.0,0.5691332221031189
140,True,KAPCA_MOUSE_D0_1RDQ_E,True,23.6,0.40726906061172485
141,True,MK14_HUMAN_D0_1OUK_A,True,26.0,1.1313621997833252
142,True,CSK_RAT_D0_1K9A_A,True,45.4,0.24928095936775208
143,True,KAPCA_MOUSE_D0_1REJ_A,True,23.6,0.4173469543457031
144,True,MET_HUMAN_D0_3L8V_A,True,38.6,0.3574488162994385
145,True,CDK2_HUMAN_D0_3QTQ_A,True,26.0,0.5611873865127563
146,True,CDK2_HUMAN_D0_3R71_A,True,26.0,0.6805015802383423
147,True,KAPCA_BOVIN_D0_1Q24_A,True,23.6,0.40217363834381104
148,True,MK14_HUMAN_D0_2FST_X,True,26.0,1.174230694770813
149,True,BRAF_HUMAN_D0_1UWH_B,True,34.6,0.550248384475708
150,True,EPHA3_HUMAN_D0_2QO7_A,True,46.9,0.3593409061431885
151,True,MET_HUMAN_D0_4DEH_A,True,38.6,0.5587921142578125
152,True,JAK1_HUMAN_D1_4IVD_B,True,36.6,0.33873412013053894
153,True,CSK21_RAT_D0_2R7I_A,True,22.8,0.9490165114402771
154,True,BRAF_HUMAN_D0_4KSQ_B,True,34.6,0.7265409827232361
155,True,LCK_HUMAN_D0_1QPE_A,True,67.7,0.28187811374664307
