,templateid,seqid
0,ITK_HUMAN_D0_1SNU_B,100.0
1,ITK_HUMAN_D0_3T9T_A,100.0
2,ITK_HUMAN_D0_1SM2_A,100.0
3,ITK_HUMAN_D0_4HCT_A,100.0
4,ITK_HUMAN_D0_4PP9_B,100.0
5,ITK_HUMAN_D0_4M13_A,100.0
6,ITK_HUMAN_D0_4L7S_A,100.0
7,ITK_HUMAN_D0_3MIY_A,100.0
8,ITK_HUMAN_D0_1SM2_B,100.0
9,ITK_HUMAN_D0_4KIO_A,100.0
10,ITK_HUMAN_D0_4HCU_A,100.0
11,ITK_HUMAN_D0_4L7S_B,100.0
12,ITK_HUMAN_D0_3V8T_A,100.0
13,ITK_HUMAN_D0_4PPB_B,100.0
14,ITK_HUMAN_D0_4MF1_B,100.0
15,ITK_HUMAN_D0_3MIY_B,100.0
16,ITK_HUMAN_D0_3V5L_C,100.0
17,ITK_HUMAN_D0_3V5L_A,100.0
18,ITK_HUMAN_D0_1SNU_A,100.0
19,ITK_HUMAN_D0_4KIO_D,100.0
20,ITK_HUMAN_D0_4PQN_A,100.0
21,ITK_HUMAN_D0_3V5J_B,100.0
22,ITK_HUMAN_D0_3V8W_A,100.0
23,ITK_HUMAN_D0_4HCV_A,100.0
24,ITK_HUMAN_D0_4PPA_B,100.0
25,ITK_HUMAN_D0_3V5L_B,100.0
26,ITK_HUMAN_D0_4MF1_A,100.0
27,ITK_HUMAN_D0_4MF0_B,100.0
28,ITK_HUMAN_D0_4MF0_A,100.0
29,ITK_HUMAN_D0_1SNX_A,100.0
30,ITK_HUMAN_D0_3MJ2_A,100.0
31,ITK_HUMAN_D0_3V8W_B,100.0
32,ITK_HUMAN_D0_4PPC_A,100.0
33,ITK_HUMAN_D0_4M12_A,100.0
34,ITK_HUMAN_D0_1SNX_B,100.0
35,ITK_HUMAN_D0_4M14_A,100.0
36,ITK_HUMAN_D0_4M15_A,100.0
37,ITK_HUMAN_D0_3V8T_B,100.0
38,ITK_HUMAN_D0_4PP9_A,100.0
39,ITK_HUMAN_D0_4KIO_C,100.0
40,ITK_HUMAN_D0_3V5L_D,100.0
41,ITK_HUMAN_D0_4PPB_A,100.0
42,ITK_HUMAN_D0_4KIO_B,100.0
43,ITK_HUMAN_D0_4M0Z_A,100.0
44,ITK_HUMAN_D0_4PPC_B,100.0
45,ITK_HUMAN_D0_4PPA_A,100.0
46,ITK_HUMAN_D0_4M0Y_A,100.0
47,ITK_HUMAN_D0_3V5J_A,100.0
48,ITK_HUMAN_D0_3MJ1_A,100.0
49,ITK_HUMAN_D0_3QGY_A,99.1
50,ITK_HUMAN_D0_3QGW_A,99.1
51,ITK_HUMAN_D0_3QGY_B,99.1
52,ITK_HUMAN_D0_3QGW_B,99.1
53,BMX_HUMAN_D0_3SXS_A,59.0
54,BTK_HUMAN_D0_4OTQ_A,58.8
55,BTK_HUMAN_D0_4OT5_A,58.8
56,BTK_HUMAN_D0_4OTR_A,58.8
57,BTK_HUMAN_D0_4OT6_A,58.8
58,BTK_HUMAN_D0_3P08_A,58.5
59,BTK_HUMAN_D0_3OCT_A,58.5
60,BTK_HUMAN_D0_1K2P_A,58.5
61,BTK_HUMAN_D0_1K2P_B,58.5
62,BTK_HUMAN_D0_3PJ3_A,58.5
63,BTK_HUMAN_D0_3PJ1_A,58.5
64,BTK_HUMAN_D0_3P08_B,58.5
65,BTK_HUMAN_D0_3OCS_A,58.5
66,BTK_HUMAN_D0_3PIZ_A,58.5
67,BTK_HUMAN_D0_3PIX_A,58.5
68,BTK_HUMAN_D0_3GEN_A,58.5
69,BTK_HUMAN_D0_3K54_A,58.5
70,BTK_HUMAN_D0_3PJ2_A,58.5
71,BTK_HUMAN_D0_3PIY_A,58.5
72,BMX_HUMAN_D0_3SXR_B,58.4
73,BMX_HUMAN_D0_3SXR_A,58.3
74,BTK_HUMAN_D0_4NWM_A,58.3
75,BTK_HUMAN_D0_4NWM_B,58.3
76,ABL1_MOUSE_D0_3OXZ_A,44.9
77,FES_HUMAN_D0_3CBL_A,44.7
78,FES_HUMAN_D0_4E93_A,44.7
79,FES_HUMAN_D0_3BKB_A,44.7
80,CSK_RAT_D0_1K9A_C,44.6
81,CSK_RAT_D0_1K9A_F,44.6
82,CSK_RAT_D0_1K9A_A,44.6
83,CSK_RAT_D0_1K9A_D,44.6
84,CSK_RAT_D0_1K9A_B,44.6
85,CSK_RAT_D0_1K9A_E,44.6
86,ABL2_HUMAN_D0_2XYN_C,44.4
87,ABL2_HUMAN_D0_3HMI_A,44.4
88,ABL2_HUMAN_D0_2XYN_B,44.4
89,ABL2_HUMAN_D0_3GVU_A,44.4
90,ABL2_HUMAN_D0_2XYN_A,44.4
91,CSK_HUMAN_D0_3D7U_C,44.3
92,CSK_HUMAN_D0_3D7U_A,44.3
93,CSK_HUMAN_D0_3D7T_A,44.3
94,LCK_HUMAN_D0_2OFV_B,43.9
95,ABL1_HUMAN_D0_2HYY_B,43.8
96,ABL1_MOUSE_D0_3K5V_A,43.8
97,ABL1_HUMAN_D0_3QRI_B,43.7
98,ABL1_MOUSE_D0_3IK3_A,43.7
99,ABL1_MOUSE_D0_3IK3_B,43.7
100,ABL1_MOUSE_D0_3MSS_D,43.7
101,ABL1_HUMAN_D0_3PYY_B,43.7
102,ABL1_MOUSE_D0_3OY3_A,43.7
103,ABL1_HUMAN_D0_2G2I_A,43.7
104,ABL1_MOUSE_D0_3DK7_A,43.7
105,ABL1_HUMAN_D0_3UE4_B,43.7
106,ABL1_HUMAN_D0_2V7A_B,43.7
107,ABL1_MOUSE_D0_1IEP_B,43.7
108,ABL1_MOUSE_D0_2QOH_A,43.7
109,ABL1_HUMAN_D0_2HZ4_C,43.7
110,ABL1_MOUSE_D0_2QOH_B,43.7
111,ABL1_HUMAN_D0_2G2F_A,43.7
112,ABL1_HUMAN_D0_3CS9_D,43.7
113,ABL1_HUMAN_D0_2HIW_B,43.7
114,ABL1_HUMAN_D0_2G1T_B,43.7
115,ABL1_HUMAN_D0_2E2B_A,43.7
116,ABL1_MOUSE_D0_3KF4_A,43.7
117,ABL1_HUMAN_D0_2HYY_C,43.7
118,ABL1_MOUSE_D0_2Z60_A,43.7
119,ABL1_HUMAN_D0_1OPL_A,43.7
120,ABL1_HUMAN_D0_2F4J_A,43.7
121,ABL1_HUMAN_D0_2HZ4_A,43.7
122,ABL1_HUMAN_D0_2HZ0_B,43.7
123,ABL1_HUMAN_D0_2HZI_B,43.7
124,ABL1_MOUSE_D0_1FPU_A,43.7
125,ABL1_HUMAN_D0_2HZI_A,43.7
126,ABL1_HUMAN_D0_3QRK_A,43.7
127,ABL1_HUMAN_D0_2HZ4_B,43.7
128,ABL1_MOUSE_D0_1FPU_B,43.7
129,ABL1_HUMAN_D0_3CS9_B,43.7
130,ABL1_HUMAN_D0_2HZ0_A,43.7
131,ABL1_MOUSE_D0_1OPJ_A,43.7
132,ABL1_MOUSE_D0_1M52_A,43.7
133,ABL1_HUMAN_D0_3CS9_C,43.7
134,ABL1_HUMAN_D0_2G1T_C,43.7
135,ABL1_MOUSE_D0_3MSS_C,43.7
136,ABL1_MOUSE_D0_3DK7_B,43.7
137,ABL1_MOUSE_D0_3DK3_A,43.7
138,ABL1_MOUSE_D0_3KF4_B,43.7
139,ABL1_HUMAN_D0_2GQG_B,43.7
140,ABL1_HUMAN_D0_2G2H_A,43.7
141,ABL1_HUMAN_D0_2G1T_D,43.7
142,ABL1_MOUSE_D0_3MSS_A,43.7
143,ABL1_MOUSE_D0_3MSS_B,43.7
144,ABL1_MOUSE_D0_3K5V_B,43.7
145,ABL1_MOUSE_D0_3MS9_A,43.7
146,ABL1_HUMAN_D0_3QRJ_B,43.7
147,ABL1_HUMAN_D0_2G2H_B,43.7
148,ABL1_MOUSE_D0_3OY3_B,43.7
149,ABL1_HUMAN_D0_2V7A_A,43.7
150,ABL1_HUMAN_D0_3CS9_A,43.7
151,ABL1_HUMAN_D0_2FO0_A,43.7
152,ABL1_MOUSE_D0_3DK3_B,43.7
153,ABL1_HUMAN_D0_2GQG_A,43.7
154,ABL1_HUMAN_D0_2HIW_A,43.7
155,ABL1_HUMAN_D0_3QRI_A,43.7
156,ABL1_HUMAN_D0_3PYY_A,43.7
157,ABL1_MOUSE_D0_1OPJ_B,43.7
158,ABL1_MOUSE_D0_2HZN_A,43.7
159,ABL1_MOUSE_D0_3DK6_B,43.7
160,ABL1_MOUSE_D0_3KFA_A,43.7
161,ABL1_HUMAN_D0_2G2I_B,43.7
162,ABL1_HUMAN_D0_2G1T_A,43.7
163,ABL1_HUMAN_D0_1OPL_B,43.7
164,ABL1_HUMAN_D0_3UE4_A,43.7
165,ABL1_HUMAN_D0_2G2F_B,43.7
166,ABL1_MOUSE_D0_1IEP_A,43.7
167,ABL1_HUMAN_D0_2E2B_B,43.7
168,ABL1_HUMAN_D0_2HYY_D,43.7
169,ABL1_MOUSE_D0_1M52_B,43.7
170,ABL1_HUMAN_D0_3QRJ_A,43.7
171,ABL1_MOUSE_D0_3MS9_B,43.7
172,ABL1_MOUSE_D0_3KFA_B,43.7
173,SRC_CHICK_D0_2HWP_A,43.6
174,LCK_HUMAN_D0_3KXZ_A,43.5
175,LCK_HUMAN_D0_2OF2_A,43.5
176,LCK_HUMAN_D0_2OFV_A,43.5
177,LCK_HUMAN_D0_3B2W_A,43.5
178,LCK_HUMAN_D0_3AC4_A,43.5
179,LCK_HUMAN_D0_2OF4_A,43.5
180,LCK_HUMAN_D0_2OG8_A,43.5
181,LCK_HUMAN_D0_3AC3_A,43.5
182,LCK_HUMAN_D0_3AD4_A,43.5
183,LCK_HUMAN_D0_3AD5_A,43.5
184,LCK_HUMAN_D0_3ACJ_A,43.5
185,LCK_HUMAN_D0_3AC2_A,43.5
186,LCK_HUMAN_D0_3BYS_A,43.5
187,LCK_HUMAN_D0_3AC8_A,43.5
188,LCK_HUMAN_D0_3AC5_A,43.5
189,LCK_HUMAN_D0_2ZM4_A,43.5
190,LCK_HUMAN_D0_2ZM1_A,43.5
191,LCK_HUMAN_D0_2PL0_A,43.5
192,LCK_HUMAN_D0_1QPE_A,43.5
193,LCK_HUMAN_D0_3MPM_A,43.5
194,LCK_HUMAN_D0_4C3F_A,43.5
195,LCK_HUMAN_D0_3KMM_A,43.5
196,LCK_HUMAN_D0_2OFU_A,43.5
197,LCK_HUMAN_D0_3LCK_A,43.5
198,LCK_HUMAN_D0_1QPC_A,43.5
199,LCK_HUMAN_D0_3ACK_A,43.5
200,SRC_CHICK_D0_2QI8_A,43.5
201,LCK_HUMAN_D0_1QPJ_A,43.5
202,LCK_HUMAN_D0_3AD6_A,43.5
203,LCK_HUMAN_D0_3AC1_A,43.5
204,LCK_HUMAN_D0_2OG8_B,43.5
205,LCK_HUMAN_D0_3BYM_A,43.5
206,LCK_HUMAN_D0_3BYO_A,43.5
207,LCK_HUMAN_D0_3BYU_A,43.5
208,ABL1_HUMAN_D0_2HYY_A,43.4
209,ABL1_MOUSE_D0_3DK6_A,43.4
210,LCK_HUMAN_D0_2ZYB_A,43.1
211,SRC_CHICK_D0_2HWO_A,43.1
212,LCK_HUMAN_D0_1QPD_A,43.0
213,SRC_CHICK_D0_3SVV_A,43.0
214,SRC_CHICK_D0_2QQ7_A,42.9
215,SRC_CHICK_D0_3EL7_A,42.9
216,SRC_CHICK_D0_3G6H_A,42.7
217,SRC_CHICK_D0_3D7U_D,42.7
218,SRC_CHICK_D0_2QLQ_B,42.7
219,SRC_CHICK_D0_3LOK_A,42.7
220,SRC_HUMAN_D0_2BDJ_A,42.7
221,LYN_HUMAN_D0_3A4O_X,42.7
222,SRC_HUMAN_D0_2BDF_B,42.7
223,SRC_CHICK_D0_4U5J_A,42.7
224,SRC_CHICK_D0_4AGW_A,42.7
225,SRC_CHICK_D0_3G6H_B,42.7
226,SRC_HUMAN_D0_1YOM_A,42.7
227,SRC_CHICK_D0_2OIQ_B,42.7
228,SRC_CHICK_D0_3D7T_B,42.7
229,SRC_CHICK_D0_3DQX_A,42.7
230,SRC_CHICK_D0_3EL8_A,42.7
231,SRC_CHICK_D0_3G6G_B,42.7
232,SRC_CHICK_D0_4AGW_B,42.7
233,SRC_CHICK_D0_3QLF_A,42.7
234,SRC_HUMAN_D0_1FMK_A,42.7
235,SRC_CHICK_D0_3QLG_B,42.7
236,SRC_CHICK_D0_4LGG_B,42.7
237,SRC_CHICK_D0_2HWO_B,42.7
238,SRC_CHICK_D0_4DGG_A,42.7
239,SRC_HUMAN_D0_4MXZ_B,42.7
240,SRC_CHICK_D0_3OF0_A,42.7
241,SRC_CHICK_D0_4FIC_A,42.7
242,SRC_CHICK_D0_3UQG_A,42.7
243,SRC_CHICK_D0_3TZ9_B,42.7
244,SRC_CHICK_D0_3TZ7_A,42.7
245,SRC_CHICK_D0_3TZ8_B,42.7
246,SRC_CHICK_D0_3F3T_A,42.7
247,SRC_CHICK_D0_3TZ9_A,42.7
248,SRC_CHICK_D0_4MCV_B,42.7
249,SRC_CHICK_D0_3U51_B,42.7
250,SRC_HUMAN_D0_4K11_A,42.7
251,SRC_HUMAN_D0_4MXO_A,42.7
252,SRC_CHICK_D0_3EN4_A,42.7
253,SRC_CHICK_D0_3F3W_B,42.7
254,SRC_CHICK_D0_3G5D_A,42.7
