,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,IRE1_YEAST_D0_3LJ1_A,True,23.5,1.918222188949585
1,True,PKNB_MYCTU_D0_2FUM_D,True,24.0,1.8804296255111694
2,True,AAPK2_HUMAN_D0_4CFF_C,True,28.9,1.8801097869873047
3,True,PIM1_HUMAN_D0_4MED_A,True,23.7,1.992711067199707
4,True,AAPK2_HUMAN_D0_2YZA_A,True,28.9,1.8973954916000366
5,True,FAK1_HUMAN_D0_2IJM_A,True,42.5,1.9191806316375732
6,False,FGFR1_HUMAN_D0_3RHX_B,False,34.2,
7,True,PAK4_HUMAN_D0_4JDJ_A,True,23.4,2.013216972351074
8,True,CDK2_HUMAN_D0_3QHR_C,True,25.5,1.8780933618545532
9,True,CSK21_HUMAN_D0_3Q9Z_A,True,19.4,1.8786776065826416
10,True,MK14_MOUSE_D0_4LOQ_C,True,23.2,2.0026168823242188
11,True,PAK4_HUMAN_D0_4FIE_A,True,23.4,2.0171098709106445
12,True,HASP_HUMAN_D0_3F2N_A,True,23.6,2.085003137588501
13,True,CHK1_HUMAN_D0_4FST_A,True,25.7,2.0327649116516113
14,True,GSK3B_HUMAN_D0_3ZRL_B,True,29.3,1.9400253295898438
15,True,MK14_HUMAN_D0_3DS6_D,True,24.0,1.9616397619247437
16,True,PDPK1_HUMAN_D0_3PWY_A,True,24.1,1.9864240884780884
17,True,MK14_HUMAN_D0_4KIQ_C,True,24.0,1.9378596544265747
18,True,MK14_MOUSE_D0_1YW2_A,True,22.4,1.9287939071655273
19,True,EGFR_HUMAN_D0_2ITX_A,True,37.6,1.9698354005813599
20,True,MK14_HUMAN_D0_3O8T_A,True,22.1,1.9989567995071411
21,True,MKNK1_HUMAN_D0_2HW6_B,True,23.6,2.025993585586548
22,False,SRC_HUMAN_D0_1YOJ_B,True,38.0,
23,True,MK14_HUMAN_D0_3GCP_A,True,24.0,1.9895646572113037
24,True,MUSK_RAT_D0_1LUF_A,True,38.8,1.9490034580230713
25,True,ABL1_MOUSE_D0_3IK3_B,True,39.7,1.9359183311462402
26,True,MP2K6_HUMAN_D0_3ENM_C,True,26.4,2.0389487743377686
27,True,MP2K1_HUMAN_D0_4AN9_A,True,29.8,1.8793623447418213
28,False,WEE1_HUMAN_D0_2IO6_A,False,22.8,
29,True,ABL1_HUMAN_D0_2HYY_C,True,38.6,1.8813222646713257
30,True,ABL1_HUMAN_D0_2HZ4_A,True,38.6,1.9428887367248535
31,True,ABL1_HUMAN_D0_2HZI_B,True,38.6,1.9397047758102417
32,True,TYK2_MOUSE_D1_4E20_A,True,37.3,1.9599708318710327
33,True,MK14_HUMAN_D0_3NNU_A,True,24.0,1.9496831893920898
34,True,GSK3B_HUMAN_D0_2JLD_B,True,28.1,1.8269237279891968
35,True,TTK_HUMAN_D0_2ZMC_A,True,18.6,2.005338668823242
36,True,ACVL1_HUMAN_D0_3MY0_A,True,24.7,1.9581997394561768
37,True,CDK2_HUMAN_D0_3RPV_A,True,25.5,1.8596253395080566
38,False,CDK7_HUMAN_D0_1UA2_D,False,23.6,
39,True,MK14_MOUSE_D0_4LOP_B,True,23.2,2.00062894821167
40,True,TGFR1_HUMAN_D0_3TZM_A,True,25.9,1.8740828037261963
41,True,SRC_CHICK_D0_2OIQ_A,True,38.2,1.922261357307434
42,True,PIM1_HUMAN_D0_3VBT_A,True,23.7,1.9621633291244507
43,True,STK3_HUMAN_D0_4LG4_C,True,27.8,1.9458849430084229
44,True,PIM2_HUMAN_D0_2IWI_A,True,25.1,1.9611424207687378
45,True,MK10_HUMAN_D0_3FI3_A,True,25.5,2.038367509841919
46,True,ACVL1_HUMAN_D0_3MY0_H,True,24.7,1.9563918113708496
47,True,GSK3B_HUMAN_D0_1Q5K_A,True,29.3,1.9446651935577393
48,True,TBK1_HUMAN_D0_4EUT_B,True,29.3,2.0372586250305176
49,False,ABL1_MOUSE_D0_3DK7_B,True,39.7,
50,True,MK14_HUMAN_D0_3HV7_A,True,24.0,1.9665337800979614
51,True,MK13_HUMAN_D0_3COI_A,True,23.2,1.9356536865234375
52,True,STK24_HUMAN_D0_3CKX_A,True,29.0,1.917060375213623
53,True,TYK2_HUMAN_D1_4PY1_A,True,36.1,1.9581152200698853
54,True,CDK9_HUMAN_D0_4IMY_E,True,23.6,1.8546868562698364
55,False,PIM1_HUMAN_D0_2O65_A,True,23.7,
56,False,FGFR1_HUMAN_D0_1FGI_B,False,34.2,
57,True,MK08_HUMAN_D0_4HYU_A,True,22.1,2.0196356773376465
58,True,TYK2_MOUSE_D1_4E1Z_A,True,37.6,1.959725022315979
59,True,ERN1_MOUSE_D0_4PL5_C,True,25.2,1.8677396774291992
60,True,MK01_HUMAN_D0_3I60_A,True,24.3,1.9146648645401
61,True,DAPK2_MOUSE_D0_2YAA_A,True,25.5,1.9368164539337158
62,True,RN5A_HUMAN_D0_4OAV_B,True,18.5,1.96412992477417
63,True,CSK21_HUMAN_D0_3U9C_A,True,19.4,1.8823491334915161
64,True,AKT2_HUMAN_D0_2UW9_A,True,24.0,2.00044846534729
65,True,ST32A_HUMAN_D0_4FR4_C,True,24.7,2.0290372371673584
66,True,MAPK2_HUMAN_D0_3GOK_G,True,25.2,2.105680227279663
67,True,MK11_HUMAN_D0_3GP0_A,True,26.2,1.871091365814209
68,True,AKT2_HUMAN_D0_1O6K_A,True,24.0,1.9461548328399658
69,True,MK14_HUMAN_D0_4EHV_A,True,24.0,1.9478421211242676
70,True,CDK2_HUMAN_D0_3R9H_A,True,25.5,1.8033385276794434
71,True,IGF1R_HUMAN_D0_3F5P_H,True,32.7,2.062575340270996
72,True,CSK21_HUMAN_D0_4MD9_F,True,19.4,1.8845301866531372
73,True,ALK_HUMAN_D0_2XB7_A,True,35.4,1.9186286926269531
74,True,AKT2_HUMAN_D0_3E88_B,True,24.0,2.0028769969940186
75,True,EPHB1_HUMAN_D0_3ZFX_D,True,41.1,1.9446786642074585
76,False,EPHB4_HUMAN_D0_2VX1_A,False,41.8,
77,True,EPHA3_HUMAN_D0_2QO7_A,True,40.8,1.9596130847930908
78,False,DAPK2_HUMAN_D0_1ZWS_C,True,24.7,
79,True,CDK5_HUMAN_D0_1UNL_B,True,23.2,1.8498716354370117
80,True,AKT1_HUMAN_D0_3OCB_B,True,26.6,2.0141191482543945
81,True,ALK_HUMAN_D0_4CMO_A,True,35.4,1.9258942604064941
82,True,MERTK_HUMAN_D0_4MH7_A,True,35.7,1.9576342105865479
83,True,SRC_CHICK_D0_3EN6_A,True,38.2,1.9388713836669922
84,True,CDK2_HUMAN_D0_3QTU_A,True,25.5,1.809360146522522
85,True,MK14_HUMAN_D0_1OUK_A,True,24.0,1.9466991424560547
86,True,NTRK1_HUMAN_D0_4PMP_A,True,37.2,1.9187805652618408
87,False,FGFR2_HUMAN_D0_4J98_B,False,34.2,
88,True,MERTK_HUMAN_D0_4M3Q_B,True,35.7,1.8778588771820068
89,True,MK01_RAT_D0_3O71_A,True,24.3,1.9249111413955688
90,False,DAPK1_HUMAN_D0_2Y4P_D,False,25.5,
91,True,ALK_HUMAN_D0_4CNH_A,True,35.4,1.9375141859054565
92,True,MET_HUMAN_D0_3L8V_A,True,33.8,1.913299322128296
93,True,MELK_HUMAN_D0_4D2V_D,True,24.3,2.3141539096832275
94,True,MK14_HUMAN_D0_3MH2_A,True,21.7,2.0112035274505615
95,True,ERN1_HUMAN_D0_3P23_C,True,24.4,1.8379780054092407
96,False,DAPK2_HUMAN_D0_1ZWS_B,True,24.7,
97,True,MK14_MOUSE_D0_2GTM_A,True,23.2,1.996984601020813
98,True,CDK2_HUMAN_D0_3R71_A,True,25.5,1.856203317642212
99,True,KAPCA_MOUSE_D0_3TNP_F,True,23.9,1.9870786666870117
100,True,MARK2_HUMAN_D0_3IEC_A,True,31.0,1.9550836086273193
101,True,KAPCA_MOUSE_D0_1REJ_A,True,23.9,1.9590301513671875
102,True,MAPK2_HUMAN_D0_3A2C_C,True,26.7,2.0125112533569336
103,True,MK14_HUMAN_D0_4KIN_C,True,24.0,1.975093126296997
104,True,PLK2_HUMAN_D0_4I6B_A,True,22.7,2.012514591217041
105,True,MARK2_HUMAN_D0_3IEC_C,True,31.0,1.9819378852844238
106,True,CSK21_HUMAN_D0_4MD9_K,True,19.4,1.9176342487335205
107,True,DAPK2_HUMAN_D0_2CKE_A,True,24.7,1.9531025886535645
108,True,NAHK_BIFL2_D0_4OCK_A,True,16.3,1.9512933492660522
109,True,EPHA4_MOUSE_D0_2HEL_A,True,40.5,2.0039403438568115
110,True,CDK2_HUMAN_D0_4EOR_A,True,25.5,1.8753410577774048
111,True,KSYK_HUMAN_D0_4FYN_A,True,64.5,1.9602617025375366
112,True,CSK2A_MAIZE_D0_2OXY_B,True,19.4,1.884966254234314
113,True,PIM1_HUMAN_D0_1YWV_A,True,23.7,1.9511775970458984
114,True,MP2K1_HUMAN_D0_4MNE_H,True,28.5,2.023486614227295
115,True,EGFR_HUMAN_D0_4WKQ_A,True,37.6,1.9503779411315918
116,True,SLK_HUMAN_D0_2JFL_A,True,25.7,2.0829291343688965
117,True,AURKA_HUMAN_D0_3LAU_A,True,31.1,2.3778793811798096
118,True,MP2K2_HUMAN_D0_1S9I_B,True,28.5,1.9662896394729614
119,True,AURKA_HUMAN_D0_2J50_B,True,31.1,2.227717399597168
120,True,MAPK3_HUMAN_D0_3SHE_A,True,21.1,1.9716126918792725
121,True,MET_HUMAN_D0_4DEH_A,True,33.8,1.875549077987671
122,True,M3K7_HUMAN_D0_4GS6_A,True,31.2,1.9725279808044434
