,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,TYK2_MOUSE_D1_4E20_A,True,34.8,0.5952799916267395
1,False,FGFR1_HUMAN_D0_3TT0_B,False,38.1,
2,True,PAK4_HUMAN_D0_4JDJ_A,True,25.0,1.2445948123931885
3,True,FAK1_HUMAN_D0_2IJM_A,True,40.5,0.2953537106513977
4,True,JAK2_HUMAN_D1_4C62_B,True,34.4,0.6416242718696594
5,False,JAK3_HUMAN_D1_3PJC_A,False,39.2,
6,True,CDK2_HUMAN_D0_3R9H_A,True,23.9,1.0670690536499023
7,False,ABL1_HUMAN_D0_2HYY_C,False,41.3,
8,False,FGFR1_HUMAN_D0_4F63_A,False,38.1,
9,True,DAPK2_HUMAN_D0_1ZWS_B,True,24.3,1.0463374853134155
10,True,AAPK2_HUMAN_D0_4CFF_C,True,24.9,0.7111870050430298
11,True,TGFR1_HUMAN_D0_3TZM_A,True,26.5,0.5856229662895203
12,True,TYK2_MOUSE_D1_4E1Z_A,True,34.7,0.593231201171875
13,True,AAPK2_HUMAN_D0_2YZA_A,True,24.9,0.8066312074661255
14,True,STK3_HUMAN_D0_4LG4_C,True,29.0,0.5391330122947693
15,True,PIM1_HUMAN_D0_4MED_A,True,26.1,0.6441556811332703
16,True,CDK5_HUMAN_D0_1UNL_B,True,24.6,0.8704444766044617
17,True,EPHA3_HUMAN_D0_2QO7_A,True,38.5,0.32668229937553406
18,False,FGFR2_HUMAN_D0_2PY3_A,False,38.1,
19,True,ABL1_HUMAN_D0_2HZI_B,True,41.3,0.4587116837501526
20,True,ST32A_HUMAN_D0_4FR4_C,True,25.5,0.6265907287597656
21,True,IRE1_YEAST_D0_3FBV_H,True,22.0,1.411515235900879
22,True,SRC_CHICK_D0_3OEZ_B,True,42.9,0.3460281491279602
23,True,PKNB_MYCTU_D0_2FUM_D,True,20.1,0.7248854637145996
24,True,SRC_CHICK_D0_3UQG_B,True,42.9,0.4606083035469055
25,True,ABL1_HUMAN_D0_2HZ4_A,True,41.3,0.4564046859741211
26,True,ALK_HUMAN_D0_2XB7_A,True,36.2,0.324375718832016
27,True,CDK2_HUMAN_D0_3R1Y_A,True,23.9,1.1302579641342163
28,True,MK14_MOUSE_D0_1YW2_A,True,22.4,0.7863765954971313
29,False,FGFR2_HUMAN_D0_2PZ5_A,False,38.1,
30,False,FGFR2_HUMAN_D0_4J98_B,False,38.1,
31,True,MK14_MOUSE_D0_2GTM_A,True,24.6,0.7857768535614014
32,True,MK14_MOUSE_D0_4LOP_B,True,24.6,0.6539290547370911
33,True,ERN1_MOUSE_D0_4PL5_C,True,26.0,1.3235902786254883
34,True,PLK2_HUMAN_D0_4I6B_A,True,21.9,0.5849637985229492
35,True,ABL1_MOUSE_D0_3IK3_B,True,42.1,0.46694254875183105
36,True,DAPK2_HUMAN_D0_2CKE_A,True,24.3,1.043976068496704
37,True,PAK4_HUMAN_D0_4FIE_A,True,25.0,1.184977412223816
38,True,ABL1_MOUSE_D0_3DK7_B,True,42.1,0.5040668845176697
