,templateid,seqid
0,LYN_HUMAN_D0_3A4O_X,59.6
1,SRC_CHICK_D0_2HWO_A,59.1
2,SRC_HUMAN_D0_1YOL_B,59.1
3,SRC_CHICK_D0_3SVV_A,59.1
4,LYN_MOUSE_D0_2ZV7_A,59.1
5,SRC_HUMAN_D0_1YOL_A,59.1
6,LYN_MOUSE_D0_2ZV8_A,59.1
7,SRC_HUMAN_D0_4MXZ_A,58.9
8,SRC_HUMAN_D0_4MXY_A,58.9
9,LYN_MOUSE_D0_2ZV9_A,58.9
10,SRC_CHICK_D0_2QQ7_A,58.8
11,SRC_HUMAN_D0_4MXX_B,58.7
12,SRC_HUMAN_D0_4MXO_B,58.7
13,SRC_HUMAN_D0_2BDF_B,58.7
14,SRC_HUMAN_D0_1YOM_A,58.7
15,SRC_HUMAN_D0_4MXX_A,58.7
16,SRC_HUMAN_D0_1YI6_B,58.7
17,SRC_HUMAN_D0_4MXY_B,58.7
18,SRC_HUMAN_D0_4K11_A,58.7
19,SRC_HUMAN_D0_1YI6_A,58.7
20,SRC_HUMAN_D0_2H8H_A,58.7
21,SRC_HUMAN_D0_1YOJ_A,58.7
22,SRC_HUMAN_D0_2SRC_A,58.7
23,SRC_HUMAN_D0_2BDJ_A,58.7
24,SRC_CHICK_D0_3F6X_B,58.7
25,SRC_HUMAN_D0_4MXO_A,58.7
26,SRC_HUMAN_D0_1YOM_B,58.7
27,SRC_CHICK_D0_4LGH_B,58.7
28,SRC_CHICK_D0_3EN7_A,58.7
29,SRC_HUMAN_D0_1FMK_A,58.7
30,SRC_HUMAN_D0_2BDF_A,58.7
31,SRC_HUMAN_D0_1Y57_A,58.7
32,SRC_HUMAN_D0_1KSW_A,58.5
33,SRC_CHICK_D0_4MCV_B,58.5
34,LYN_MOUSE_D0_2ZVA_A,58.4
35,SRC_CHICK_D0_2QI8_A,58.3
36,SRC_CHICK_D0_3LOK_B,58.3
37,SRC_CHICK_D0_3SVV_B,58.2
38,SRC_CHICK_D0_2QQ7_B,58.2
39,SRC_CHICK_D0_2QI8_B,58.2
40,SRC_CHICK_D0_3EN7_B,58.1
41,SRC_CHICK_D0_4LGG_A,58.0
42,SRC_CHICK_D0_3EL7_A,58.0
43,SRC_CHICK_D0_3DQX_A,57.9
44,SRC_CHICK_D0_3OEZ_B,57.9
45,SRC_CHICK_D0_3D7T_B,57.9
46,SRC_CHICK_D0_3G5D_B,57.9
47,SRC_CHICK_D0_3UQG_A,57.9
48,SRC_CHICK_D0_3OF0_A,57.9
49,SRC_CHICK_D0_3G5D_A,57.9
50,SRC_CHICK_D0_4DGG_A,57.9
51,SRC_CHICK_D0_2QLQ_B,57.9
52,SRC_CHICK_D0_3F3W_A,57.9
53,SRC_CHICK_D0_2OIQ_A,57.9
54,SRC_CHICK_D0_3EL8_A,57.9
55,SRC_CHICK_D0_3TZ7_A,57.9
56,SRC_CHICK_D0_3QLF_A,57.9
57,SRC_CHICK_D0_3TZ9_A,57.9
58,SRC_CHICK_D0_3G6G_B,57.9
59,SRC_CHICK_D0_3F6X_A,57.9
60,SRC_CHICK_D0_4LGH_A,57.9
61,SRC_CHICK_D0_3UQG_B,57.9
62,SRC_CHICK_D0_3F6X_C,57.9
63,SRC_CHICK_D0_4DGG_B,57.9
64,SRC_CHICK_D0_4AGW_A,57.9
65,SRC_CHICK_D0_2QLQ_A,57.9
66,SRC_CHICK_D0_3G6G_A,57.9
67,SRC_CHICK_D0_3UQF_A,57.9
68,SRC_CHICK_D0_3UQF_B,57.9
69,SRC_CHICK_D0_3G6H_B,57.9
70,SRC_CHICK_D0_3G6H_A,57.9
71,SRC_CHICK_D0_3QLG_B,57.9
72,SRC_CHICK_D0_3GEQ_B,57.9
73,SRC_CHICK_D0_3D7U_D,57.9
74,SRC_CHICK_D0_3OEZ_A,57.9
75,SRC_CHICK_D0_2OIQ_B,57.9
76,SRC_CHICK_D0_3OF0_B,57.9
77,SRC_CHICK_D0_3F3V_A,57.9
78,SRC_CHICK_D0_3F3T_A,57.9
79,SRC_CHICK_D0_3EL8_B,57.9
80,SRC_CHICK_D0_4AGW_B,57.9
81,SRC_CHICK_D0_3F3U_B,57.9
82,SRC_CHICK_D0_3D7U_B,57.9
83,SRC_CHICK_D0_4U5J_A,57.9
84,SRC_CHICK_D0_4LGG_B,57.9
85,SRC_CHICK_D0_3F6X_D,57.9
86,SRC_CHICK_D0_4FIC_A,57.9
87,SRC_CHICK_D0_3F3V_B,57.9
88,SRC_CHICK_D0_2HWO_B,57.9
89,SRC_CHICK_D0_3EN6_A,57.9
90,SRC_CHICK_D0_3TZ7_B,57.9
91,SRC_CHICK_D0_3TZ9_B,57.9
92,SRC_CHICK_D0_3DQX_B,57.9
93,SRC_CHICK_D0_3U51_A,57.9
94,SRC_CHICK_D0_2HWP_B,57.9
95,SRC_CHICK_D0_3GEQ_A,57.9
96,SRC_CHICK_D0_3EN4_B,57.9
97,SRC_CHICK_D0_3TZ8_A,57.9
98,SRC_CHICK_D0_3TZ8_B,57.9
99,SRC_CHICK_D0_3F3T_B,57.9
100,SRC_CHICK_D0_3QLG_A,57.9
101,SRC_CHICK_D0_3F3W_B,57.9
102,SRC_CHICK_D0_3U51_B,57.9
103,SRC_CHICK_D0_3LOK_A,57.9
104,SRC_CHICK_D0_4U5J_B,57.9
105,SRC_CHICK_D0_3EN6_B,57.9
106,SRC_CHICK_D0_3EN4_A,57.9
107,SRC_CHICK_D0_3U4W_A,57.9
108,SRC_CHICK_D0_4FIC_B,57.9
109,SRC_CHICK_D0_2PTK_A,57.9
110,SRC_CHICK_D0_3F3U_A,57.9
111,SRC_CHICK_D0_3EN5_A,57.8
112,SRC_CHICK_D0_3DQW_D,57.5
113,SRC_CHICK_D0_3DQW_A,57.5
114,SRC_HUMAN_D0_1YOJ_B,57.5
115,SRC_CHICK_D0_3DQW_C,57.5
116,HCK_HUMAN_D0_2HK5_A,57.5
117,SRC_CHICK_D0_3DQW_B,57.5
118,LCK_HUMAN_D0_2OFV_B,57.4
119,HCK_HUMAN_D0_1AD5_B,57.4
120,HCK_HUMAN_D0_2HCK_A,57.4
121,HCK_HUMAN_D0_2HCK_B,57.4
122,HCK_HUMAN_D0_1AD5_A,57.4
123,SRC_CHICK_D0_3QLF_B,57.4
124,SRC_CHICK_D0_2HWP_A,57.3
125,HCK_HUMAN_D0_3VS2_A,57.1
126,HCK_HUMAN_D0_4LUE_A,57.1
127,HCK_HUMAN_D0_4LUD_A,57.1
128,HCK_HUMAN_D0_3VS6_B,57.1
129,HCK_HUMAN_D0_1QCF_A,57.1
130,HCK_HUMAN_D0_3VS4_B,57.1
131,HCK_HUMAN_D0_3VS6_A,57.1
132,HCK_HUMAN_D0_2C0T_B,57.1
133,HCK_HUMAN_D0_2C0O_A,57.1
134,HCK_HUMAN_D0_3VS3_B,57.1
135,HCK_HUMAN_D0_3VS7_B,57.1
136,HCK_HUMAN_D0_2C0I_A,57.1
137,HCK_HUMAN_D0_3VS1_B,57.1
138,HCK_HUMAN_D0_3VS3_A,57.1
139,HCK_HUMAN_D0_3VS7_A,57.1
140,HCK_HUMAN_D0_3VS1_A,57.1
141,HCK_HUMAN_D0_2C0T_A,57.1
142,HCK_HUMAN_D0_4LUE_B,57.1
143,HCK_HUMAN_D0_3VRY_B,57.1
144,HCK_HUMAN_D0_4LUD_B,57.1
145,HCK_HUMAN_D0_2C0O_B,57.1
146,HCK_HUMAN_D0_3VRZ_A,57.1
147,HCK_HUMAN_D0_3VS0_B,57.1
148,HCK_HUMAN_D0_3VRZ_B,57.1
149,HCK_HUMAN_D0_3VS2_B,57.1
150,HCK_HUMAN_D0_3VS4_A,57.1
151,HCK_HUMAN_D0_3VS5_A,57.1
152,HCK_HUMAN_D0_3VS0_A,57.1
153,HCK_HUMAN_D0_2C0I_B,57.1
154,HCK_HUMAN_D0_3VRY_A,57.1
