,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,AAPK2_HUMAN_D0_2YZA_A,True,27.0,0.6503884196281433
1,False,JAK3_HUMAN_D1_3PJC_A,False,41.7,
2,True,CDK6_HUMAN_D0_1BI8_A,True,27.4,0.8373721837997437
3,True,TYK2_MOUSE_D1_4E20_A,False,35.7,0.5522995591163635
4,True,AAPK2_HUMAN_D0_4CFF_C,True,27.0,0.5921275019645691
5,True,RN5A_HUMAN_D0_4OAV_B,True,20.7,0.8730238676071167
6,False,FGFR2_HUMAN_D0_4J98_B,False,46.0,
7,True,TYK2_MOUSE_D1_4E1Z_A,False,36.1,0.5898110866546631
8,False,FGFR1_HUMAN_D0_3RHX_B,False,43.7,
9,True,EPHB1_HUMAN_D0_3ZFX_D,True,42.5,0.5782402157783508
10,False,FGFR1_HUMAN_D0_3TT0_B,False,43.7,
11,True,MK14_HUMAN_D0_3MH2_A,True,25.4,0.6212557554244995
12,True,FGFR2_HUMAN_D0_3B2T_A,True,46.0,0.6002025008201599
13,True,TGFR1_HUMAN_D0_3TZM_A,True,27.8,0.6895005702972412
14,True,STK3_HUMAN_D0_4LG4_C,True,25.0,0.5388876795768738
15,True,JAK2_HUMAN_D1_3IO7_A,True,38.1,0.5895350575447083
16,True,ABL1_HUMAN_D0_2HYY_C,True,93.3,0.0
17,True,ABL1_HUMAN_D0_2HZ4_A,True,93.3,0.5483487248420715
18,True,ABL1_HUMAN_D0_2HZI_B,True,93.3,0.5572217106819153
19,True,CDK2_HUMAN_D0_3R1Y_A,True,27.0,0.568210244178772
20,True,MUSK_RAT_D0_1LUF_A,True,45.2,0.36773720383644104
21,True,SLK_HUMAN_D0_2JFL_A,True,27.4,0.9460331797599792
22,True,ST32A_HUMAN_D0_4FR4_C,True,25.0,0.6866769194602966
23,True,CHK1_HUMAN_D0_4FST_A,True,24.2,0.8883028030395508
24,True,PIM1_HUMAN_D0_2O65_A,True,26.2,0.7471805810928345
25,True,PAK4_HUMAN_D0_4JDJ_A,True,23.0,0.6706767678260803
26,True,TYK2_HUMAN_D1_4PY1_A,False,34.9,0.5867232084274292
27,True,NEK1_HUMAN_D0_4B9D_B,True,24.1,0.6994357109069824
28,True,MP2K1_HUMAN_D0_4AN9_A,True,26.2,0.5719324946403503
29,True,SRC_CHICK_D0_3UQG_B,True,51.6,0.5485783219337463
30,False,FGFR1_HUMAN_D0_4F63_A,False,43.7,
31,True,PAK4_HUMAN_D0_4FIE_A,True,23.0,0.7034004926681519
32,True,FAK1_HUMAN_D0_2IJM_A,True,42.1,0.43996545672416687
33,True,JAK2_HUMAN_D1_4BBF_C,True,38.1,0.5847230553627014
34,True,ABL1_MOUSE_D0_3IK3_B,True,93.3,0.25521212816238403
35,True,PKNB_MYCTU_D0_2FUM_D,True,25.8,0.4936355650424957
36,True,CDK2_HUMAN_D0_3QHR_C,True,27.0,0.6326111555099487
37,True,CDK2_HUMAN_D0_3IG7_A,True,27.0,0.5424994826316833
38,True,MP2K1_HUMAN_D0_4MNE_H,True,26.2,0.6486451625823975
39,True,MK14_HUMAN_D0_4F9Y_A,True,28.6,0.5398693084716797
40,False,CDK7_HUMAN_D0_1UA2_D,False,26.2,
41,True,ACVL1_HUMAN_D0_3MY0_H,True,26.6,0.6941732168197632
42,True,IRE1_YEAST_D0_3FBV_H,True,26.2,0.6118549108505249
43,True,ABL1_MOUSE_D0_3DK7_B,True,93.3,0.5288835763931274
44,True,MK14_MOUSE_D0_2GTM_A,True,27.8,0.5625555515289307
45,True,MK14_HUMAN_D0_3MH3_A,True,26.6,0.6221673488616943
46,True,MKNK1_HUMAN_D0_2HW6_B,True,23.4,0.8809701800346375
47,True,PLK2_HUMAN_D0_4I6B_A,True,25.9,0.6148161888122559
48,True,ACVL1_HUMAN_D0_3MY0_A,True,26.6,0.7364712357521057
49,True,CDK2_HUMAN_D0_2WMB_C,True,27.0,0.6438121795654297
50,True,MK14_HUMAN_D0_3O8T_A,True,25.8,0.561590313911438
51,True,IKKB_HUMAN_D0_4E3C_D,True,27.8,0.8550934195518494
52,True,MK14_HUMAN_D0_3NNU_A,True,28.6,0.5102021098136902
53,True,ERN1_MOUSE_D0_4PL5_C,True,26.2,0.5242891311645508
54,True,DAPK2_HUMAN_D0_2CKE_A,True,22.2,0.6129274964332581
55,True,MK14_HUMAN_D0_3GCP_A,True,28.6,0.6368334293365479
56,True,AKT2_HUMAN_D0_3E88_B,True,27.4,0.6246693730354309
57,True,MK13_HUMAN_D0_3COI_A,True,28.2,0.5803707838058472
58,True,CDK2_HUMAN_D0_3R9H_A,True,27.0,0.5650707483291626
59,True,MK08_HUMAN_D0_4HYU_A,True,24.6,1.1214364767074585
60,True,MK14_HUMAN_D0_3DS6_D,True,28.6,0.4666967988014221
61,True,MK14_MOUSE_D0_1YW2_A,True,26.6,0.5325778126716614
62,True,TYK2_HUMAN_D1_4GFO_A,False,34.9,0.566956102848053
63,True,CDK9_HUMAN_D0_4IMY_E,True,26.6,0.826210618019104
64,True,PIM1_HUMAN_D0_1YWV_A,True,26.2,0.7282227277755737
65,True,HASP_HUMAN_D0_3F2N_A,True,23.8,0.9207553267478943
66,True,EPHA3_HUMAN_D0_2QON_A,True,42.1,0.4972180724143982
67,True,MP2K6_HUMAN_D0_3ENM_C,True,25.9,0.7855967879295349
68,True,GSK3B_HUMAN_D0_3ZRL_B,True,26.2,0.7113488912582397
69,True,CDK2_HUMAN_D0_3QTU_A,True,27.0,0.5430979132652283
70,True,EGFR_HUMAN_D0_2ITX_A,True,41.7,0.6141591668128967
71,True,MK08_HUMAN_D0_2G01_B,True,24.6,1.0134936571121216
72,True,MK14_HUMAN_D0_4KIN_C,True,28.6,0.5670744180679321
73,True,AKT2_HUMAN_D0_2UW9_A,True,27.4,0.6163365244865417
74,True,SRC_CHICK_D0_2OIQ_A,True,51.6,0.42733052372932434
75,True,DAPK2_MOUSE_D0_2YAA_A,True,22.6,0.595670223236084
76,True,ROCK1_HUMAN_D0_3TWJ_B,True,23.8,0.5673472881317139
77,True,SRC_CHICK_D0_3EN6_A,True,51.6,0.445219486951828
78,True,SRC_CHICK_D0_3LOK_B,True,51.4,0.5932080149650574
79,True,AKT2_HUMAN_D0_1O6K_A,True,27.4,0.6175931692123413
80,True,ALK_HUMAN_D0_4CMO_A,True,41.7,0.43653789162635803
81,True,MK11_HUMAN_D0_3GP0_A,True,26.2,0.478178471326828
82,True,PAK4_HUMAN_D0_2BVA_B,True,23.0,0.722662091255188
83,True,SRC_HUMAN_D0_1YI6_A,True,51.6,0.5695305466651917
84,True,AKT1_HUMAN_D0_3OCB_B,True,28.2,0.6138908863067627
85,True,CDK2_HUMAN_D0_3QTQ_A,True,27.0,0.5356495380401611
86,True,MK14_MOUSE_D0_4LOP_B,True,27.8,0.5121551752090454
87,True,AURKA_HUMAN_D0_3LAU_A,True,25.9,0.5022141337394714
88,True,GSK3B_HUMAN_D0_1Q5K_A,True,26.2,0.6872110366821289
89,True,MP2K2_HUMAN_D0_1S9I_B,True,25.4,0.5543769598007202
