,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,IKKB_HUMAN_D0_4E3C_D,True,24.6,1.0070750713348389
1,True,CDK2_HUMAN_D0_4BCO_C,True,24.6,0.9861345887184143
2,True,MK14_HUMAN_D0_3O8T_A,True,23.5,1.6753255128860474
3,True,JAK2_HUMAN_D1_4BBF_D,True,37.0,0.512793242931366
4,True,AAPK2_HUMAN_D0_2YZA_A,True,26.1,0.8802135586738586
5,True,EPHA3_HUMAN_D0_2QON_A,True,38.2,0.5626983642578125
6,True,AAPK2_HUMAN_D0_4CFF_C,True,26.1,0.6309468746185303
7,True,MK14_HUMAN_D0_3NNU_A,True,25.0,1.625624656677246
8,True,STK24_HUMAN_D0_3CKX_A,True,28.2,0.716644287109375
9,True,MK14_HUMAN_D0_3GCP_A,True,25.0,1.7019191980361938
10,True,MKNK1_HUMAN_D0_2HW6_B,True,25.7,1.2374615669250488
11,True,GSK3B_HUMAN_D0_1Q5K_A,True,26.1,1.1292895078659058
12,True,SRC_CHICK_D0_3EN6_A,True,39.4,0.6157306432723999
13,True,SRC_CHICK_D0_2OIQ_A,True,39.4,0.6548041701316833
14,True,TYK2_HUMAN_D1_4PY1_A,True,37.4,0.5934591293334961
15,True,MK14_MOUSE_D0_4LOQ_C,True,24.6,1.6400389671325684
16,True,TTK_HUMAN_D0_2ZMC_A,True,22.5,1.0090473890304565
17,True,MK11_HUMAN_D0_3GP0_A,True,26.4,1.5817134380340576
18,True,SRC_HUMAN_D0_1YI6_A,True,39.0,0.6281428933143616
19,True,MP2K1_HUMAN_D0_4AN9_A,True,29.4,0.582689642906189
20,True,RN5A_HUMAN_D0_4OAV_B,True,21.6,1.2569491863250732
21,True,MK14_MOUSE_D0_4LOP_B,True,24.6,1.5568336248397827
22,True,MUSK_RAT_D0_1LUF_A,True,41.4,0.645013689994812
23,True,MK14_MOUSE_D0_1YW2_A,True,23.9,1.7012574672698975
24,True,MK14_HUMAN_D0_4KIQ_C,True,25.0,1.6145306825637817
25,True,MK13_HUMAN_D0_3COI_A,True,25.0,1.3999041318893433
26,True,ABL1_HUMAN_D0_2HYY_C,True,44.4,0.9391083121299744
27,True,ABL1_HUMAN_D0_2HZ4_A,True,44.4,0.842074990272522
28,True,ABL1_HUMAN_D0_2HZI_B,True,44.4,0.7977179288864136
29,True,ALK_HUMAN_D0_2XB7_A,True,39.7,0.5020361542701721
30,True,DAPK2_HUMAN_D0_1ZWS_C,True,26.2,0.642180860042572
31,True,MK14_HUMAN_D0_3HV7_A,True,25.0,1.7347478866577148
32,True,MP2K6_HUMAN_D0_3ENM_C,True,24.7,1.2022831439971924
33,True,MK14_MOUSE_D0_2GTM_A,True,24.6,1.7028999328613281
34,True,CDK2_HUMAN_D0_3R1Y_A,True,24.6,1.0327696800231934
35,True,ACVL1_HUMAN_D0_3MY0_H,True,29.3,0.9628990292549133
36,True,ACVL1_HUMAN_D0_3MY0_A,True,29.3,1.0119600296020508
37,True,ABL1_MOUSE_D0_3DK7_B,True,46.0,0.7608932852745056
38,True,TYK2_HUMAN_D1_4GFO_A,True,35.4,0.5360837578773499
39,True,TBK1_HUMAN_D0_4EUT_B,True,26.4,0.9458602666854858
40,True,DAPK2_MOUSE_D0_2YAA_A,True,26.6,0.6020840406417847
41,True,CDK5_HUMAN_D0_1UNL_B,True,21.8,1.106287956237793
42,True,MK10_HUMAN_D0_3FI3_A,True,26.4,1.4667961597442627
43,True,PIM1_HUMAN_D0_3VBT_A,True,26.1,0.8937942981719971
44,True,ABL1_MOUSE_D0_3IK3_B,True,46.0,0.8916174173355103
45,True,MAPK2_HUMAN_D0_3GOK_G,True,22.9,1.0568300485610962
46,False,DAPK1_HUMAN_D0_2Y4P_D,False,26.6,
47,True,SRC_HUMAN_D0_1YOJ_B,True,42.0,1.065912127494812
48,True,MET_HUMAN_D0_3ZBX_A,True,37.7,0.7137466669082642
49,True,EPHA3_HUMAN_D0_2QO7_A,True,38.2,0.5722089409828186
50,True,MK14_HUMAN_D0_3DS6_D,True,25.0,1.6695963144302368
51,True,MK01_HUMAN_D0_3I60_A,True,23.9,1.1209006309509277
52,True,DAPK2_HUMAN_D0_1ZWS_B,True,26.2,0.6497331261634827
53,True,CDK2_HUMAN_D0_3QHR_C,True,24.6,1.0651060342788696
54,True,PDPK1_HUMAN_D0_3PWY_A,True,22.2,0.7966728210449219
55,True,MP2K1_HUMAN_D0_4MNE_H,True,26.8,0.7762642502784729
56,True,CSK21_HUMAN_D0_3Q9Z_A,True,22.1,1.5851330757141113
57,True,MK08_HUMAN_D0_4HYU_A,True,25.9,1.5817092657089233
58,True,AKT2_HUMAN_D0_2UW9_A,True,25.6,0.9673503041267395
59,True,MELK_HUMAN_D0_4D2V_D,True,27.2,1.1023861169815063
60,True,DDR1_HUMAN_D0_4CKR_A,True,36.8,0.7090069055557251
61,True,NTRK1_HUMAN_D0_4PMP_A,True,41.8,0.5838549137115479
62,True,MERTK_HUMAN_D0_4M3Q_B,True,40.8,0.48651331663131714
63,True,CSK2A_MAIZE_D0_2OXY_B,True,20.4,1.0814815759658813
64,True,MARK2_HUMAN_D0_3IEC_C,True,30.2,0.7678011059761047
65,True,TYK2_MOUSE_D1_4E1Z_A,True,35.9,0.5989289283752441
66,True,M3K7_HUMAN_D0_4GS6_A,True,30.9,0.7185328006744385
67,False,DAPK2_HUMAN_D0_2CKE_A,True,26.2,
68,True,CDK2_HUMAN_D0_3QTQ_A,True,24.6,1.015210747718811
69,True,AKT2_HUMAN_D0_3E88_B,True,25.6,0.968682050704956
