,templateid,seqid
0,MERTK_HUMAN_D0_3BPR_C,71.5
1,MERTK_HUMAN_D0_2P0C_B,70.2
2,MERTK_HUMAN_D0_3BRB_B,70.2
3,MERTK_HUMAN_D0_4MHA_A,70.2
4,MERTK_HUMAN_D0_4MH7_B,70.2
5,MERTK_HUMAN_D0_4MH7_A,70.2
6,MERTK_HUMAN_D0_4M3Q_B,70.2
7,MERTK_HUMAN_D0_3TCP_A,70.2
8,MERTK_HUMAN_D0_3BRB_A,70.2
9,MERTK_HUMAN_D0_3BPR_D,70.2
10,MERTK_HUMAN_D0_3BPR_B,70.2
11,MERTK_HUMAN_D0_2P0C_A,70.2
12,MERTK_HUMAN_D0_3TCP_B,70.2
13,MERTK_HUMAN_D0_3BPR_A,70.2
14,ABL1_MOUSE_D0_3OXZ_A,48.7
15,ABL1_MOUSE_D0_3DK6_A,47.5
16,MET_HUMAN_D0_4KNB_C,47.2
17,ABL1_HUMAN_D0_2HYY_A,47.0
18,ABL1_HUMAN_D0_2HYY_B,47.0
19,ABL1_MOUSE_D0_3K5V_A,47.0
20,ABL1_HUMAN_D0_2HIW_B,46.8
21,ABL1_MOUSE_D0_3MSS_B,46.8
22,ABL1_HUMAN_D0_2HZ0_B,46.8
23,ABL1_HUMAN_D0_3QRJ_B,46.8
24,ABL1_HUMAN_D0_2GQG_B,46.8
25,ABL1_HUMAN_D0_2G2H_B,46.8
26,ABL1_HUMAN_D0_2G1T_A,46.8
27,ABL1_HUMAN_D0_3CS9_A,46.8
28,ABL1_MOUSE_D0_3OY3_B,46.8
29,ABL1_MOUSE_D0_1OPJ_B,46.8
30,ABL1_HUMAN_D0_1OPL_A,46.8
31,ABL1_MOUSE_D0_3KFA_B,46.8
32,ABL1_HUMAN_D0_2G1T_D,46.8
33,ABL1_HUMAN_D0_3PYY_A,46.8
34,ABL1_HUMAN_D0_3QRI_A,46.8
35,ABL1_HUMAN_D0_2HZ4_A,46.8
36,ABL1_HUMAN_D0_2E2B_A,46.8
37,ABL1_HUMAN_D0_2HZ4_C,46.8
38,ABL1_MOUSE_D0_1FPU_A,46.8
39,ABL1_MOUSE_D0_1OPK_A,46.8
40,ABL1_HUMAN_D0_2F4J_A,46.8
41,ABL1_HUMAN_D0_2FO0_A,46.8
42,ABL1_HUMAN_D0_2G2H_A,46.8
43,ABL1_HUMAN_D0_2GQG_A,46.8
44,ABL1_HUMAN_D0_2HIW_A,46.8
45,ABL1_MOUSE_D0_3K5V_B,46.8
46,ABL1_MOUSE_D0_3DK3_B,46.8
47,ABL1_HUMAN_D0_2G2I_A,46.8
48,ABL1_HUMAN_D0_2HZ0_A,46.8
49,ABL1_HUMAN_D0_3QRK_A,46.8
50,ABL1_HUMAN_D0_2HZI_A,46.8
51,ABL1_HUMAN_D0_2HZ4_B,46.8
52,ABL1_MOUSE_D0_3MS9_A,46.8
53,ABL1_MOUSE_D0_1FPU_B,46.8
54,ABL1_MOUSE_D0_3KF4_B,46.8
55,ABL1_HUMAN_D0_3QRI_B,46.8
56,ABL1_HUMAN_D0_3UE4_B,46.8
57,ABL1_HUMAN_D0_1OPL_B,46.8
58,ABL1_HUMAN_D0_2G1T_B,46.8
59,ABL1_HUMAN_D0_2G2F_B,46.8
60,ABL1_HUMAN_D0_2HYY_D,46.8
61,ABL1_HUMAN_D0_3PYY_B,46.8
62,ABL1_MOUSE_D0_3KFA_A,46.8
63,ABL1_MOUSE_D0_2HZN_A,46.8
64,ABL1_HUMAN_D0_3CS9_B,46.8
65,ABL1_MOUSE_D0_1OPJ_A,46.8
66,ABL1_HUMAN_D0_2V7A_B,46.8
67,ABL1_MOUSE_D0_1M52_A,46.8
68,ABL1_MOUSE_D0_3MS9_B,46.8
69,ABL1_HUMAN_D0_3QRJ_A,46.8
70,ABL1_MOUSE_D0_1M52_B,46.8
71,ABL1_MOUSE_D0_2QOH_A,46.8
72,ABL1_MOUSE_D0_3DK7_A,46.8
73,ABL1_MOUSE_D0_2QOH_B,46.8
74,ABL1_HUMAN_D0_2E2B_B,46.8
75,ABL1_MOUSE_D0_1IEP_B,46.8
76,ABL1_HUMAN_D0_3CS9_D,46.8
77,ABL1_HUMAN_D0_3UE4_A,46.8
78,ABL1_HUMAN_D0_2G2F_A,46.8
79,ABL1_MOUSE_D0_3DK3_A,46.8
80,ABL1_MOUSE_D0_3MSS_C,46.8
81,ABL1_MOUSE_D0_2Z60_A,46.8
82,ABL1_MOUSE_D0_3KF4_A,46.8
83,ABL1_MOUSE_D0_1IEP_A,46.8
84,ABL1_MOUSE_D0_3DK6_B,46.8
85,ABL1_HUMAN_D0_2V7A_A,46.8
