,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,PDPK1_HUMAN_D0_3PWY_A,True,24.3,0.9458417296409607
1,True,PIM2_HUMAN_D0_2IWI_A,True,27.1,0.6698847413063049
2,True,HASP_HUMAN_D0_3F2N_A,True,22.4,1.5081796646118164
3,True,ROCK1_HUMAN_D0_3TWJ_B,True,23.2,0.9037006497383118
4,True,PLK1_HUMAN_D0_2RKU_A,True,27.3,0.5690414905548096
5,True,CDK5_HUMAN_D0_1UNL_B,True,25.5,0.9020808935165405
6,True,CDK2_HUMAN_D0_3QTU_A,True,24.3,0.5431811809539795
7,True,AAPK2_HUMAN_D0_2YZA_A,True,28.1,0.7122299075126648
8,True,TYK2_HUMAN_D1_4PY1_A,True,39.0,0.4951454699039459
9,True,KAPCA_HUMAN_D0_3L9M_B,True,24.3,0.5663894414901733
10,True,CDK2_HUMAN_D0_4EOK_C,True,24.3,0.5934101939201355
11,False,FGFR2_HUMAN_D0_2PY3_A,False,38.6,
12,True,KC1D_HUMAN_D0_4KB8_A,True,22.0,0.7707847356796265
13,True,STK3_HUMAN_D0_4LG4_C,True,26.6,0.4510153532028198
14,True,KAPCA_BOVIN_D0_3E8C_B,True,23.9,0.5564666986465454
15,True,JAK2_HUMAN_D1_4BBF_D,True,36.7,0.4760640263557434
16,True,GSK3B_HUMAN_D0_3ZRL_B,True,29.0,0.5468327403068542
17,False,ABL1_HUMAN_D0_2HYY_C,False,40.5,
18,True,SRC_CHICK_D0_3OEZ_B,True,39.0,0.4057990312576294
19,True,CDK2_HUMAN_D0_3R1Y_A,True,24.3,0.5653316378593445
20,True,AAPK2_HUMAN_D0_4CFF_C,True,28.1,0.5153621435165405
21,True,PAK4_HUMAN_D0_4FIE_A,True,25.0,0.5941939949989319
22,True,ABL1_HUMAN_D0_2HZ4_A,True,40.5,0.42935803532600403
23,True,ABL1_HUMAN_D0_2HZI_B,True,40.5,0.4486353397369385
24,True,CDK6_HUMAN_D0_1JOW_B,True,24.7,0.7495275735855103
25,True,IGF1R_HUMAN_D0_3F5P_H,True,40.2,0.5245952606201172
26,True,CSK21_HUMAN_D0_3Q9Z_A,True,22.0,0.6000156998634338
27,True,ALK_HUMAN_D0_4CMO_A,True,37.8,0.3373847007751465
28,True,MK14_MOUSE_D0_1YW2_A,True,18.5,0.7168734669685364
29,True,ACVL1_HUMAN_D0_3MY0_A,True,28.6,0.5319056510925293
30,True,MK14_HUMAN_D0_3O8T_A,True,17.4,0.7878937125205994
31,True,NTRK1_HUMAN_D0_4PMP_A,True,39.4,0.44883909821510315
32,True,MP2K6_HUMAN_D0_3ENM_C,True,26.4,0.8432848453521729
33,True,CDK2_HUMAN_D0_3QHR_C,True,24.3,0.598315417766571
34,False,FGFR2_HUMAN_D0_4J98_B,False,38.6,
35,False,FGFR1_HUMAN_D0_4F63_A,False,38.6,
36,True,PAK4_HUMAN_D0_4JDJ_A,True,25.0,0.6071833968162537
37,True,MK14_MOUSE_D0_4LOQ_C,True,19.7,0.6557003855705261
38,True,EGFR_HUMAN_D0_2ITX_A,True,37.5,0.5042837858200073
39,False,FGFR2_HUMAN_D0_2PZ5_A,False,38.6,
40,True,TYK2_MOUSE_D1_4E1Z_A,True,38.2,0.5143120884895325
41,False,JAK3_HUMAN_D1_3PJC_A,False,39.0,
42,True,MK14_HUMAN_D0_4KIQ_C,True,19.7,0.6334339380264282
43,True,MK14_HUMAN_D0_3MH2_A,True,16.2,0.7374238967895508
44,False,FGFR1_HUMAN_D0_3RHX_B,False,38.6,
45,True,MK14_MOUSE_D0_2GTM_A,True,19.7,0.702350378036499
46,True,ABL1_MOUSE_D0_3IK3_B,True,41.7,0.43754899501800537
47,True,CDK2_HUMAN_D0_1PXM_A,True,24.3,0.5572893023490906
48,True,MK14_HUMAN_D0_3GCP_A,True,19.7,0.7726008296012878
49,True,MK14_HUMAN_D0_3NNU_A,True,19.7,0.665465772151947
50,True,JAK2_HUMAN_D1_4BBF_C,True,36.7,0.47905343770980835
51,True,EPHA3_HUMAN_D0_2QON_A,True,39.4,0.35986319184303284
52,True,SRC_CHICK_D0_2OIQ_A,True,39.0,0.30588051676750183
53,True,ABL1_MOUSE_D0_3DK7_B,True,41.7,0.4658907651901245
54,True,MK14_HUMAN_D0_4KIN_C,True,19.7,0.6542399525642395
55,True,ST32A_HUMAN_D0_4FR4_C,True,25.1,0.5282080173492432
56,True,ALK_HUMAN_D0_4CNH_A,True,37.8,0.41050636768341064
57,True,TAOK2_RAT_D0_1U5R_A,True,25.6,0.5334289073944092
58,True,MKNK1_HUMAN_D0_2HW6_B,True,22.0,1.036678671836853
59,True,ACVL1_HUMAN_D0_3MY0_H,True,28.6,0.5244699716567993
60,True,EPHB1_HUMAN_D0_3ZFX_D,True,41.7,0.3669458031654358
61,True,DAPK2_HUMAN_D0_1ZWS_C,True,23.9,0.9313942193984985
62,True,ERN1_MOUSE_D0_4PL5_C,True,22.0,0.5693031549453735
63,True,MK14_HUMAN_D0_3DS6_D,True,19.7,0.6674741506576538
64,True,MK10_HUMAN_D0_3FI3_A,True,25.9,0.7444167733192444
65,True,AKT2_HUMAN_D0_2UW9_A,True,23.3,0.5997917652130127
66,True,CDK2_HUMAN_D0_3RPV_A,True,24.3,0.5570761561393738
67,True,AKT2_HUMAN_D0_1O6K_A,True,23.3,0.5939111113548279
68,True,MK14_MOUSE_D0_4LOP_B,True,19.7,0.6195482015609741
69,True,MK01_RAT_D0_3O71_A,True,25.5,0.5720158815383911
70,True,CDK2_HUMAN_D0_3IG7_A,True,24.3,0.5577986240386963
71,True,DAPK2_MOUSE_D0_2YAA_A,True,24.7,0.8628852367401123
72,True,MP2K1_HUMAN_D0_4AN9_A,True,25.4,0.6096135377883911
73,True,MK13_HUMAN_D0_3COI_A,True,20.5,0.9226058125495911
74,True,MUSK_RAT_D0_1LUF_A,True,42.1,0.5893667936325073
75,True,MK14_HUMAN_D0_3HV7_A,True,19.7,0.6613134741783142
76,True,CDK2_HUMAN_D0_3QTQ_A,True,24.3,0.5548754334449768
77,True,GSK3B_HUMAN_D0_1Q5K_A,True,29.0,0.5660810470581055
78,True,EPHA3_HUMAN_D0_2QO7_A,True,39.4,0.3727971911430359
79,True,MP2K2_HUMAN_D0_1S9I_B,True,27.8,1.0579419136047363
80,True,PLK2_HUMAN_D0_4I6B_A,True,25.5,0.574839174747467
81,True,MAPK2_HUMAN_D0_3A2C_C,True,26.7,0.9839341640472412
82,True,CDK2_HUMAN_D0_2WMB_C,True,24.3,0.5888287425041199
83,True,PIM1_HUMAN_D0_2O65_A,True,24.9,0.6984180808067322
84,True,STK24_HUMAN_D0_3CKX_A,True,29.4,0.6332523226737976
85,True,TBK1_HUMAN_D0_4EUT_B,True,29.0,0.904440701007843
86,True,CDK2_HUMAN_D0_2R3G_A,True,24.3,0.567491352558136
87,True,IKKB_HUMAN_D0_4E3C_D,True,25.9,0.8137995004653931
88,True,HCK_HUMAN_D0_3VS2_B,True,41.7,0.39234238862991333
89,True,MET_HUMAN_D0_3ZBX_A,False,36.3,0.4445474147796631
90,True,AKT2_HUMAN_D0_3E88_B,True,23.3,0.5920862555503845
91,True,DAPK2_HUMAN_D0_2CKE_A,True,23.9,0.8809383511543274
92,True,MERTK_HUMAN_D0_3BPR_A,True,38.6,0.3702053129673004
93,True,MAPK2_HUMAN_D0_3GOK_G,True,24.3,0.9385372996330261
94,True,PIM1_HUMAN_D0_1YWV_A,True,24.9,0.7083810567855835
95,True,MERTK_HUMAN_D0_4MH7_A,True,38.6,0.43093255162239075
96,True,CSK21_HUMAN_D0_4MD9_K,True,22.0,0.599498987197876
97,True,CDK2_HUMAN_D0_3EZR_A,True,24.3,0.5198466777801514
98,True,DAPK2_HUMAN_D0_1ZWS_B,True,23.9,0.9455875754356384
99,True,MK11_HUMAN_D0_3GP0_A,True,21.2,0.6689444184303284
100,True,AKT1_HUMAN_D0_3OCB_B,True,23.2,0.5658695697784424
101,True,CSK21_HUMAN_D0_3OWL_A,True,22.0,0.6017769575119019
102,True,PAK4_HUMAN_D0_2BVA_B,True,25.0,0.5987052321434021
103,True,ALK_HUMAN_D0_2XB7_A,True,37.8,0.334706574678421
104,True,MK01_HUMAN_D0_3I60_A,True,25.5,0.5509239435195923
105,True,RN5A_HUMAN_D0_4OAV_B,True,20.7,0.934431791305542
106,True,MELK_HUMAN_D0_4D2V_D,True,26.8,0.4875744581222534
107,True,NEK1_HUMAN_D0_4B9D_B,True,24.5,0.7178047895431519
108,False,CDK7_HUMAN_D0_1UA2_D,False,22.0,
109,True,GSK3B_HUMAN_D0_4AFJ_B,True,29.0,0.5596885681152344
110,True,PKNB_MYCTU_D0_2FUM_D,True,24.3,0.6886483430862427
111,True,SLK_HUMAN_D0_2JFL_A,True,24.5,0.863332986831665
112,True,ARBK1_BOVIN_D0_2BCJ_A,True,24.7,0.5687673091888428
113,True,MK08_HUMAN_D0_4HYU_A,True,23.9,0.8676918745040894
114,True,MARK2_HUMAN_D0_3IEC_A,True,26.2,0.6381556391716003
115,True,MK14_HUMAN_D0_2QD9_A,True,19.7,0.6658608913421631
116,False,DAPK1_HUMAN_D0_2Y4P_D,False,24.3,
117,True,CSK21_HUMAN_D0_3FWQ_B,True,22.0,0.6288648843765259
118,True,MK14_HUMAN_D0_4F9Y_A,True,19.7,0.6398277282714844
119,True,KSYK_HUMAN_D0_4FYN_A,True,41.0,0.48293909430503845
120,True,KAPCA_MOUSE_D0_1SYK_A,True,23.9,0.590901792049408
121,True,MERTK_HUMAN_D0_4M3Q_B,True,38.6,0.4442446231842041
122,True,AURKA_HUMAN_D0_4JBQ_A,True,28.3,0.4985320568084717
