,templateid,seqid
0,TIE2_HUMAN_D0_1FVR_A,100.0
1,TIE2_HUMAN_D0_3L8P_A,100.0
2,TIE2_HUMAN_D0_1FVR_B,100.0
3,TIE2_HUMAN_D0_2WQB_A,100.0
4,FGFR4_HUMAN_D0_4R6V_A,49.4
5,FGFR1_HUMAN_D0_3GQI_A,48.0
6,FGFR1_HUMAN_D0_3GQL_A,48.0
7,FGFR1_HUMAN_D0_3JS2_A,47.6
8,FGFR1_HUMAN_D0_3C4F_B,47.6
9,FGFR1_HUMAN_D0_4NKA_B,47.6
10,FGFR4_HUMAN_D0_4TYJ_A,47.6
11,FGFR1_HUMAN_D0_4F65_A,47.6
12,FGFR1_HUMAN_D0_3KXX_A,47.6
13,FGFR1_HUMAN_D0_4NK9_B,47.6
14,FGFR1_HUMAN_D0_4NKA_A,47.6
15,FGFR4_HUMAN_D0_4TYE_A,47.6
16,FGFR1_HUMAN_D0_3C4F_A,47.6
17,FGFR1_HUMAN_D0_3TT0_A,47.6
18,FGFR1_HUMAN_D0_3WJ6_B,47.5
19,FGFR1_HUMAN_D0_4NK9_A,47.4
20,FGFR1_HUMAN_D0_2FGI_A,47.3
21,FGFR2_HUMAN_D0_2PVF_A,47.0
22,FGFR2_HUMAN_D0_3B2T_A,46.9
23,RET_HUMAN_D0_2X2K_A,46.9
24,RET_HUMAN_D0_2X2M_A,46.9
25,RET_HUMAN_D0_4CKJ_A,46.9
26,FGFR2_HUMAN_D0_3CLY_A,46.9
27,FGFR2_HUMAN_D0_4J99_C,46.5
28,FGFR2_HUMAN_D0_2PZP_A,45.9
29,ABL1_MOUSE_D0_3OXZ_A,45.3
30,MUSK_RAT_D0_1LUF_A,44.7
31,KIT_HUMAN_D0_1PKG_B,44.1
32,VGFR1_HUMAN_D0_3HNG_A,44.0
33,ITK_HUMAN_D0_3V5J_A,43.9
34,ITK_HUMAN_D0_3MIY_B,43.8
35,ITK_HUMAN_D0_3MJ1_A,43.6
36,KIT_HUMAN_D0_1PKG_A,43.6
