,has_model,templateid,unique_by_clustering,seqid,rmsd
0,False,ABL1_HUMAN_D0_2HYY_C,False,48.0,
1,True,JAK1_HUMAN_D1_4EHZ_B,True,33.9,1.3039286136627197
2,True,JAK2_HUMAN_D1_4C62_B,True,34.3,1.2957417964935303
3,True,KAPCA_BOVIN_D0_3E8C_B,True,23.2,1.3327420949935913
4,True,KAPCA_MOUSE_D0_4IAC_A,True,24.0,1.3175792694091797
5,True,AAPK2_HUMAN_D0_2YZA_A,True,26.9,1.391871452331543
6,True,TGFR1_HUMAN_D0_2X7O_C,True,29.1,1.343906283378601
7,True,CDK2_HUMAN_D0_4EOK_C,True,28.7,1.4826332330703735
8,True,SLK_HUMAN_D0_2JFL_A,True,24.4,1.3045796155929565
9,False,JAK3_HUMAN_D1_3PJC_A,False,37.4,
10,True,CDK6_HUMAN_D0_1BI8_A,True,25.6,1.5600697994232178
11,True,TAOK2_RAT_D0_1U5R_A,True,28.7,1.3723140954971313
12,True,AAPK2_HUMAN_D0_4CFF_C,True,26.9,1.3312445878982544
13,True,ST32A_HUMAN_D0_4FR4_C,True,24.8,1.3221579790115356
14,True,SRC_CHICK_D0_4LGH_A,True,68.9,1.3066166639328003
15,True,FGFR2_HUMAN_D0_3B2T_A,True,39.0,1.3169323205947876
16,True,JAK2_HUMAN_D1_4BBF_C,True,35.4,1.308661937713623
17,True,SRC_CHICK_D0_3LOK_B,True,68.3,1.3254023790359497
18,True,KAPCA_MOUSE_D0_2QVS_E,True,24.0,1.350157380104065
19,True,ABL1_HUMAN_D0_2HZ4_A,True,48.0,1.3101022243499756
20,True,GSK3B_HUMAN_D0_4ACG_B,True,29.9,1.3620812892913818
21,True,ABL1_HUMAN_D0_2HZI_B,True,48.0,1.3078569173812866
22,True,HASP_HUMAN_D0_3F2N_A,True,21.7,1.5658615827560425
23,True,GSK3B_HUMAN_D0_3ZRL_B,True,29.9,1.3537448644638062
24,True,EPHB1_HUMAN_D0_3ZFX_D,True,42.5,1.2698204517364502
25,False,FGFR1_HUMAN_D0_3RHX_B,False,39.8,
26,True,FAK1_HUMAN_D0_2IJM_A,True,41.3,1.2838817834854126
27,True,ROCK1_HUMAN_D0_3TWJ_B,True,26.8,1.2955759763717651
28,True,CDK2_HUMAN_D0_4EOQ_A,True,28.7,1.5009043216705322
