,templateid,seqid
0,KSYK_HUMAN_D0_4FYN_A,64.5
1,KSYK_HUMAN_D0_4GFG_A,63.2
2,KSYK_HUMAN_D0_3EMG_A,63.2
3,KSYK_HUMAN_D0_4FL1_A,63.2
4,KSYK_HUMAN_D0_4PUZ_B,63.2
5,KSYK_HUMAN_D0_4FL3_A,63.2
6,KSYK_HUMAN_D0_3FQH_B,63.2
7,KSYK_HUMAN_D0_4FYO_A,63.2
8,KSYK_HUMAN_D0_4F4P_A,63.2
9,KSYK_HUMAN_D0_4I0R_A,63.2
10,KSYK_HUMAN_D0_1XBB_A,63.2
11,KSYK_HUMAN_D0_4FL2_A,63.2
12,KSYK_HUMAN_D0_3VF8_A,63.2
13,KSYK_HUMAN_D0_3FQE_A,63.2
14,KSYK_HUMAN_D0_3SRV_B,63.2
15,KSYK_HUMAN_D0_1XBC_A,63.2
16,KSYK_HUMAN_D0_3VF9_A,63.2
17,KSYK_HUMAN_D0_3FQH_A,63.2
18,KSYK_HUMAN_D0_4FZ7_A,63.2
19,KSYK_HUMAN_D0_4PX6_A,63.2
20,KSYK_HUMAN_D0_1XBA_A,63.2
21,KSYK_HUMAN_D0_3TUC_A,63.2
22,KSYK_HUMAN_D0_3TUD_A,63.2
23,KSYK_HUMAN_D0_3SRV_A,63.2
24,KSYK_HUMAN_D0_3FQS_A,63.2
25,KSYK_HUMAN_D0_4PUZ_A,63.2
26,KSYK_HUMAN_D0_4DFN_A,63.2
27,KSYK_HUMAN_D0_4I0S_A,63.2
28,KSYK_HUMAN_D0_4I0T_A,63.2
29,KSYK_HUMAN_D0_4PV0_A,63.2
30,KSYK_HUMAN_D0_3TUB_A,63.2
31,KSYK_HUMAN_D0_4DFL_A,63.2
32,KSYK_HUMAN_D0_4FZ6_A,63.2
33,FAK1_HUMAN_D0_3PXK_B,42.5
34,FAK1_HUMAN_D0_3BZ3_A,42.5
35,FAK1_HUMAN_D0_4Q9S_A,42.5
36,FAK1_HUMAN_D0_1MP8_A,42.5
37,FAK1_HUMAN_D0_4EBV_A,42.5
38,FAK1_HUMAN_D0_4K9Y_A,42.5
39,FAK1_CHICK_D0_2J0K_A,42.5
40,FAK1_HUMAN_D0_4GU6_B,42.5
41,FAK1_CHICK_D0_2JKQ_A,42.5
42,FAK1_CHICK_D0_2JKK_A,42.5
43,FAK1_CHICK_D0_4C7T_A,42.5
44,FAK1_HUMAN_D0_2IJM_B,42.5
45,FAK1_CHICK_D0_2J0J_A,42.5
46,FAK1_HUMAN_D0_4GU6_A,42.5
47,FAK1_CHICK_D0_2J0K_B,42.5
48,FAK1_HUMAN_D0_4KAO_B,42.5
49,FAK1_HUMAN_D0_4I4E_A,42.5
50,FAK1_HUMAN_D0_4KAB_A,42.5
51,FAK1_CHICK_D0_2J0M_B,42.5
52,FAK1_HUMAN_D0_3PXK_A,42.5
53,FAK1_HUMAN_D0_4K8A_B,42.5
54,FAK1_HUMAN_D0_4EBW_A,42.5
55,FAK1_HUMAN_D0_4K8A_A,42.5
56,FAK1_CHICK_D0_2J0L_A,42.5
57,FAK1_HUMAN_D0_4GU9_B,42.5
58,FAK1_CHICK_D0_2JKM_A,42.5
59,FAK1_HUMAN_D0_4KAO_A,42.5
60,FAK1_HUMAN_D0_2IJM_A,42.5
61,FAK1_CHICK_D0_2JKO_A,42.5
62,FAK1_HUMAN_D0_2ETM_A,42.5
63,FAK1_HUMAN_D0_4GU9_A,42.5
64,FAK1_HUMAN_D0_2ETM_B,42.5
65,FAK1_CHICK_D0_4BRX_A,42.5
66,FAK1_HUMAN_D0_4KAB_B,42.5
67,EPHB1_HUMAN_D0_3ZFX_H,42.3
68,EPHB1_HUMAN_D0_3ZFX_I,41.9
69,EPHA5_HUMAN_D0_2R2P_A,41.5
70,EPHB4_HUMAN_D0_2VWU_A,41.4
71,EPHA2_HUMAN_D0_4TRL_A,41.3
72,EPHA8_HUMAN_D0_3KUL_A,41.2
73,EPHB1_HUMAN_D0_3ZFX_D,41.1
74,EPHB1_HUMAN_D0_3ZFX_A,41.1
75,EPHB1_HUMAN_D0_3ZFX_E,41.1
76,ABL1_MOUSE_D0_3OXZ_A,41.1
77,EPHB1_HUMAN_D0_3ZFX_G,41.1
78,EPHB1_HUMAN_D0_3ZFX_C,41.1
79,EPHB1_HUMAN_D0_3ZFX_B,41.1
80,EPHB1_HUMAN_D0_3ZFX_F,41.1
81,ABL2_HUMAN_D0_2XYN_C,40.9
82,ABL2_HUMAN_D0_3HMI_A,40.9
83,ABL2_HUMAN_D0_2XYN_A,40.9
84,ABL2_HUMAN_D0_2XYN_B,40.9
85,ABL2_HUMAN_D0_3GVU_A,40.9
86,EPHA8_HUMAN_D0_3KUL_B,40.8
87,EPHA3_HUMAN_D0_2QO9_A,40.8
88,EPHA3_HUMAN_D0_4GK2_A,40.8
89,EPHA3_HUMAN_D0_2GSF_A,40.8
90,EPHA3_HUMAN_D0_4P5Q_A,40.8
91,EPHA3_HUMAN_D0_2QOO_A,40.8
92,EPHA3_HUMAN_D0_3FXX_A,40.8
93,EPHA3_HUMAN_D0_4GK4_A,40.8
94,EPHA3_HUMAN_D0_2QOC_A,40.8
95,EPHA3_HUMAN_D0_2QON_A,40.8
96,EPHA3_HUMAN_D0_2QO7_A,40.8
97,EPHA3_HUMAN_D0_2QO2_A,40.8
98,EPHA3_HUMAN_D0_4GK3_A,40.8
99,EPHA3_HUMAN_D0_4P4C_A,40.8
100,EPHA3_HUMAN_D0_2QOD_A,40.8
101,EPHA3_HUMAN_D0_4G2F_A,40.8
102,EPHA3_HUMAN_D0_3FY2_A,40.8
103,EPHA3_HUMAN_D0_2QOL_A,40.8
104,EPHA3_HUMAN_D0_2QOF_A,40.8
105,EPHA3_HUMAN_D0_4P5Z_A,40.8
106,EPHA3_HUMAN_D0_3DZQ_A,40.8
107,EPHA3_HUMAN_D0_2QOB_A,40.8
108,EPHA3_HUMAN_D0_2QOQ_A,40.8
109,EPHB4_HUMAN_D0_2YN8_A,40.6
110,EPHA4_MOUSE_D0_2Y6O_A,40.5
111,EPHA4_MOUSE_D0_2HEL_A,40.5
112,EPHA4_MOUSE_D0_2Y6M_A,40.5
113,EPHA4_MOUSE_D0_2XYU_A,40.5
114,EPHB2_MOUSE_D0_2HEN_D,40.3
115,EPHB2_MOUSE_D0_2HEN_B,40.3
116,EPHB2_MOUSE_D0_2HEN_C,40.3
117,EPHB2_MOUSE_D0_1JPA_A,40.3
118,EPHB2_MOUSE_D0_1JPA_B,40.3
119,EPHB2_HUMAN_D0_3ZFM_A,40.3
120,EPHB2_MOUSE_D0_2HEN_A,40.3
121,EPHA3_HUMAN_D0_2QOK_A,40.2
122,ABL1_MOUSE_D0_3K5V_A,40.2
123,ABL1_HUMAN_D0_2HYY_B,40.2
124,ABL1_MOUSE_D0_3DK6_A,40.1
125,ITK_HUMAN_D0_3V5J_A,40.0
126,ERBB4_HUMAN_D0_3BCE_C,39.9
127,ERBB4_HUMAN_D0_3BBT_D,39.9
128,EPHB3_HUMAN_D0_3ZFY_A,39.9
129,ERBB4_HUMAN_D0_3BCE_B,39.9
130,ERBB4_HUMAN_D0_3BBW_A,39.9
131,ERBB4_HUMAN_D0_3BBW_B,39.9
132,ERBB4_HUMAN_D0_3BBT_B,39.9
133,EPHB3_HUMAN_D0_3ZFY_B,39.9
134,ERBB4_HUMAN_D0_2R4B_B,39.9
135,ERBB4_HUMAN_D0_2R4B_A,39.9
136,ERBB4_HUMAN_D0_3BCE_A,39.9
137,FAK2_HUMAN_D0_3H3C_A,39.8
138,FAK2_HUMAN_D0_3FZO_A,39.8
139,FAK2_HUMAN_D0_4H1M_A,39.8
140,EPHB4_HUMAN_D0_2YN8_B,39.8
141,FAK2_HUMAN_D0_3CC6_A,39.8
142,ITK_HUMAN_D0_3MIY_B,39.8
143,ABL1_HUMAN_D0_2HYY_A,39.8
144,FAK2_HUMAN_D0_3FZP_A,39.8
145,FAK2_HUMAN_D0_3FZR_A,39.8
146,FAK2_HUMAN_D0_3FZS_A,39.8
147,FAK2_HUMAN_D0_3ET7_A,39.8
148,ABL1_HUMAN_D0_3CS9_C,39.7
149,ABL1_MOUSE_D0_2QOH_B,39.7
150,ABL1_HUMAN_D0_2FO0_A,39.7
151,ABL1_MOUSE_D0_3DK7_A,39.7
152,ABL1_HUMAN_D0_2G2I_B,39.7
153,ABL1_HUMAN_D0_2HIW_A,39.7
154,ABL1_MOUSE_D0_1IEP_A,39.7
155,ABL1_HUMAN_D0_2G2H_A,39.7
156,ABL1_HUMAN_D0_3CS9_A,39.7
157,ABL1_HUMAN_D0_1OPL_A,39.7
158,ABL1_MOUSE_D0_3KFA_B,39.7
159,ABL1_MOUSE_D0_1M52_B,39.7
160,ABL1_HUMAN_D0_2G1T_C,39.7
161,FAK2_HUMAN_D0_3FZT_A,39.7
162,ABL1_HUMAN_D0_3QRJ_B,39.7
163,ABL1_MOUSE_D0_3MS9_B,39.7
164,ABL1_HUMAN_D0_2GQG_A,39.7
165,ABL1_MOUSE_D0_3KF4_B,39.7
166,ABL1_HUMAN_D0_2HZ4_C,39.7
167,ABL1_HUMAN_D0_2E2B_B,39.7
168,ABL1_MOUSE_D0_1FPU_B,39.7
169,ABL1_HUMAN_D0_3QRJ_A,39.7
170,ABL1_MOUSE_D0_3MS9_A,39.7
171,ABL1_HUMAN_D0_2HZ4_B,39.7
172,ABL1_HUMAN_D0_3UE4_A,39.7
173,ABL1_HUMAN_D0_3CS9_D,39.7
174,ABL1_HUMAN_D0_2HZ0_B,39.7
175,ABL1_MOUSE_D0_3K5V_B,39.7
176,ABL1_HUMAN_D0_2G2H_B,39.7
177,ABL1_HUMAN_D0_3QRK_A,39.7
178,ABL1_HUMAN_D0_3QRI_A,39.7
