,templateid,seqid
0,ROR2_HUMAN_D0_3ZZW_A,100.0
1,ROR2_HUMAN_D0_4GT4_A,100.0
2,ROR2_HUMAN_D0_3ZZW_B,100.0
3,ROR2_HUMAN_D0_4GT4_B,100.0
4,NTRK2_HUMAN_D0_4AT4_A,46.3
5,NTRK2_HUMAN_D0_4AT5_A,46.3
6,NTRK2_HUMAN_D0_4AT3_A,46.3
7,NTRK2_HUMAN_D0_4ASZ_A,46.3
8,EPHB1_HUMAN_D0_3ZFX_H,46.0
9,EPHB1_HUMAN_D0_3ZFX_I,45.9
10,NTRK3_HUMAN_D0_3V5Q_B,45.3
11,NTRK3_HUMAN_D0_3V5Q_A,44.4
12,NTRK1_HUMAN_D0_4PMP_A,44.1
13,NTRK1_HUMAN_D0_4GT5_A,44.0
14,MUSK_RAT_D0_1LUF_A,43.8
15,NTRK1_HUMAN_D0_4PMT_A,43.4
16,NTRK1_HUMAN_D0_4F0I_B,43.4
17,NTRK1_HUMAN_D0_4PMM_A,43.4
18,NTRK1_HUMAN_D0_4AOJ_A,43.4
19,NTRK1_HUMAN_D0_4PMS_A,43.4
20,NTRK1_HUMAN_D0_4AOJ_B,43.4
21,NTRK1_HUMAN_D0_4F0I_A,43.4
22,NTRK1_HUMAN_D0_4AOJ_C,43.4
23,EPHB1_HUMAN_D0_3ZFX_F,43.2
24,EPHB1_HUMAN_D0_3ZFX_G,43.2
25,EPHB1_HUMAN_D0_3ZFX_D,43.2
26,EPHB1_HUMAN_D0_3ZFX_A,43.2
27,EPHB1_HUMAN_D0_3ZFX_E,43.2
28,EPHB1_HUMAN_D0_3ZFX_B,43.2
29,EPHB1_HUMAN_D0_3ZFX_C,43.2
30,EPHA3_HUMAN_D0_2QOK_A,43.1
31,EPHA2_HUMAN_D0_4TRL_A,42.5
32,EPHB2_MOUSE_D0_2HEN_A,42.4
33,EPHB2_MOUSE_D0_2HEN_D,42.4
34,EPHB2_HUMAN_D0_3ZFM_A,42.4
35,EPHB2_MOUSE_D0_2HEN_B,42.4
36,EPHB2_MOUSE_D0_1JPA_B,42.4
37,EPHB2_MOUSE_D0_1JPA_A,42.4
38,EPHB2_MOUSE_D0_2HEN_C,42.4
39,LCK_HUMAN_D0_2OFV_B,42.2
40,EPHA3_HUMAN_D0_2QOF_A,42.0
41,EPHA3_HUMAN_D0_2QON_A,42.0
42,EPHA3_HUMAN_D0_2QOO_A,42.0
43,EPHA3_HUMAN_D0_2QO7_A,42.0
44,EPHA4_MOUSE_D0_2HEL_A,42.0
45,EPHA3_HUMAN_D0_4GK2_A,42.0
46,EPHA3_HUMAN_D0_2QO9_A,42.0
47,EPHA3_HUMAN_D0_4GK3_A,42.0
48,EPHA3_HUMAN_D0_2QOB_A,42.0
49,EPHA3_HUMAN_D0_2QOL_A,42.0
50,EPHA4_MOUSE_D0_2XYU_A,42.0
51,EPHA3_HUMAN_D0_3FXX_A,42.0
52,EPHA3_HUMAN_D0_2QOI_A,42.0
53,EPHA3_HUMAN_D0_2QOD_A,42.0
54,EPHA3_HUMAN_D0_4P4C_A,42.0
55,EPHA4_MOUSE_D0_2Y6O_A,42.0
56,EPHA3_HUMAN_D0_2QOC_A,42.0
57,EPHA3_HUMAN_D0_4P5Q_A,42.0
58,EPHA3_HUMAN_D0_2GSF_A,42.0
59,EPHA3_HUMAN_D0_2QOQ_A,42.0
60,EPHA4_MOUSE_D0_2Y6M_A,42.0
61,EPHA3_HUMAN_D0_4P5Z_A,42.0
62,EPHA3_HUMAN_D0_3FY2_A,42.0
63,EPHA3_HUMAN_D0_4G2F_A,42.0
64,EPHA3_HUMAN_D0_4GK4_A,42.0
65,EPHA3_HUMAN_D0_3DZQ_A,42.0
66,EPHB3_HUMAN_D0_3ZFY_B,41.7
67,EPHB3_HUMAN_D0_3ZFY_A,41.7
68,SRC_CHICK_D0_3LOK_B,41.7
69,SRC_CHICK_D0_2QI8_A,41.7
70,EPHA7_HUMAN_D0_2REI_A,41.6
71,EPHA7_HUMAN_D0_3DKO_A,41.6
72,SRC_CHICK_D0_2QQ7_A,41.6
73,EPHA2_HUMAN_D0_4PDO_B,41.4
74,EPHA2_HUMAN_D0_4P2K_A,41.4
75,EPHA2_HUMAN_D0_1MQB_B,41.4
76,EPHA2_HUMAN_D0_4PDO_A,41.4
77,EPHA2_HUMAN_D0_1MQB_A,41.4
78,DDR1_HUMAN_D0_4BKJ_B,41.2
79,DDR1_HUMAN_D0_3ZOS_B,41.2
80,DDR1_HUMAN_D0_4CKR_A,41.2
81,DDR1_HUMAN_D0_3ZOS_A,41.2
82,DDR1_HUMAN_D0_4BKJ_A,41.2
83,EPHB4_HUMAN_D0_2YN8_B,41.0
84,EPHB4_HUMAN_D0_2VWU_A,41.0
85,SRC_CHICK_D0_3SVV_A,40.9
86,SRC_CHICK_D0_2QI8_B,40.9
87,SRC_CHICK_D0_2QQ7_B,40.9
88,SRC_CHICK_D0_4LGH_B,40.9
89,SRC_CHICK_D0_2HWO_A,40.9
90,EPHA5_HUMAN_D0_2R2P_A,40.8
91,EPHB4_HUMAN_D0_2YN8_A,40.6
92,SRC_CHICK_D0_3SVV_B,40.5
93,SRC_HUMAN_D0_4MXY_A,40.2
94,SRC_HUMAN_D0_4MXZ_A,40.2
95,SRC_CHICK_D0_4MCV_A,40.1
96,SRC_HUMAN_D0_1YOJ_A,39.9
97,SRC_CHICK_D0_4MCV_B,39.8
98,HCK_HUMAN_D0_2HCK_A,39.8
99,HCK_HUMAN_D0_2HCK_B,39.8
100,HCK_HUMAN_D0_1AD5_A,39.8
101,SRC_CHICK_D0_4LGG_A,39.7
102,BTK_HUMAN_D0_4OT6_A,39.6
103,SRC_CHICK_D0_3QLF_B,39.6
104,SRC_HUMAN_D0_1YOL_B,39.6
105,BTK_HUMAN_D0_4OT5_A,39.6
106,BTK_HUMAN_D0_4OTQ_A,39.6
107,SRC_HUMAN_D0_1YOL_A,39.6
108,BTK_HUMAN_D0_4OTR_A,39.6
109,SRC_HUMAN_D0_1YOJ_B,39.5
110,SRC_CHICK_D0_3EN7_A,39.5
111,SRC_CHICK_D0_3EN5_A,39.5
112,INSR_HUMAN_D0_4IBM_B,39.4
113,INSR_HUMAN_D0_1IR3_A,39.4
114,INSR_HUMAN_D0_1I44_A,39.4
115,INSR_HUMAN_D0_3ETA_A,39.4
116,INSR_HUMAN_D0_2B4S_D,39.4
117,INSR_HUMAN_D0_3BU6_A,39.4
118,SRC_CHICK_D0_3EL7_A,39.4
119,INSR_HUMAN_D0_3EKN_A,39.4
120,INSR_HUMAN_D0_3ETA_B,39.4
121,INSR_HUMAN_D0_1RQQ_B,39.4
122,INSR_HUMAN_D0_4IBM_A,39.4
123,FGFR4_HUMAN_D0_4TYJ_A,39.4
124,INSR_HUMAN_D0_1P14_A,39.4
125,FGFR4_HUMAN_D0_4TYE_A,39.4
126,INSR_HUMAN_D0_1IRK_A,39.4
127,INSR_HUMAN_D0_3EKK_A,39.4
128,INSR_HUMAN_D0_3BU3_A,39.4
129,INSR_HUMAN_D0_2AUH_A,39.4
130,INSR_HUMAN_D0_3BU5_A,39.4
131,EPHA8_HUMAN_D0_3KUL_A,39.3
132,ABL1_MOUSE_D0_3DK6_A,39.3
133,SRC_CHICK_D0_3F6X_B,39.3
134,EPHA8_HUMAN_D0_3KUL_B,39.2
135,SRC_CHICK_D0_3EN7_B,39.2
136,SRC_CHICK_D0_2HWP_A,39.1
137,SRC_HUMAN_D0_1KSW_A,39.1
138,FAK1_CHICK_D0_2J0L_A,39.0
139,FAK1_HUMAN_D0_4I4E_A,39.0
140,FAK1_CHICK_D0_2JKK_A,39.0
141,FAK1_CHICK_D0_4C7T_A,39.0
142,FAK1_HUMAN_D0_2ETM_B,39.0
143,FAK1_CHICK_D0_2J0K_A,39.0
144,FAK1_HUMAN_D0_4GU9_A,39.0
145,FAK1_HUMAN_D0_4K8A_B,39.0
146,FAK1_HUMAN_D0_4KAB_A,39.0
147,FAK1_CHICK_D0_4BRX_A,39.0
148,FAK1_HUMAN_D0_3PXK_B,39.0
149,FAK1_CHICK_D0_2J0M_B,39.0
150,FAK1_HUMAN_D0_4GU6_A,39.0
151,FAK1_HUMAN_D0_2IJM_A,39.0
152,FAK1_HUMAN_D0_4GU6_B,39.0
153,FAK1_HUMAN_D0_4EBW_A,39.0
154,FAK1_HUMAN_D0_4KAO_A,39.0
155,FAK1_CHICK_D0_2JKQ_A,39.0
156,FAK1_HUMAN_D0_3BZ3_A,39.0
157,FAK1_HUMAN_D0_1MP8_A,39.0
158,FAK1_CHICK_D0_2J0J_A,39.0
159,LYN_MOUSE_D0_2ZV9_A,39.0
160,FAK1_HUMAN_D0_4I4F_A,39.0
161,FAK1_CHICK_D0_2J0K_B,39.0
162,ABL1_MOUSE_D0_3OXZ_A,39.0
163,FAK1_HUMAN_D0_3PXK_A,39.0
164,FAK1_HUMAN_D0_4Q9S_A,39.0
165,FAK1_HUMAN_D0_4K8A_A,39.0
166,FAK1_HUMAN_D0_4K9Y_A,39.0
167,FAK1_HUMAN_D0_2ETM_A,39.0
168,FAK1_CHICK_D0_2JKO_A,39.0
169,FAK1_CHICK_D0_2JKM_A,39.0
170,FAK1_HUMAN_D0_4GU9_B,39.0
171,FAK1_HUMAN_D0_4EBV_A,39.0
172,FAK1_HUMAN_D0_4KAB_B,39.0
173,FAK1_HUMAN_D0_4KAO_B,39.0
174,FAK1_HUMAN_D0_2IJM_B,39.0
175,BTK_HUMAN_D0_4NWM_B,38.9
176,BTK_HUMAN_D0_4NWM_A,38.9
177,HCK_HUMAN_D0_2HK5_A,38.9
178,FES_HUMAN_D0_3BKB_A,38.7
179,BTK_HUMAN_D0_1K2P_B,38.7
180,BTK_HUMAN_D0_1K2P_A,38.7
181,FES_HUMAN_D0_3CBL_A,38.7
182,LCK_HUMAN_D0_3KMM_A,38.6
183,SRC_CHICK_D0_4FIC_B,38.6
184,SRC_HUMAN_D0_4MXY_B,38.6
185,LCK_HUMAN_D0_2ZM4_A,38.6
186,SRC_CHICK_D0_2QLQ_A,38.6
187,HCK_HUMAN_D0_2C0I_A,38.6
188,HCK_HUMAN_D0_2C0O_A,38.6
189,SRC_CHICK_D0_2QLQ_B,38.6
190,SRC_HUMAN_D0_2BDF_B,38.6
191,LCK_HUMAN_D0_3BYO_A,38.6
192,HCK_HUMAN_D0_3VS1_A,38.6
193,SRC_CHICK_D0_2OIQ_A,38.6
194,SRC_CHICK_D0_3DQX_A,38.6
195,BTK_HUMAN_D0_3K54_A,38.6
196,LCK_HUMAN_D0_3AC1_A,38.6
197,BTK_HUMAN_D0_3PIY_A,38.6
198,BTK_HUMAN_D0_3PIX_A,38.6
199,SRC_CHICK_D0_3G6G_B,38.6
