,templateid,seqid
0,FAK2_HUMAN_D0_3FZO_A,100.0
1,FAK2_HUMAN_D0_3FZS_A,100.0
2,FAK2_HUMAN_D0_3ET7_A,100.0
3,FAK2_HUMAN_D0_3FZP_A,100.0
4,FAK2_HUMAN_D0_4H1M_A,100.0
5,FAK2_HUMAN_D0_3FZR_A,100.0
6,FAK2_HUMAN_D0_3CC6_A,100.0
7,FAK2_HUMAN_D0_3H3C_A,100.0
8,FAK2_HUMAN_D0_3FZT_A,99.2
9,FAK2_HUMAN_D0_4H1J_A,99.2
10,FAK1_HUMAN_D0_4KAB_B,61.0
11,FAK1_HUMAN_D0_4EBV_A,61.0
12,FAK1_HUMAN_D0_2ETM_B,61.0
13,FAK1_HUMAN_D0_4I4F_A,61.0
14,FAK1_HUMAN_D0_4KAB_A,61.0
15,FAK1_HUMAN_D0_4KAO_B,61.0
16,FAK1_HUMAN_D0_3PXK_A,61.0
17,FAK1_HUMAN_D0_4K8A_A,61.0
18,FAK1_HUMAN_D0_3PXK_B,61.0
19,FAK1_HUMAN_D0_4GU9_B,61.0
20,FAK1_HUMAN_D0_4GU9_A,61.0
21,FAK1_HUMAN_D0_1MP8_A,61.0
22,FAK1_HUMAN_D0_4K8A_B,61.0
23,FAK1_HUMAN_D0_3BZ3_A,61.0
24,FAK1_HUMAN_D0_4Q9S_A,61.0
25,FAK1_HUMAN_D0_2IJM_A,61.0
26,FAK1_HUMAN_D0_2ETM_A,61.0
27,FAK1_HUMAN_D0_2IJM_B,61.0
28,FAK1_HUMAN_D0_4I4E_A,61.0
29,FAK1_HUMAN_D0_4GU6_B,61.0
30,FAK1_HUMAN_D0_4K9Y_A,61.0
31,FAK1_HUMAN_D0_4EBW_A,61.0
32,FAK1_HUMAN_D0_4KAO_A,61.0
33,FAK1_HUMAN_D0_4GU6_A,61.0
34,FAK1_CHICK_D0_2JKK_A,60.6
35,FAK1_CHICK_D0_2J0M_B,60.6
36,FAK1_CHICK_D0_4BRX_A,60.6
37,FAK1_CHICK_D0_2J0K_B,60.6
38,FAK1_CHICK_D0_2J0L_A,60.6
39,FAK1_CHICK_D0_2JKQ_A,60.6
40,FAK1_CHICK_D0_2JKO_A,60.6
41,FAK1_CHICK_D0_2J0J_A,60.6
42,FAK1_CHICK_D0_4C7T_A,60.6
43,FAK1_CHICK_D0_2JKM_A,60.6
44,FAK1_CHICK_D0_2J0K_A,60.6
45,ROS1_HUMAN_D0_3ZBF_A,44.0
46,ABL1_MOUSE_D0_3OXZ_A,43.2
47,LCK_HUMAN_D0_2OFV_B,43.0
48,EPHB1_HUMAN_D0_3ZFX_I,42.7
49,EPHB1_HUMAN_D0_3ZFX_H,42.3
50,MUSK_RAT_D0_1LUF_A,42.1
51,ABL1_MOUSE_D0_3DK6_A,42.1
52,HCK_HUMAN_D0_2HCK_B,41.8
53,HCK_HUMAN_D0_1AD5_A,41.8
54,HCK_HUMAN_D0_2HCK_A,41.8
55,ABL1_MOUSE_D0_3K5V_A,41.8
56,HCK_HUMAN_D0_1AD5_B,41.8
57,ABL1_HUMAN_D0_2HZ0_A,41.7
58,ABL1_HUMAN_D0_1OPL_A,41.7
59,HCK_HUMAN_D0_3VS7_B,41.7
60,HCK_HUMAN_D0_2C0O_A,41.7
61,HCK_HUMAN_D0_2C0O_B,41.7
62,ABL1_HUMAN_D0_3CS9_A,41.7
63,ABL1_MOUSE_D0_3MSS_C,41.7
64,ABL1_HUMAN_D0_2V7A_A,41.7
65,HCK_HUMAN_D0_2HK5_A,41.7
66,ABL1_HUMAN_D0_2GQG_B,41.7
67,ABL1_HUMAN_D0_2GQG_A,41.7
68,ABL1_HUMAN_D0_2HZ4_A,41.7
69,ABL1_HUMAN_D0_2HZI_B,41.7
70,ABL1_MOUSE_D0_2QOH_A,41.7
71,HCK_HUMAN_D0_3VS0_B,41.7
72,ABL1_HUMAN_D0_3QRI_A,41.7
73,ABL1_MOUSE_D0_2QOH_B,41.7
74,ABL1_MOUSE_D0_1OPK_A,41.7
75,ABL1_MOUSE_D0_3DK3_B,41.7
76,ABL1_HUMAN_D0_2E2B_B,41.7
77,HCK_HUMAN_D0_3VS3_B,41.7
78,ABL1_HUMAN_D0_2G1T_C,41.7
79,ABL1_MOUSE_D0_3IK3_B,41.7
80,ABL1_MOUSE_D0_3OY3_B,41.7
81,ABL2_HUMAN_D0_2XYN_C,41.7
82,HCK_HUMAN_D0_4LUE_A,41.7
83,HCK_HUMAN_D0_3VRY_B,41.7
84,ABL1_HUMAN_D0_3CS9_B,41.7
85,ABL1_MOUSE_D0_3DK7_A,41.7
86,ABL1_HUMAN_D0_2G1T_A,41.7
87,ABL1_MOUSE_D0_1FPU_A,41.7
88,ABL1_HUMAN_D0_2HIW_A,41.7
89,ABL1_HUMAN_D0_2HZI_A,41.7
90,ABL1_HUMAN_D0_2HZ4_B,41.7
91,ABL1_MOUSE_D0_3MSS_B,41.7
92,EPHB1_HUMAN_D0_3ZFX_E,41.7
93,ABL1_HUMAN_D0_2F4J_A,41.7
94,ABL1_HUMAN_D0_2E2B_A,41.7
95,HCK_HUMAN_D0_3VS7_A,41.7
96,ABL1_MOUSE_D0_3IK3_A,41.7
97,EPHB1_HUMAN_D0_3ZFX_G,41.7
98,ABL1_HUMAN_D0_2HZ0_B,41.7
99,ABL1_HUMAN_D0_1OPL_B,41.7
100,ABL1_HUMAN_D0_2G1T_B,41.7
101,ABL1_HUMAN_D0_2G2F_B,41.7
102,ABL1_HUMAN_D0_2HYY_D,41.7
103,ABL1_HUMAN_D0_3PYY_B,41.7
104,HCK_HUMAN_D0_2C0T_A,41.7
105,HCK_HUMAN_D0_3VRZ_B,41.7
106,ABL1_HUMAN_D0_2G1T_D,41.7
107,ABL1_HUMAN_D0_3QRJ_B,41.7
108,ABL1_MOUSE_D0_3DK6_B,41.7
109,EPHB1_HUMAN_D0_3ZFX_C,41.7
110,ABL1_MOUSE_D0_3KF4_B,41.7
111,ABL1_HUMAN_D0_2G2F_A,41.7
112,ABL1_MOUSE_D0_2HZN_A,41.7
113,ABL1_MOUSE_D0_1OPJ_B,41.7
114,ABL1_HUMAN_D0_3PYY_A,41.7
115,EPHB1_HUMAN_D0_3ZFX_B,41.7
116,ABL1_MOUSE_D0_3KFA_A,41.7
117,ABL1_HUMAN_D0_3UE4_B,41.7
118,ABL1_MOUSE_D0_1FPU_B,41.7
119,HCK_HUMAN_D0_3VS3_A,41.7
120,HCK_HUMAN_D0_3VS6_B,41.7
121,ABL1_MOUSE_D0_3KFA_B,41.7
122,ABL1_MOUSE_D0_3K5V_B,41.7
123,ABL1_HUMAN_D0_3QRK_A,41.7
124,ABL1_HUMAN_D0_2G2I_A,41.7
125,HCK_HUMAN_D0_3VS4_B,41.7
126,ABL1_HUMAN_D0_2V7A_B,41.7
127,ABL1_MOUSE_D0_3MSS_A,41.7
128,ABL1_HUMAN_D0_2G2H_B,41.7
129,ABL1_MOUSE_D0_3MSS_D,41.7
130,HCK_HUMAN_D0_3VS2_B,41.7
131,HCK_HUMAN_D0_3VS2_A,41.7
132,HCK_HUMAN_D0_3VS5_A,41.7
133,ABL1_HUMAN_D0_2HZ4_C,41.7
134,ABL1_HUMAN_D0_3CS9_C,41.7
135,ABL2_HUMAN_D0_2XYN_B,41.7
136,ABL1_HUMAN_D0_2HYY_C,41.7
137,EPHB1_HUMAN_D0_3ZFX_A,41.7
138,HCK_HUMAN_D0_3VS6_A,41.7
139,EPHB1_HUMAN_D0_3ZFX_D,41.7
140,HCK_HUMAN_D0_1QCF_A,41.7
141,ABL1_HUMAN_D0_2HIW_B,41.7
142,ABL2_HUMAN_D0_3HMI_A,41.7
143,ABL1_MOUSE_D0_3KF4_A,41.7
144,HCK_HUMAN_D0_4LUE_B,41.7
145,ABL1_MOUSE_D0_3DK3_A,41.7
146,ABL1_MOUSE_D0_1OPJ_A,41.7
147,ABL1_MOUSE_D0_3DK7_B,41.7
148,ABL2_HUMAN_D0_2XYN_A,41.7
149,ABL1_MOUSE_D0_2Z60_A,41.7
150,ABL1_HUMAN_D0_3CS9_D,41.7
151,ABL1_HUMAN_D0_3UE4_A,41.7
152,HCK_HUMAN_D0_3VRY_A,41.7
153,EPHB1_HUMAN_D0_3ZFX_F,41.7
154,ABL1_HUMAN_D0_3QRI_B,41.7
155,HCK_HUMAN_D0_3VS1_A,41.7
156,HCK_HUMAN_D0_4LUD_B,41.7
157,ABL1_MOUSE_D0_3MS9_A,41.7
158,HCK_HUMAN_D0_2C0I_A,41.7
159,ABL1_MOUSE_D0_1IEP_A,41.7
160,HCK_HUMAN_D0_3VS5_B,41.7
161,ABL1_HUMAN_D0_2G2I_B,41.7
162,ABL1_MOUSE_D0_1M52_B,41.7
163,HCK_HUMAN_D0_4LUD_A,41.7
164,ABL1_HUMAN_D0_2G2H_A,41.7
165,ABL1_HUMAN_D0_3QRJ_A,41.7
166,HCK_HUMAN_D0_3VS4_A,41.7
167,HCK_HUMAN_D0_2C0T_B,41.7
168,HCK_HUMAN_D0_3VRZ_A,41.7
169,HCK_HUMAN_D0_3VS1_B,41.7
170,ABL1_MOUSE_D0_1M52_A,41.7
171,ABL1_MOUSE_D0_3OY3_A,41.7
172,ABL1_HUMAN_D0_2FO0_A,41.7
173,ABL2_HUMAN_D0_3GVU_A,41.7
174,ABL1_MOUSE_D0_3MS9_B,41.7
175,ABL1_MOUSE_D0_1IEP_B,41.7
176,HCK_HUMAN_D0_2C0I_B,41.7
177,HCK_HUMAN_D0_3VS0_A,41.7
178,ABL1_HUMAN_D0_2HYY_A,41.4
179,ABL1_HUMAN_D0_2HYY_B,41.4
180,SRC_CHICK_D0_2QQ7_A,41.2
181,KSYK_HUMAN_D0_4FYN_A,41.0
182,INSR_HUMAN_D0_3BU3_A,40.9
