,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,CSK21_HUMAN_D0_3OWL_A,True,21.2,1.0649412870407104
1,False,FGFR1_HUMAN_D0_4F63_A,False,35.6,
2,True,IKKB_HUMAN_D0_4E3C_D,True,24.2,0.7173967957496643
3,True,TGFR1_HUMAN_D0_3TZM_A,True,28.0,0.4805774986743927
4,True,KAPCA_MOUSE_D0_1SYK_A,True,23.5,0.6979041695594788
5,True,AAPK2_HUMAN_D0_4CFF_C,True,24.5,0.6796504259109497
6,True,PAK4_HUMAN_D0_4JDJ_A,True,26.6,0.49091336131095886
7,True,AAPK2_HUMAN_D0_2YZA_A,True,24.5,0.8967911601066589
8,True,ST32A_HUMAN_D0_4FR4_C,True,23.9,0.48666730523109436
9,True,JAK2_HUMAN_D1_4C62_B,True,33.6,0.47199496626853943
10,True,PAK4_HUMAN_D0_4FIE_A,True,26.6,0.504319429397583
11,True,ABL1_HUMAN_D0_2HYY_C,True,43.2,0.6664635539054871
12,True,ABL1_HUMAN_D0_2HZ4_A,True,43.2,0.41859278082847595
13,True,ABL1_HUMAN_D0_2HZI_B,True,43.2,0.42399051785469055
14,True,STK3_HUMAN_D0_4LG4_C,True,28.2,0.474291056394577
15,False,FGFR1_HUMAN_D0_3RHX_B,False,35.6,
16,True,GSK3B_HUMAN_D0_2JLD_B,True,24.6,0.6514809131622314
17,True,SLK_HUMAN_D0_2JFL_A,True,27.2,0.7673602104187012
18,True,TYK2_HUMAN_D1_4PY1_A,True,31.4,0.4253047704696655
19,True,MP2K6_HUMAN_D0_3ENM_C,True,26.4,0.8121257424354553
20,True,IGF1R_HUMAN_D0_3F5P_H,True,38.3,0.40106549859046936
21,True,MK14_MOUSE_D0_2GTM_A,True,25.8,1.2239844799041748
22,True,PKNB_MYCTU_D0_2FUM_D,True,24.2,0.6732132434844971
23,True,ALK_HUMAN_D0_2XB7_A,True,39.4,0.32366350293159485
24,True,TYK2_HUMAN_D1_4GFO_A,True,31.1,0.4106716811656952
25,True,PLK2_HUMAN_D0_4I6B_A,True,23.1,0.4203625023365021
26,True,MK14_HUMAN_D0_3NNU_A,True,25.4,1.054311990737915
27,True,ABL1_MOUSE_D0_3IK3_B,True,44.0,0.6370254755020142
28,True,MKNK1_HUMAN_D0_2HW6_B,True,22.3,0.965623140335083
29,True,CDK2_HUMAN_D0_3R71_A,True,26.1,0.8822005391120911
30,True,MK13_HUMAN_D0_3COI_A,True,24.2,1.1304503679275513
31,True,PIM1_HUMAN_D0_1YWV_A,True,25.3,1.3112220764160156
32,True,CDK2_HUMAN_D0_3R9H_A,True,26.1,0.8856418132781982
33,True,HASP_HUMAN_D0_3F2N_A,True,20.8,1.787989854812622
34,True,MK14_HUMAN_D0_3DS6_D,True,25.4,1.0283116102218628
35,True,MUSK_RAT_D0_1LUF_A,True,39.0,0.6338229775428772
