,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,WEE1_HUMAN_D0_2IO6_A,True,24.0,0.8337880373001099
1,True,AAPK2_HUMAN_D0_4CFF_C,True,31.2,0.7234552502632141
2,True,PLK1_HUMAN_D0_2RKU_A,True,24.5,0.8939806818962097
3,True,AAPK2_HUMAN_D0_2YZA_A,True,31.2,1.0456254482269287
4,True,TGFR1_HUMAN_D0_3TZM_A,True,26.5,0.9260972142219543
5,True,TYK2_MOUSE_D1_4E20_A,True,37.9,0.7383660078048706
6,True,PAK4_HUMAN_D0_4JDJ_A,True,25.4,0.9373324513435364
7,True,CDK2_HUMAN_D0_3R9H_A,True,23.7,1.0248998403549194
8,False,MK14_MOUSE_D0_4LOP_B,True,25.3,
9,True,MUSK_RAT_D0_1LUF_A,True,39.4,0.8999436497688293
10,True,EGFR_HUMAN_D0_2ITX_A,True,39.2,1.1565172672271729
11,True,PAK4_HUMAN_D0_4FIE_A,True,25.4,0.9591325521469116
12,True,MKNK1_HUMAN_D0_2HW6_B,True,22.8,1.3009635210037231
13,True,STK3_HUMAN_D0_4LG4_C,True,26.6,0.7916063666343689
14,True,HASP_HUMAN_D0_3F2N_A,True,19.1,1.68533456325531
15,True,MP2K1_HUMAN_D0_4AN9_A,True,30.2,1.022304654121399
16,True,TYK2_HUMAN_D1_4PY1_A,True,37.7,0.7555819749832153
17,True,IKKB_HUMAN_D0_4E3C_D,True,26.1,1.0246871709823608
18,True,CDK2_HUMAN_D0_4EOR_A,True,23.7,0.9788528084754944
19,True,GSK3B_HUMAN_D0_2JLD_B,True,20.8,1.4033712148666382
20,True,MK14_HUMAN_D0_3O8T_A,True,24.6,1.0763040781021118
21,True,MK10_HUMAN_D0_3FI3_A,True,22.9,1.2657958269119263
22,True,MK14_HUMAN_D0_3HV7_A,True,25.3,1.1994550228118896
23,True,JAK2_HUMAN_D1_4BBF_C,True,36.2,0.6740022301673889
24,True,CDK2_HUMAN_D0_3R1Y_A,True,23.7,1.0847973823547363
25,True,TYK2_HUMAN_D1_4GFO_A,True,36.4,0.7368584871292114
26,True,ABL1_MOUSE_D0_3DK7_B,True,42.5,0.6420963406562805
27,True,ABL1_MOUSE_D0_3IK3_B,True,42.5,0.7403376698493958
28,True,MK14_HUMAN_D0_3GCP_A,True,25.3,1.21263587474823
29,True,GSK3B_HUMAN_D0_3ZRL_B,True,21.1,1.301941156387329
30,True,MP2K6_HUMAN_D0_3ENM_C,True,25.9,0.8834120035171509
31,True,IGF1R_HUMAN_D0_3F5P_H,True,41.3,0.7140038013458252
32,True,EPHA3_HUMAN_D0_2QON_A,True,37.4,0.623111367225647
33,True,SRC_HUMAN_D0_1YI6_A,True,41.3,0.7616553902626038
34,True,MK14_MOUSE_D0_4LOQ_C,True,25.3,1.2392216920852661
35,True,TYK2_MOUSE_D1_4E1Z_A,True,37.7,0.6866055727005005
36,True,MK14_MOUSE_D0_2GTM_A,True,25.3,1.2460087537765503
37,True,STK24_HUMAN_D0_3CKX_A,True,30.2,1.0767364501953125
38,True,MK14_HUMAN_D0_3NNU_A,True,25.3,1.2435845136642456
39,False,DAPK1_HUMAN_D0_2Y4P_D,False,26.6,
40,True,MK14_HUMAN_D0_4KIQ_C,True,25.3,1.1250414848327637
41,True,MK13_HUMAN_D0_3COI_A,True,23.6,1.382629156112671
42,True,ACVL1_HUMAN_D0_3MY0_A,True,24.4,1.2538115978240967
43,True,CDK2_HUMAN_D0_3QHR_C,True,23.7,0.9664472937583923
44,True,RN5A_HUMAN_D0_4OAV_B,True,21.6,0.9407677054405212
45,True,TTK_HUMAN_D0_2ZMC_A,True,22.5,1.4219328165054321
46,True,SRC_CHICK_D0_3EN6_A,True,40.9,0.8104411959648132
47,True,MK14_HUMAN_D0_3DS6_D,True,25.3,1.1573214530944824
48,True,ST32A_HUMAN_D0_4FR4_C,True,24.3,0.6614819169044495
49,True,MK08_HUMAN_D0_4HYU_A,True,22.9,1.3507028818130493
50,True,ACVL1_HUMAN_D0_3MY0_H,True,24.4,1.3315004110336304
51,True,CSK2A_MAIZE_D0_2OXY_B,True,16.8,1.0554850101470947
52,True,MK11_HUMAN_D0_3GP0_A,True,26.3,1.4856276512145996
53,True,DAPK2_HUMAN_D0_1ZWS_C,True,26.6,0.9723690748214722
54,True,MERTK_HUMAN_D0_4M3Q_B,True,43.0,0.7658964991569519
55,True,EPHB1_HUMAN_D0_3ZFX_D,True,38.6,0.5020306706428528
56,True,AKT2_HUMAN_D0_1O6K_A,True,28.7,0.5807608962059021
57,False,CDK7_HUMAN_D0_1UA2_D,False,23.9,
58,True,GSK3B_HUMAN_D0_1Q5K_A,True,21.1,1.2603223323822021
59,True,MK01_HUMAN_D0_3I60_A,True,22.5,1.5646898746490479
60,True,TBK1_HUMAN_D0_4EUT_B,True,24.2,0.8550401926040649
61,True,PIM1_HUMAN_D0_4MED_A,True,26.5,1.4367969036102295
62,True,MARK2_HUMAN_D0_3IEC_C,True,31.7,0.8834384083747864
63,True,AKT2_HUMAN_D0_2UW9_A,True,28.7,0.6434755921363831
64,True,DAPK2_HUMAN_D0_1ZWS_B,True,26.6,1.059016227722168
65,True,MELK_HUMAN_D0_4D2V_D,True,26.4,0.6450825333595276
66,False,PDPK1_HUMAN_D0_3PWY_A,False,28.4,
67,True,HCK_HUMAN_D0_3VS5_B,True,42.9,0.8461315631866455
68,True,PLK2_HUMAN_D0_4I6B_A,True,25.5,0.8785035610198975
69,True,CDK2_HUMAN_D0_3IG7_A,True,23.7,1.0241748094558716
70,True,PIM1_HUMAN_D0_3VBT_A,True,26.5,1.4397884607315063
71,True,DAPK2_MOUSE_D0_2YAA_A,True,26.6,1.002549409866333
72,True,MET_HUMAN_D0_3L8V_A,True,38.1,0.7659889459609985
73,True,PIM2_HUMAN_D0_2IWI_A,True,31.4,0.7538734674453735
74,True,MK14_HUMAN_D0_4KIN_C,True,25.3,1.0439202785491943
75,True,MAPK2_HUMAN_D0_3GOK_G,True,25.6,1.0667381286621094
76,False,ALK_HUMAN_D0_4CMO_A,True,37.9,
