,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,CDK2_HUMAN_D0_3QHR_C,True,26.2,1.1491233110427856
1,True,CDK2_HUMAN_D0_3QTU_A,True,26.2,1.1389342546463013
2,True,CSK21_HUMAN_D0_1PJK_A,True,21.8,1.3499635457992554
3,True,CDK2_HUMAN_D0_4EOR_A,True,26.2,1.1245534420013428
4,True,GSK3B_HUMAN_D0_1Q5K_A,True,28.6,0.9633235335350037
5,True,AAPK2_HUMAN_D0_4CFF_C,True,27.0,0.9194611310958862
6,True,EPHA3_HUMAN_D0_2QON_A,True,41.9,0.947452962398529
7,True,AAPK2_HUMAN_D0_2YZA_A,True,27.0,1.104300856590271
8,False,EPHB4_HUMAN_D0_2VX1_A,False,43.5,
9,True,PKNB_MYCTU_D0_2FUM_D,True,25.0,0.9920989274978638
10,True,MP2K1_HUMAN_D0_4AN9_A,True,27.4,1.006439208984375
11,True,EGFR_HUMAN_D0_2ITX_A,True,38.3,0.9668422341346741
12,True,SRC_HUMAN_D0_1YOJ_B,True,48.0,1.0124778747558594
13,True,MUSK_RAT_D0_1LUF_A,True,40.3,0.9312580823898315
14,True,CDK2_HUMAN_D0_3R71_A,True,26.2,1.1138203144073486
15,True,MK14_MOUSE_D0_2GTM_A,True,27.0,1.2365988492965698
16,True,MK14_MOUSE_D0_4LOP_B,True,27.0,1.031313180923462
17,True,TBK1_HUMAN_D0_4EUT_B,True,26.6,0.9355711340904236
18,True,ABL1_HUMAN_D0_2HYY_C,True,46.0,0.9826225638389587
19,True,ABL1_HUMAN_D0_2HZ4_A,True,46.0,0.9662759900093079
20,True,ABL1_HUMAN_D0_2HZI_B,True,46.0,0.9413725137710571
21,True,MK14_MOUSE_D0_4LOQ_C,True,27.0,1.0619796514511108
22,True,SRC_HUMAN_D0_1YI6_A,True,46.4,0.908264696598053
23,True,MK14_HUMAN_D0_4KIQ_C,True,27.0,1.1160744428634644
24,True,PAK4_HUMAN_D0_4JDJ_A,True,25.4,0.9412901401519775
25,True,JAK3_HUMAN_D1_3ZC6_D,True,40.7,0.9958261251449585
26,True,MK14_HUMAN_D0_3NNU_A,True,27.0,1.111240029335022
27,True,ALK_HUMAN_D0_2XB7_A,True,45.2,0.9218961000442505
28,True,MK14_HUMAN_D0_3O8T_A,True,22.6,1.0617398023605347
29,True,MK14_HUMAN_D0_3HV7_A,True,27.0,1.0418075323104858
30,False,TYK2_MOUSE_D1_4E1Z_A,False,41.5,
31,True,MKNK1_HUMAN_D0_2HW6_B,True,22.6,1.1722439527511597
32,True,MK14_MOUSE_D0_1YW2_A,True,24.6,1.098937749862671
33,True,MP2K6_HUMAN_D0_3ENM_C,True,22.2,1.0769585371017456
34,True,MK14_HUMAN_D0_3DS6_D,True,27.0,1.0825490951538086
35,True,MK14_HUMAN_D0_3GCP_A,True,27.0,1.1390360593795776
36,True,ABL1_MOUSE_D0_3IK3_B,True,44.8,0.9645664095878601
37,True,PIM1_HUMAN_D0_3VBT_A,True,24.2,0.9267898201942444
38,True,JAK2_HUMAN_D1_3IO7_A,True,36.3,0.9509744644165039
39,False,TYK2_HUMAN_D1_4GFO_A,False,41.1,
40,True,PIM2_HUMAN_D0_2IWI_A,True,25.8,0.9861609935760498
41,True,ACVL1_HUMAN_D0_3MY0_H,True,28.2,0.9615166783332825
42,True,ST32A_HUMAN_D0_4FR4_C,True,23.8,1.0727647542953491
43,True,CSK21_HUMAN_D0_3Q9Z_A,True,21.8,1.3761255741119385
44,True,DAPK2_HUMAN_D0_1ZWS_C,True,21.8,1.0867856740951538
45,True,MK08_HUMAN_D0_4HYU_A,True,25.8,1.2044906616210938
46,True,MK13_HUMAN_D0_3COI_A,True,24.6,0.9940104484558105
47,True,NTRK1_HUMAN_D0_4PMP_A,True,38.7,0.9729125499725342
48,True,PIM1_HUMAN_D0_2O65_A,True,24.2,0.9440640807151794
49,True,MK10_HUMAN_D0_3FI3_A,True,26.2,1.1613770723342896
50,True,ABL1_MOUSE_D0_3DK7_B,True,44.8,0.9312039017677307
