,has_model,templateid,unique_by_clustering,seqid,rmsd
0,False,FGFR2_HUMAN_D0_2PY3_A,False,28.0,
1,True,CHK1_HUMAN_D0_4FST_A,True,26.1,1.3144694566726685
2,True,CDK2_HUMAN_D0_3RPV_A,True,25.1,0.6258541941642761
3,True,GSK3B_HUMAN_D0_1Q5K_A,True,21.0,1.0092164278030396
4,True,TTK_HUMAN_D0_2ZMC_A,True,20.2,0.6472463011741638
5,True,MK14_MOUSE_D0_2GTM_A,True,22.5,0.8933181762695312
6,True,TYK2_HUMAN_D1_4GFO_A,True,34.7,0.708979070186615
7,True,AAPK2_HUMAN_D0_2YZA_A,True,25.3,0.9260179400444031
8,True,IKKB_HUMAN_D0_4E3C_D,True,21.8,0.8522515892982483
9,False,FGFR1_HUMAN_D0_1FGI_B,False,28.8,
10,True,JAK2_HUMAN_D1_3IO7_A,True,28.4,0.7999339699745178
11,True,AAPK2_HUMAN_D0_4CFF_C,True,25.3,0.7849098443984985
12,True,PKNB_MYCTU_D0_2FUM_D,True,23.9,0.568304181098938
13,True,PAK4_HUMAN_D0_4JDJ_A,True,23.0,0.8856086134910583
14,True,MK14_HUMAN_D0_3DS6_D,True,22.9,0.8854687809944153
15,True,MK14_MOUSE_D0_4LOQ_C,True,22.5,0.8373210430145264
16,True,EPHA3_HUMAN_D0_2QON_A,True,30.5,0.5671303272247314
17,True,ABL1_HUMAN_D0_2HZI_B,True,30.1,0.7448819875717163
18,True,CDK2_HUMAN_D0_3R9H_A,True,25.1,0.6192260384559631
19,True,MK14_HUMAN_D0_4KIQ_C,True,22.9,0.8568640351295471
20,True,ABL1_HUMAN_D0_2HYY_C,True,30.1,0.6721153259277344
21,True,ABL1_HUMAN_D0_2HZ4_A,True,30.1,0.7511009573936462
22,True,NAHK_BIFL2_D0_4OCK_A,True,18.1,1.8982340097427368
23,True,PDPK1_HUMAN_D0_3PWY_A,True,20.7,0.9389031529426575
24,True,PAK4_HUMAN_D0_4FIE_A,True,23.0,0.842079758644104
25,True,MKNK1_HUMAN_D0_2HW6_B,True,22.5,0.9328794479370117
26,True,CDK5_HUMAN_D0_1UNL_B,True,24.0,0.796614944934845
27,True,MK14_HUMAN_D0_3O8T_A,True,20.5,1.122560739517212
28,True,MUSK_RAT_D0_1LUF_A,True,32.8,0.726050078868866
29,False,EPHB4_HUMAN_D0_2VX1_A,False,30.6,
30,True,PIM1_HUMAN_D0_4MED_A,True,23.3,1.2485638856887817
31,True,EGFR_HUMAN_D0_2ITX_A,True,26.5,0.7138007879257202
32,True,MK14_MOUSE_D0_1YW2_A,True,21.0,0.9193549156188965
33,True,MP2K1_HUMAN_D0_4AN9_A,True,25.0,1.052402377128601
34,True,MK14_HUMAN_D0_3GCP_A,True,22.9,0.905778706073761
35,True,CDK9_HUMAN_D0_4IMY_E,True,25.1,0.7921515107154846
36,True,SRC_HUMAN_D0_1YOJ_B,True,33.0,1.0122976303100586
37,True,CDK2_HUMAN_D0_3R1Y_A,True,25.1,0.5931393504142761
38,True,MK14_MOUSE_D0_4LOP_B,True,22.5,0.8566837310791016
39,True,MP2K6_HUMAN_D0_3ENM_C,True,27.6,0.9392141699790955
40,True,MK11_HUMAN_D0_3GP0_A,True,21.0,1.0857083797454834
41,True,STK24_HUMAN_D0_3CKX_A,True,24.6,0.7308559417724609
42,True,ABL1_MOUSE_D0_3IK3_B,True,31.0,0.6773658394813538
43,True,ACVL1_HUMAN_D0_3MY0_H,True,23.6,0.7784862518310547
44,True,ACVL1_HUMAN_D0_3MY0_A,True,23.6,0.7522027492523193
45,True,ABL1_MOUSE_D0_3DK7_B,True,31.0,0.7249548435211182
46,True,CDK2_HUMAN_D0_3R71_A,True,25.1,0.6433648467063904
47,True,DAPK2_HUMAN_D0_2CKE_A,True,19.0,0.9682770371437073
48,True,MK14_HUMAN_D0_3HV7_A,True,22.9,0.9305365681648254
49,True,CDK2_HUMAN_D0_3QHR_C,True,25.1,0.7260873317718506
50,True,NTRK1_HUMAN_D0_4PMP_A,True,36.0,0.6222129464149475
51,True,MK14_HUMAN_D0_3NNU_A,True,22.9,0.9341617226600647
52,True,PIM2_HUMAN_D0_2IWI_A,True,23.9,1.0198835134506226
53,True,WEE1_HUMAN_D0_2IO6_A,True,25.1,0.722197413444519
54,True,IRE1_YEAST_D0_3LJ1_A,True,21.9,1.063933253288269
55,True,MK14_HUMAN_D0_2FST_X,True,22.9,0.9307522177696228
56,True,CDK2_HUMAN_D0_4EOR_A,True,25.1,0.7229958772659302
57,True,HASP_HUMAN_D0_3F2N_A,True,25.5,1.8110852241516113
58,False,FGFR2_HUMAN_D0_4J98_B,False,28.0,
59,True,TYK2_MOUSE_D1_4E20_A,True,33.7,0.6996615529060364
60,True,MK13_HUMAN_D0_3COI_A,True,21.8,1.2257760763168335
61,True,RN5A_HUMAN_D0_4OAV_B,True,21.2,1.6252202987670898
62,True,TYK2_MOUSE_D1_4E1Z_A,True,33.2,0.6689815521240234
63,True,DAPK2_HUMAN_D0_1ZWS_C,True,19.0,0.9636532664299011
64,True,PIM1_HUMAN_D0_2O65_A,True,23.3,1.2372026443481445
65,True,GSK3B_HUMAN_D0_3ZRL_B,True,21.0,1.010972499847412
66,True,DAPK2_MOUSE_D0_2YAA_A,True,19.8,0.9383001327514648
67,True,MK10_HUMAN_D0_3FI3_A,True,24.0,1.0059601068496704
68,True,MK01_HUMAN_D0_3I60_A,True,25.1,0.7874755263328552
69,True,PIM1_HUMAN_D0_3VBT_A,True,23.3,1.276734471321106
70,True,JAK1_HUMAN_D1_4EHZ_B,True,30.3,0.6993021965026855
71,True,TGFR1_HUMAN_D0_3TZM_A,True,23.6,0.7949816584587097
72,True,ALK_HUMAN_D0_2XB7_A,True,29.5,0.6185302138328552
73,True,MK08_HUMAN_D0_4HYU_A,True,22.6,1.199387788772583
74,True,DAPK2_HUMAN_D0_1ZWS_B,True,19.0,0.9283066987991333
75,True,ERN1_HUMAN_D0_3P23_C,True,22.9,0.8426570296287537
76,True,AKT2_HUMAN_D0_1O6K_A,True,22.5,1.0230512619018555
77,True,ST32A_HUMAN_D0_4FR4_C,True,20.8,0.7531446814537048
78,True,STK3_HUMAN_D0_4LG4_C,True,21.0,0.6572417616844177
79,True,AKT2_HUMAN_D0_3E88_B,True,22.5,0.9810724854469299
80,True,MAPK2_HUMAN_D0_3GOK_G,True,22.1,1.1910786628723145
81,True,NEK1_HUMAN_D0_4B9D_B,True,25.3,0.780009388923645
82,True,ALK_HUMAN_D0_4CNH_A,True,29.5,0.6708454489707947
83,True,AKT2_HUMAN_D0_2UW9_A,True,22.5,1.000045895576477
84,True,M3K7_HUMAN_D0_4GS6_A,True,21.5,0.5734224319458008
85,True,EPHA4_MOUSE_D0_2HEL_A,True,30.9,0.6736840605735779
86,False,DAPK1_HUMAN_D0_2Y4P_D,False,22.1,
87,True,ALK_HUMAN_D0_4CMO_A,True,29.5,0.6521797776222229
88,True,SRC_CHICK_D0_3EN6_A,True,31.5,0.5874916315078735
89,False,CDK7_HUMAN_D0_1UA2_D,False,22.9,
90,True,SRC_HUMAN_D0_1YI6_A,True,31.5,0.7890418171882629
91,True,SRC_CHICK_D0_2OIQ_A,True,31.5,0.6061313152313232
92,True,MERTK_HUMAN_D0_4M3Q_B,True,31.4,0.5584538578987122
93,True,MERTK_HUMAN_D0_4MH7_A,True,31.4,0.7369002103805542
94,True,EGFR_HUMAN_D0_4WKQ_A,True,26.5,0.7192772030830383
95,True,GSK3B_HUMAN_D0_2JLD_B,True,19.9,1.1743769645690918
96,True,PLK2_HUMAN_D0_4I6B_A,True,22.7,0.8612439632415771
97,True,MK14_HUMAN_D0_4F9Y_A,True,22.9,0.8845819234848022
98,True,MELK_HUMAN_D0_4D2V_D,True,26.4,0.7947961091995239
99,True,AKT1_HUMAN_D0_3OCB_B,True,22.8,1.0526124238967896
100,True,MET_HUMAN_D0_3ZBX_A,True,31.0,0.6345201730728149
101,False,FGFR1_HUMAN_D0_4F63_A,False,28.8,
102,True,DAPK1_HUMAN_D0_3F5U_A,True,22.1,0.802129864692688
103,True,MARK2_HUMAN_D0_3IEC_C,True,26.2,0.9701364636421204
104,True,MET_HUMAN_D0_3L8V_A,True,31.0,0.6724590063095093
105,True,MARK2_HUMAN_D0_3IEC_A,True,26.2,0.9321386814117432
106,True,MK14_HUMAN_D0_4EHV_A,True,22.9,0.8734838962554932
107,True,CSK21_HUMAN_D0_4MD9_F,True,22.1,0.9697259664535522
108,True,MK01_RAT_D0_3O71_A,True,25.1,0.7945820689201355
109,True,AURKA_HUMAN_D0_2J50_B,True,22.7,1.0657042264938354
110,True,MK14_HUMAN_D0_3MH2_A,True,20.3,1.148210048675537
111,True,CHK2_HUMAN_D0_2YIT_A,True,23.2,1.1369388103485107
112,True,CSK2A_MAIZE_D0_2OXY_B,True,22.1,0.9316369295120239
113,True,PIM1_HUMAN_D0_1YWV_A,True,23.3,1.2595176696777344
114,True,MARK2_RAT_D0_2WZJ_F,True,26.2,0.837751567363739
115,True,ITK_HUMAN_D0_3MIY_B,True,37.2,0.45380643010139465
116,True,MK14_HUMAN_D0_3MH3_A,True,21.1,1.021669626235962
117,True,AURKA_HUMAN_D0_3UOD_A,True,22.7,1.0863813161849976
118,True,MP2K1_HUMAN_D0_4MNE_H,True,23.2,1.0434519052505493
