,templateid,seqid
0,SRC_CHICK_D0_3QLF_A,83.9
1,SRC_CHICK_D0_4AGW_A,83.9
2,SRC_CHICK_D0_3F6X_D,83.9
3,SRC_CHICK_D0_3OEZ_A,83.9
4,SRC_CHICK_D0_3EL8_B,83.9
5,SRC_CHICK_D0_3U51_B,83.9
6,SRC_CHICK_D0_3EN6_A,83.9
7,SRC_CHICK_D0_3F3W_B,83.9
8,SRC_CHICK_D0_3EN4_A,83.9
9,SRC_CHICK_D0_4DGG_A,83.9
10,SRC_CHICK_D0_3UQF_A,83.9
11,SRC_CHICK_D0_3GEQ_B,83.9
12,SRC_CHICK_D0_3TZ8_A,83.9
13,SRC_CHICK_D0_4AGW_B,83.9
14,SRC_CHICK_D0_3F3U_B,83.9
15,SRC_CHICK_D0_3EL8_A,83.9
16,SRC_CHICK_D0_3G6G_B,83.9
17,SRC_CHICK_D0_3F6X_A,83.9
18,SRC_CHICK_D0_2HWP_B,83.9
19,SRC_CHICK_D0_3EN6_B,83.9
20,SRC_CHICK_D0_3F6X_C,83.9
21,SRC_CHICK_D0_3EN4_B,83.9
22,SRC_CHICK_D0_3OEZ_B,83.9
23,SRC_CHICK_D0_3F3T_B,83.9
24,SRC_CHICK_D0_3QLG_A,83.9
25,SRC_CHICK_D0_3DQX_B,83.9
26,SRC_CHICK_D0_3UQG_B,83.9
27,SRC_CHICK_D0_4U5J_A,83.9
28,SRC_CHICK_D0_3OF0_B,83.9
29,SRC_CHICK_D0_4LGH_A,83.9
30,SRC_CHICK_D0_2PTK_A,83.9
31,SRC_CHICK_D0_3U51_A,83.9
32,SRC_CHICK_D0_3F3T_A,83.9
33,SRC_CHICK_D0_3F3V_A,83.9
34,SRC_CHICK_D0_4DGG_B,83.9
35,SRC_CHICK_D0_3TZ7_A,83.9
36,SRC_CHICK_D0_3TZ8_B,83.9
37,SRC_CHICK_D0_3OF0_A,83.9
38,SRC_CHICK_D0_2HWO_B,83.9
39,SRC_CHICK_D0_3UQG_A,83.9
40,SRC_CHICK_D0_4FIC_B,83.9
41,SRC_CHICK_D0_3QLG_B,83.9
42,SRC_CHICK_D0_3D7U_D,83.9
43,SRC_CHICK_D0_3F3U_A,83.9
44,SRC_CHICK_D0_2OIQ_A,83.9
45,SRC_CHICK_D0_3G6H_A,83.9
46,SRC_CHICK_D0_3TZ9_A,83.9
47,SRC_CHICK_D0_4LGG_B,83.9
48,SRC_CHICK_D0_3G6G_A,83.9
49,SRC_CHICK_D0_2OIQ_B,83.9
50,SRC_CHICK_D0_3G6H_B,83.9
51,SRC_CHICK_D0_3G5D_B,83.9
52,SRC_CHICK_D0_3LOK_A,83.9
53,SRC_CHICK_D0_3D7U_B,83.9
54,SRC_CHICK_D0_3TZ9_B,83.9
55,SRC_CHICK_D0_3TZ7_B,83.9
56,SRC_CHICK_D0_2QLQ_A,83.9
57,SRC_CHICK_D0_4U5J_B,83.9
58,SRC_CHICK_D0_3F3V_B,83.9
59,SRC_CHICK_D0_3D7T_B,83.9
60,SRC_CHICK_D0_3UQF_B,83.9
61,SRC_CHICK_D0_2QLQ_B,83.9
62,SRC_CHICK_D0_3GEQ_A,83.9
63,SRC_CHICK_D0_4FIC_A,83.9
64,SRC_CHICK_D0_3F3W_A,83.9
65,SRC_CHICK_D0_3G5D_A,83.9
66,SRC_CHICK_D0_3U4W_A,83.9
67,SRC_CHICK_D0_3DQX_A,83.9
68,SRC_CHICK_D0_3DQW_B,83.7
69,SRC_CHICK_D0_3DQW_D,83.7
70,SRC_CHICK_D0_3DQW_A,83.7
71,SRC_CHICK_D0_3DQW_C,83.7
72,SRC_HUMAN_D0_1FMK_A,83.5
73,SRC_HUMAN_D0_4MXX_B,83.5
74,SRC_HUMAN_D0_2BDF_B,83.5
75,SRC_HUMAN_D0_1YI6_A,83.5
76,SRC_HUMAN_D0_4MXX_A,83.5
77,SRC_HUMAN_D0_1Y57_A,83.5
78,SRC_HUMAN_D0_2BDJ_A,83.5
79,SRC_HUMAN_D0_4K11_A,83.5
80,SRC_HUMAN_D0_4MXO_A,83.5
81,SRC_HUMAN_D0_4MXO_B,83.5
82,SRC_HUMAN_D0_4MXZ_B,83.5
83,SRC_HUMAN_D0_2SRC_A,83.5
