,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,SRC_CHICK_D0_2OIQ_A,True,37.4,2.4932663440704346
1,True,MK14_HUMAN_D0_2FST_X,True,23.8,2.3347222805023193
2,True,AAPK2_HUMAN_D0_4CFF_C,True,26.5,2.3951261043548584
3,False,FGFR1_HUMAN_D0_3RHX_B,False,41.8,
4,True,AAPK2_HUMAN_D0_2YZA_A,True,26.5,2.3095321655273438
5,True,PAK4_HUMAN_D0_4JDJ_A,True,26.6,2.445389747619629
6,True,KAPCA_MOUSE_D0_2QVS_E,True,22.0,2.4980978965759277
7,True,MK14_HUMAN_D0_3HV7_A,True,23.8,2.3274648189544678
8,True,MET_HUMAN_D0_3CTH_A,True,36.6,2.4039337635040283
9,True,SRC_CHICK_D0_3OEZ_B,True,37.4,2.442495346069336
10,False,JAK3_HUMAN_D1_3PJC_A,False,35.8,
11,True,MK14_MOUSE_D0_4LOQ_C,True,23.0,2.3900768756866455
12,True,MKNK1_HUMAN_D0_2HW6_B,True,23.0,2.468676805496216
13,True,CHK1_HUMAN_D0_4FST_A,True,25.7,2.5049610137939453
14,True,MK14_MOUSE_D0_2GTM_A,True,23.0,2.3388350009918213
15,True,MK14_HUMAN_D0_4KIQ_C,True,23.8,2.338463306427002
16,True,MK14_HUMAN_D0_3DS6_D,True,23.8,2.2835640907287598
17,True,PKNB_MYCTU_D0_2FUM_D,True,23.9,2.380277633666992
18,True,NTRK1_HUMAN_D0_4PMP_A,True,52.9,2.3993148803710938
19,True,PAK4_HUMAN_D0_4FIE_A,True,26.6,2.478250503540039
20,True,MK14_HUMAN_D0_3O8T_A,True,23.1,2.3584842681884766
21,True,MP2K6_HUMAN_D0_3ENM_C,True,23.8,2.509169101715088
22,True,ABL1_HUMAN_D0_2HYY_C,True,42.9,2.2999963760375977
23,True,ABL1_HUMAN_D0_2HZ4_A,True,42.9,2.3544323444366455
24,True,ABL1_HUMAN_D0_2HZI_B,True,42.9,2.403775215148926
25,True,EGFR_HUMAN_D0_2ITX_A,True,36.2,2.4309744834899902
26,True,ALK_HUMAN_D0_2XB7_A,True,40.4,2.4838457107543945
27,True,MARK2_RAT_D0_2WZJ_F,True,30.6,2.4812633991241455
28,True,MET_HUMAN_D0_3L8V_A,True,36.6,2.5549473762512207
29,False,FGFR1_HUMAN_D0_1FGI_B,False,41.8,
30,True,MERTK_HUMAN_D0_4M3Q_B,True,39.7,2.463158369064331
31,True,MK13_HUMAN_D0_3COI_A,True,21.6,2.244431257247925
32,True,ABL1_MOUSE_D0_3IK3_B,True,44.0,2.289656639099121
33,True,MK14_HUMAN_D0_3GCP_A,True,23.8,2.3324732780456543
34,True,ERN1_MOUSE_D0_4PL5_C,True,23.7,2.4704830646514893
