,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,ABL1_HUMAN_D0_2HYY_C,True,48.0,0.4091639220714569
1,False,FGFR2_HUMAN_D0_2PY3_A,False,38.2,
2,True,SLK_HUMAN_D0_2JFL_A,True,24.8,0.8883968591690063
3,True,STK3_HUMAN_D0_4LG4_C,True,24.2,0.49277788400650024
4,True,TAOK2_RAT_D0_1U5R_A,True,29.5,0.5466996431350708
5,False,FGFR1_HUMAN_D0_3RHX_B,False,39.8,
6,False,AAPK2_HUMAN_D0_2YZA_A,True,29.2,
7,True,IRE1_YEAST_D0_3FBV_H,True,27.6,0.6316768527030945
8,True,AAPK2_HUMAN_D0_4CFF_C,True,29.2,0.607829213142395
9,True,IGF1R_HUMAN_D0_3F5P_H,True,39.0,0.6617875695228577
10,True,GSK3B_HUMAN_D0_3ZRL_B,True,28.3,0.9811410903930664
11,True,KC1D_HUMAN_D0_4KB8_A,True,25.2,0.6344628930091858
12,True,CDK2_HUMAN_D0_4EOQ_A,True,26.0,1.0343995094299316
13,True,KAPCA_MOUSE_D0_2QVS_E,True,25.2,0.6101446151733398
14,True,PIM1_HUMAN_D0_4MED_A,True,28.9,0.6714510321617126
15,True,EPHA3_HUMAN_D0_2QON_A,True,46.1,0.40912869572639465
16,True,ROCK1_HUMAN_D0_3TWJ_B,True,28.3,0.5847153663635254
17,True,GSK3B_HUMAN_D0_2JLD_B,True,29.1,1.0176383256912231
18,True,SRC_HUMAN_D0_1YI6_A,True,83.5,0.5200191140174866
19,True,SRC_CHICK_D0_2OIQ_A,True,83.9,0.0006932472460903227
20,False,TYK2_HUMAN_D1_4PY1_A,False,36.2,
21,True,CHK1_HUMAN_D0_4FST_A,True,28.3,0.7372308969497681
22,True,CDK2_HUMAN_D0_4BCO_C,True,26.0,0.8346354365348816
23,True,ALK_HUMAN_D0_2XB7_A,True,41.7,0.34552377462387085
24,True,MK14_MOUSE_D0_2GTM_A,True,29.5,0.6930666565895081
25,True,DAPK2_HUMAN_D0_2CKE_A,True,24.0,0.8417951464653015
26,True,MP2K1_HUMAN_D0_4AN9_A,True,27.0,0.4963423013687134
27,True,MK14_MOUSE_D0_4LOQ_C,True,29.5,0.4835602343082428
28,False,ACVL1_HUMAN_D0_3MY0_H,True,31.5,
29,True,MK14_HUMAN_D0_4KIQ_C,True,29.5,0.5245816111564636
30,False,TYK2_MOUSE_D1_4E1Z_A,False,36.2,
31,False,JAK3_HUMAN_D1_3PJC_A,False,39.4,
32,True,MK14_HUMAN_D0_3DS6_D,True,29.5,0.5450731515884399
33,True,PAK4_HUMAN_D0_4FIE_A,True,23.4,0.6639094352722168
34,True,PKNB_MYCTU_D0_2FUM_D,True,28.3,0.5094037055969238
35,True,PAK4_HUMAN_D0_4JDJ_A,True,23.4,0.6314470171928406
36,True,KAPCA_HUMAN_D0_3L9M_B,True,25.5,0.6420431733131409
37,True,ABL1_MOUSE_D0_3IK3_B,True,48.0,0.3726499080657959
38,True,ABL1_MOUSE_D0_3DK7_B,True,48.0,0.5635333061218262
39,False,FGFR2_HUMAN_D0_4J98_B,False,38.2,
40,True,EGFR_HUMAN_D0_2ITX_A,True,38.2,0.541126012802124
