,has_model,templateid,unique_by_clustering,seqid,rmsd
0,False,ABL1_HUMAN_D0_2HYY_C,False,40.9,
1,True,CHK1_HUMAN_D0_4FST_A,True,29.6,1.4982202053070068
2,True,CDK5_HUMAN_D0_1UNL_B,True,23.7,2.169769525527954
3,True,PAK4_HUMAN_D0_4JDJ_A,True,28.2,2.0684726238250732
4,True,SRC_CHICK_D0_3UQG_B,True,39.0,0.9665705561637878
5,True,AAPK2_HUMAN_D0_4CFF_C,True,25.7,1.4863508939743042
6,True,SRC_CHICK_D0_4LGH_A,True,39.0,0.94422847032547
7,True,JAK2_HUMAN_D1_4BBF_D,True,33.7,1.084915280342102
8,True,AAPK2_HUMAN_D0_2YZA_A,True,25.7,1.4943392276763916
9,False,FGFR1_HUMAN_D0_3TT0_B,False,49.3,
10,True,MP2K2_HUMAN_D0_1S9I_B,True,24.5,1.8104931116104126
11,True,KAPCA_HUMAN_D0_3L9M_B,True,25.1,2.382786512374878
12,True,MK14_HUMAN_D0_4EHV_A,True,26.0,2.4784696102142334
13,True,FGFR2_HUMAN_D0_3B2T_A,True,48.6,1.4651540517807007
14,True,CDK2_HUMAN_D0_3QTQ_A,True,25.8,0.9724099636077881
15,True,SRC_CHICK_D0_3LOK_B,True,40.8,0.9798206686973572
16,True,EPHA3_HUMAN_D0_2QO7_A,True,36.6,1.7036540508270264
17,True,ABL1_HUMAN_D0_2HZ4_A,True,40.9,1.8997098207473755
18,True,MAPK2_HUMAN_D0_3A2C_C,True,26.7,1.966417670249939
19,True,CDK2_HUMAN_D0_3RPV_A,True,25.8,1.019814372062683
20,True,CDK2_HUMAN_D0_4EOQ_A,True,25.8,1.0857782363891602
21,False,DAPK1_HUMAN_D0_2Y4P_D,False,24.0,
22,True,ABL1_HUMAN_D0_2HZI_B,True,40.9,1.8936368227005005
23,True,ALK_HUMAN_D0_2XB7_A,True,40.4,1.384004831314087
24,True,MK14_HUMAN_D0_1OUK_A,True,26.0,2.4184916019439697
25,True,WEE1_HUMAN_D0_2IO6_A,True,21.4,1.8812483549118042
26,True,CDK9_HUMAN_D0_3MI9_A,True,22.6,2.0883796215057373
27,True,MK14_MOUSE_D0_1YW2_A,True,24.3,2.4733169078826904
28,True,PLK1_HUMAN_D0_2RKU_A,True,27.7,2.058732032775879
29,True,GSK3B_HUMAN_D0_4ACG_B,True,28.1,2.2203333377838135
30,True,ACVL1_HUMAN_D0_3MY0_A,True,26.8,2.525393009185791
31,True,ABL1_MOUSE_D0_3DK7_B,True,42.1,1.7945497035980225
32,True,MK14_HUMAN_D0_2QD9_A,True,26.0,2.4590227603912354
33,True,FAK1_HUMAN_D0_2IJM_A,True,37.8,1.5897866487503052
34,True,PKNB_MYCTU_D0_2FUM_D,True,24.6,2.0567269325256348
35,True,DAPK2_HUMAN_D0_1ZWS_B,True,22.8,1.2721784114837646
36,True,MKNK1_HUMAN_D0_2HW6_B,True,22.5,1.9445308446884155
37,True,TYK2_MOUSE_D1_4E20_A,True,36.4,1.0870336294174194
38,True,JAK2_HUMAN_D1_4BBF_C,True,33.7,1.1461963653564453
39,True,CDK2_HUMAN_D0_3R9H_A,True,25.8,0.9658417105674744
40,True,CDK2_HUMAN_D0_4BCO_C,True,25.8,1.2393555641174316
41,True,TGFR1_HUMAN_D0_3TZM_A,True,25.4,2.2545552253723145
42,True,MUSK_RAT_D0_1LUF_A,True,42.6,1.514318585395813
43,True,MK13_HUMAN_D0_3COI_A,True,23.9,1.4533928632736206
44,False,FGFR2_HUMAN_D0_2PZ5_A,False,48.3,
45,True,IRE1_YEAST_D0_3LJ1_A,True,22.7,2.0571491718292236
46,True,ERN1_HUMAN_D0_3P23_C,True,26.0,2.329188108444214
47,True,CSK2A_MAIZE_D0_2OXY_B,True,23.1,2.1111040115356445
48,False,FGFR2_HUMAN_D0_4J98_B,False,48.3,
49,True,MK14_HUMAN_D0_3O8T_A,True,24.6,2.4346468448638916
50,True,NTRK1_HUMAN_D0_4PMP_A,True,42.5,1.3528152704238892
51,True,ACVL1_HUMAN_D0_3MY0_H,True,26.8,2.5410940647125244
52,True,MK14_MOUSE_D0_4LOQ_C,True,24.9,2.400346517562866
53,False,CDK7_HUMAN_D0_1UA2_D,False,23.9,
54,True,MP2K1_HUMAN_D0_4AN9_A,True,27.0,1.7908670902252197
55,True,CDK6_HUMAN_D0_1BI8_A,True,25.3,2.4564640522003174
56,True,MK14_HUMAN_D0_4KIQ_C,True,26.0,2.4896137714385986
57,True,STK3_HUMAN_D0_4LG4_C,True,27.0,1.0981348752975464
58,True,MP2K6_HUMAN_D0_3ENM_C,True,33.5,2.205157995223999
59,True,EGFR_HUMAN_D0_2ITX_A,True,34.3,2.4911398887634277
60,True,EPHA4_MOUSE_D0_2HEL_A,True,36.6,0.8045176863670349
61,True,ABL1_MOUSE_D0_3IK3_B,True,42.1,1.848832368850708
62,True,MAPK3_HUMAN_D0_3SHE_A,True,25.3,1.9151389598846436
63,True,AKT2_HUMAN_D0_2UW9_A,True,22.5,2.318279981613159
64,True,TYK2_MOUSE_D1_4E1Z_A,True,35.9,1.1351629495620728
65,True,CDK2_HUMAN_D0_3QTU_A,True,25.8,1.006252408027649
66,True,CDK9_HUMAN_D0_4IMY_E,True,22.6,2.19113826751709
67,True,ALK_HUMAN_D0_4CMO_A,True,40.4,1.3014109134674072
68,True,MK14_HUMAN_D0_3GCP_A,True,26.0,2.427718162536621
69,True,MK11_HUMAN_D0_3GP0_A,True,24.6,2.4155778884887695
70,True,PAK4_HUMAN_D0_4FIE_A,True,28.2,2.115610361099243
71,True,CDK2_HUMAN_D0_4EOK_C,True,25.8,1.104795217514038
72,True,EPHA3_HUMAN_D0_2QON_A,True,36.6,1.6783969402313232
73,True,PIM1_HUMAN_D0_2O65_A,True,30.4,2.3754689693450928
74,True,HCK_HUMAN_D0_3VS2_B,True,43.3,0.6371340751647949
75,True,EGFR_HUMAN_D0_4WKQ_A,True,34.3,2.497645139694214
76,True,JAK2_HUMAN_D1_4C62_B,True,34.0,1.1766924858093262
77,False,FGFR2_HUMAN_D0_2PY3_A,False,48.3,
78,True,DAPK2_HUMAN_D0_2CKE_A,True,22.8,1.2061166763305664
79,True,MK10_HUMAN_D0_3FI3_A,True,24.0,2.0187861919403076
80,True,ST32A_HUMAN_D0_4FR4_C,True,25.5,1.941383957862854
81,True,STK24_HUMAN_D0_3CKX_A,True,27.8,1.330463171005249
82,True,CDK2_HUMAN_D0_3R1Y_A,True,25.8,1.0600757598876953
83,True,MK14_MOUSE_D0_4LOP_B,True,24.9,2.4598183631896973
84,True,MK14_MOUSE_D0_2GTM_A,True,24.9,2.4222917556762695
85,True,AKT2_HUMAN_D0_3E88_B,True,22.5,2.3424198627471924
86,True,PLK2_HUMAN_D0_4I6B_A,True,21.5,1.166076421737671
87,True,MK01_RAT_D0_3ZUV_A,True,24.7,2.3069775104522705
88,True,MK14_HUMAN_D0_3NNU_A,True,26.0,2.4784891605377197
89,True,IGF1R_HUMAN_D0_3QQU_C,True,37.7,1.7389127016067505
90,True,MK14_HUMAN_D0_3HV7_A,True,26.0,2.414379835128784
91,True,ALK_HUMAN_D0_4CNH_A,True,40.4,1.4521209001541138
92,True,BRAF_HUMAN_D0_1UWH_B,True,34.5,1.6940959692001343
93,True,MK14_HUMAN_D0_3DS6_D,True,26.0,2.3436479568481445
94,True,MK01_HUMAN_D0_3I60_A,True,23.9,2.3234987258911133
95,True,CDK2_HUMAN_D0_3QHR_C,True,25.8,1.2211709022521973
96,True,CSK21_HUMAN_D0_4MD9_F,True,23.2,2.245663642883301
97,True,MK08_HUMAN_D0_4HYU_A,True,26.7,2.0378224849700928
98,True,AKT2_HUMAN_D0_1O6K_A,True,22.5,2.322573661804199
99,True,AKT1_HUMAN_D0_3OCB_B,True,25.5,2.2845749855041504
100,True,PIM1_HUMAN_D0_1YWV_A,True,30.4,2.3994104862213135
101,True,RN5A_HUMAN_D0_4OAV_B,True,22.1,1.5899642705917358
102,True,ARBK1_BOVIN_D0_2BCJ_A,True,27.8,1.8800764083862305
103,True,NEK1_HUMAN_D0_4B9D_B,True,20.1,0.9656196236610413
104,True,KS6A1_HUMAN_D1_4NIF_A,True,22.5,2.2470076084136963
105,True,KSYK_HUMAN_D0_4FYN_A,True,38.6,1.848038673400879
106,True,SRC_CHICK_D0_3EN6_A,True,39.0,0.9571436643600464
107,True,CDK2_HUMAN_D0_4EOR_A,True,25.8,1.1569839715957642
108,True,TBK1_HUMAN_D0_4EUT_B,True,22.2,1.9677797555923462
109,True,DAPK2_HUMAN_D0_1ZWS_C,True,22.8,1.2485874891281128
110,True,PAK4_HUMAN_D0_2BVA_B,True,28.2,1.9395302534103394
111,True,GSK3B_HUMAN_D0_2JLD_B,True,31.0,2.140188455581665
112,True,MAPK2_HUMAN_D0_3KC3_J,True,24.0,1.9092706441879272
113,True,M3K7_HUMAN_D0_4GS6_A,True,35.5,1.7059664726257324
114,True,SRC_HUMAN_D0_1YOJ_B,True,41.0,1.5048531293869019
115,True,AURKA_HUMAN_D0_2J50_B,True,26.7,2.128519296646118
116,True,MERTK_HUMAN_D0_4MH7_A,True,39.7,1.8194392919540405
117,True,MET_HUMAN_D0_3ZBX_A,True,38.8,1.3711295127868652
118,True,MERTK_HUMAN_D0_3BPR_A,True,39.7,1.6483134031295776
119,True,MK14_HUMAN_D0_4F9Y_A,True,26.0,2.5268986225128174
120,True,MERTK_HUMAN_D0_4M3Q_B,True,39.7,1.7643965482711792
121,True,MET_HUMAN_D0_3L8V_A,True,38.8,1.4363850355148315
122,True,MAPK2_HUMAN_D0_3GOK_G,True,24.0,2.02315616607666
123,True,MK14_HUMAN_D0_3MH3_A,True,25.2,2.4352200031280518
124,True,KC1D_HUMAN_D0_4KB8_A,True,25.3,1.417122483253479
125,True,SRC_CHICK_D0_3OEZ_B,True,39.0,1.1088742017745972
126,True,MK14_HUMAN_D0_4KIN_C,True,26.0,2.4221112728118896
127,True,MP2K1_HUMAN_D0_4MNE_H,True,23.8,1.917659044265747
128,True,MARK2_HUMAN_D0_3IEC_A,True,27.4,2.6001501083374023
129,True,MARK2_HUMAN_D0_3IEC_C,True,27.4,2.784475564956665
130,True,DAPK2_MOUSE_D0_2YAA_A,True,23.2,1.2127659320831299
131,True,PIM2_HUMAN_D0_2IWI_A,True,24.7,1.8489760160446167
