,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,PAK4_HUMAN_D0_4JDJ_A,True,25.8,0.7374749183654785
1,True,CDK5_HUMAN_D0_1UNL_B,True,26.1,1.176836371421814
2,True,KAPCA_MOUSE_D0_2QVS_E,True,24.3,0.8082248568534851
3,True,AAPK2_HUMAN_D0_4CFF_C,True,28.1,0.7804802656173706
4,True,CSK21_HUMAN_D0_3FWQ_B,True,21.0,1.356803297996521
5,True,KAPCA_BOVIN_D0_3E8C_B,True,24.7,1.169036865234375
6,True,MP2K6_HUMAN_D0_3ENM_C,True,24.7,0.9621331095695496
7,False,AAPK2_HUMAN_D0_2YZA_A,True,28.1,
8,True,CHK1_HUMAN_D0_4GH2_A,True,26.8,0.9113481640815735
9,True,TYK2_MOUSE_D1_4E1Z_A,True,38.1,0.7429359555244446
10,True,MK14_HUMAN_D0_3NNU_A,True,26.3,0.9373427629470825
11,True,MK14_MOUSE_D0_1YW2_A,True,25.7,0.9665425419807434
12,True,DAPK2_HUMAN_D0_1ZWS_B,True,25.1,1.1766239404678345
13,True,IGF1R_HUMAN_D0_1M7N_B,True,40.6,0.6179977655410767
14,True,MKNK1_HUMAN_D0_2HW6_B,True,21.8,1.2971011400222778
15,True,ST32A_HUMAN_D0_4FR4_C,True,24.7,0.7561529278755188
16,True,TYK2_HUMAN_D1_4PY1_A,True,39.2,0.6497524380683899
17,True,CDK2_HUMAN_D0_3RPV_A,True,26.5,0.9231629967689514
18,True,HASP_HUMAN_D0_3F2N_A,True,17.3,2.040076494216919
19,True,JAK2_HUMAN_D1_4BBF_C,True,36.2,0.6163620948791504
20,True,PIM1_HUMAN_D0_2O65_A,True,26.5,0.7489737272262573
21,True,ALK_HUMAN_D0_2XB7_A,True,40.4,0.45004022121429443
22,False,FGFR2_HUMAN_D0_4J98_B,False,76.7,
23,True,GSK3B_HUMAN_D0_3ZRL_B,True,27.7,0.9653010964393616
24,True,MK14_MOUSE_D0_2GTM_A,True,26.3,1.0750168561935425
25,True,IRE1_YEAST_D0_3FBV_H,True,24.3,1.1099330186843872
26,True,CSK21_HUMAN_D0_4MD9_K,True,21.0,1.3130042552947998
27,True,CDK9_HUMAN_D0_4IMY_E,True,24.2,1.0918947458267212
28,True,ERN1_MOUSE_D0_4PL5_C,True,24.0,0.9815982580184937
29,True,JAK2_HUMAN_D1_4C62_B,True,37.5,0.9518240690231323
30,False,DAPK1_HUMAN_D0_2Y4P_D,False,25.1,
31,True,ACVL1_HUMAN_D0_3MY0_A,True,30.4,0.8503875136375427
32,True,EPHA3_HUMAN_D0_2QON_A,True,37.0,0.6003519892692566
33,True,DAPK2_HUMAN_D0_1ZWS_C,True,25.1,1.2093908786773682
34,True,MK14_MOUSE_D0_4LOQ_C,True,26.3,0.9577523469924927
35,True,ABL1_MOUSE_D0_3DK7_B,True,44.0,0.7361156940460205
36,True,MK14_HUMAN_D0_4KIQ_C,True,26.3,0.9778077006340027
37,False,ACVL1_HUMAN_D0_3MY0_H,True,30.4,
38,True,MAPK3_HUMAN_D0_3SHE_A,True,23.4,1.3462207317352295
39,True,MUSK_RAT_D0_1LUF_A,True,44.7,0.6425644755363464
40,True,MET_HUMAN_D0_4DEH_A,True,37.3,0.6035006642341614
41,True,GSK3B_HUMAN_D0_2JLD_B,True,27.8,0.9910144805908203
42,True,MK10_HUMAN_D0_3FI3_A,True,29.4,1.1622889041900635
43,True,PKNB_MYCTU_D0_2FUM_D,True,24.2,0.7338623404502869
