,templateid,seqid
0,SRC_CHICK_D0_3D7U_B,89.8
1,SRC_CHICK_D0_3G6G_B,89.8
2,SRC_CHICK_D0_3F3T_B,89.8
3,SRC_CHICK_D0_3F3W_A,89.8
4,SRC_CHICK_D0_2OIQ_A,89.8
5,SRC_CHICK_D0_3OEZ_A,89.8
6,SRC_CHICK_D0_3F6X_A,89.8
7,SRC_CHICK_D0_4LGG_B,89.8
8,SRC_CHICK_D0_2OIQ_B,89.8
9,SRC_CHICK_D0_3G6H_B,89.8
10,SRC_CHICK_D0_3G6H_A,89.8
11,SRC_CHICK_D0_3QLF_A,89.8
12,SRC_CHICK_D0_3D7T_B,89.8
13,SRC_CHICK_D0_3G5D_A,89.8
14,SRC_CHICK_D0_3EL8_A,89.8
15,SRC_CHICK_D0_4DGG_A,89.8
16,SRC_CHICK_D0_2HWO_B,89.8
17,SRC_CHICK_D0_3EN6_A,89.8
18,SRC_CHICK_D0_3QLG_B,89.8
19,SRC_CHICK_D0_3F3U_B,89.8
20,SRC_CHICK_D0_3UQG_A,89.8
21,SRC_CHICK_D0_2QLQ_B,89.8
22,SRC_CHICK_D0_3TZ9_A,89.8
23,SRC_CHICK_D0_3QLG_A,89.8
24,SRC_CHICK_D0_3F3U_A,89.8
25,SRC_CHICK_D0_3DQX_A,89.8
26,SRC_CHICK_D0_3UQF_A,89.8
27,SRC_CHICK_D0_2HWP_B,89.8
28,SRC_CHICK_D0_3UQG_B,89.8
29,SRC_CHICK_D0_3F3V_A,89.8
30,SRC_CHICK_D0_4LGH_A,89.8
31,SRC_CHICK_D0_3OEZ_B,89.8
32,SRC_CHICK_D0_3OF0_B,89.8
33,SRC_CHICK_D0_3EL8_B,89.8
34,SRC_CHICK_D0_3G6G_A,89.8
35,SRC_CHICK_D0_4U5J_A,89.8
36,SRC_CHICK_D0_4AGW_A,89.8
37,SRC_CHICK_D0_3LOK_A,89.8
38,SRC_CHICK_D0_3UQF_B,89.8
39,SRC_CHICK_D0_3TZ7_B,89.8
40,SRC_CHICK_D0_3U4W_A,89.8
41,SRC_CHICK_D0_3EN5_B,89.8
42,SRC_CHICK_D0_3F6X_C,89.8
43,SRC_CHICK_D0_4U5J_B,89.8
44,SRC_CHICK_D0_3F6X_D,89.8
45,SRC_CHICK_D0_3EN6_B,89.8
46,SRC_CHICK_D0_2PTK_A,89.8
47,SRC_CHICK_D0_3TZ9_B,89.8
48,SRC_CHICK_D0_3TZ8_A,89.8
49,SRC_CHICK_D0_3GEQ_A,89.8
50,SRC_CHICK_D0_3GEQ_B,89.8
51,SRC_CHICK_D0_3U51_B,89.8
52,SRC_CHICK_D0_4FIC_A,89.8
53,SRC_CHICK_D0_4DGG_B,89.8
54,SRC_CHICK_D0_3OF0_A,89.8
55,SRC_CHICK_D0_4AGW_B,89.8
56,SRC_CHICK_D0_3D7U_D,89.8
57,SRC_CHICK_D0_3TZ8_B,89.8
58,SRC_CHICK_D0_3TZ7_A,89.8
59,SRC_CHICK_D0_3U51_A,89.8
60,SRC_CHICK_D0_3F3W_B,89.8
61,SRC_CHICK_D0_3EN4_A,89.8
62,SRC_CHICK_D0_2QLQ_A,89.8
63,SRC_CHICK_D0_4FIC_B,89.8
64,SRC_CHICK_D0_3G5D_B,89.8
65,SRC_CHICK_D0_3EN4_B,89.8
66,SRC_CHICK_D0_3DQX_B,89.8
67,SRC_CHICK_D0_3F3T_A,89.8
68,SRC_CHICK_D0_3DQW_A,89.7
69,SRC_CHICK_D0_3DQW_B,89.7
70,SRC_CHICK_D0_3DQW_D,89.7
71,SRC_HUMAN_D0_2H8H_A,89.4
72,SRC_HUMAN_D0_4MXO_A,89.4
73,SRC_HUMAN_D0_4MXX_A,89.4
74,SRC_HUMAN_D0_4MXZ_B,89.4
75,SRC_HUMAN_D0_4MXO_B,89.4
76,SRC_HUMAN_D0_2BDJ_A,89.4
77,SRC_HUMAN_D0_2SRC_A,89.4
78,SRC_HUMAN_D0_1YOM_B,89.4
79,SRC_HUMAN_D0_4K11_A,89.4
80,SRC_HUMAN_D0_4MXX_B,89.4
81,SRC_HUMAN_D0_4MXY_B,89.4
82,SRC_HUMAN_D0_1YI6_B,89.4
83,SRC_HUMAN_D0_1YOM_A,89.4
84,SRC_HUMAN_D0_1FMK_A,89.4
85,SRC_HUMAN_D0_2BDF_A,89.4
86,SRC_HUMAN_D0_1Y57_A,89.4
87,SRC_HUMAN_D0_1YI6_A,89.4
88,SRC_HUMAN_D0_2BDF_B,89.4
89,SRC_HUMAN_D0_1KSW_A,89.3
90,SRC_CHICK_D0_4MCV_A,89.3
91,SRC_CHICK_D0_3F6X_B,89.3
92,SRC_CHICK_D0_4MCV_B,89.2
93,SRC_CHICK_D0_2QI8_A,89.1
94,SRC_CHICK_D0_3LOK_B,89.0
95,SRC_CHICK_D0_3SVV_A,89.0
96,SRC_CHICK_D0_2HWO_A,88.9
97,SRC_CHICK_D0_2QI8_B,88.9
98,SRC_CHICK_D0_2QQ7_A,88.9
99,SRC_CHICK_D0_4LGH_B,88.9
100,SRC_HUMAN_D0_4MXY_A,88.8
101,SRC_CHICK_D0_3EN7_A,88.8
102,SRC_HUMAN_D0_4MXZ_A,88.8
103,SRC_CHICK_D0_4LGG_A,88.8
104,SRC_CHICK_D0_3SVV_B,88.8
105,SRC_CHICK_D0_3EL7_A,88.7
106,SRC_CHICK_D0_2QQ7_B,88.6
107,SRC_CHICK_D0_2HWP_A,88.6
108,SRC_CHICK_D0_3QLF_B,88.5
109,SRC_CHICK_D0_3EN5_A,88.5
110,SRC_CHICK_D0_3EN7_B,88.5
111,SRC_HUMAN_D0_1YOL_A,88.3
112,SRC_HUMAN_D0_1YOL_B,88.3
113,SRC_HUMAN_D0_1YOJ_A,88.3
114,HCK_HUMAN_D0_2HK5_A,71.0
115,HCK_HUMAN_D0_1QCF_A,70.5
116,HCK_HUMAN_D0_2C0I_A,70.5
117,HCK_HUMAN_D0_3VS5_A,70.5
118,HCK_HUMAN_D0_3VS6_A,70.5
119,HCK_HUMAN_D0_3VS5_B,70.5
120,HCK_HUMAN_D0_3VRZ_A,70.5
121,HCK_HUMAN_D0_3VRY_A,70.5
122,HCK_HUMAN_D0_3VS6_B,70.5
123,HCK_HUMAN_D0_3VS2_A,70.5
124,HCK_HUMAN_D0_3VS4_A,70.5
125,HCK_HUMAN_D0_4LUD_B,70.5
126,HCK_HUMAN_D0_3VS3_A,70.5
127,HCK_HUMAN_D0_2C0O_A,70.5
128,HCK_HUMAN_D0_3VS1_B,70.5
129,HCK_HUMAN_D0_3VRZ_B,70.5
130,HCK_HUMAN_D0_3VS0_B,70.5
131,HCK_HUMAN_D0_3VS0_A,70.5
132,HCK_HUMAN_D0_3VS4_B,70.5
133,HCK_HUMAN_D0_2C0I_B,70.5
134,HCK_HUMAN_D0_4LUE_B,70.5
135,HCK_HUMAN_D0_4LUE_A,70.5
136,HCK_HUMAN_D0_3VRY_B,70.5
137,HCK_HUMAN_D0_3VS7_A,70.5
138,HCK_HUMAN_D0_2C0T_A,70.5
139,HCK_HUMAN_D0_4LUD_A,70.5
140,HCK_HUMAN_D0_2C0O_B,70.5
141,HCK_HUMAN_D0_3VS3_B,70.5
