,has_model,templateid,unique_by_clustering,seqid,rmsd
0,True,STK3_HUMAN_D0_4LG4_C,True,25.0,0.4293834865093231
1,True,SRC_CHICK_D0_4LGH_A,True,57.9,0.5719817280769348
2,False,FGFR2_HUMAN_D0_2PY3_A,False,41.9,
3,True,JAK1_HUMAN_D1_4EHZ_B,True,41.5,0.2843160629272461
4,True,CDK2_HUMAN_D0_3QTU_A,True,27.5,0.986190915107727
5,False,AAPK2_HUMAN_D0_2YZA_A,True,27.7,
6,True,CHK1_HUMAN_D0_4FST_A,True,26.1,0.7294318675994873
7,True,TYK2_MOUSE_D1_4E1Z_A,True,37.6,0.342667818069458
8,True,CDK2_HUMAN_D0_4EOK_C,True,27.5,0.8375431299209595
9,True,IRE1_YEAST_D0_3FBV_H,True,27.5,0.7265881896018982
10,True,FGFR2_HUMAN_D0_3B2T_A,True,41.9,0.28101521730422974
11,False,FGFR1_HUMAN_D0_4F63_A,False,43.4,
12,True,AAPK2_HUMAN_D0_4CFF_C,True,27.7,0.3612108528614044
13,True,PAK4_HUMAN_D0_4FIE_A,True,21.0,0.39768093824386597
14,True,ST32A_HUMAN_D0_4FR4_C,True,25.2,0.3789541721343994
15,True,JAK2_HUMAN_D1_4BBF_C,True,40.3,0.29661351442337036
16,False,FGFR1_HUMAN_D0_3RHX_B,False,43.4,
17,True,MP2K6_HUMAN_D0_3ENM_C,True,28.5,0.8374510407447815
18,True,ABL1_HUMAN_D0_2HYY_C,True,48.4,0.598537027835846
19,True,IGF1R_HUMAN_D0_3F5P_H,True,38.4,0.4929991364479065
20,True,MK14_HUMAN_D0_3O8T_A,True,26.0,0.9454649090766907
21,True,IKKB_HUMAN_D0_4E3C_D,True,26.7,0.6491726040840149
22,True,FAK1_HUMAN_D0_2IJM_A,True,39.5,0.3579225242137909
23,True,PIM1_HUMAN_D0_2O65_A,True,25.7,0.9903383851051331
24,True,EGFR_HUMAN_D0_2ITX_A,True,37.2,0.32162150740623474
25,True,MK14_MOUSE_D0_1YW2_A,True,28.3,1.0630476474761963
26,True,SLK_HUMAN_D0_2JFL_A,True,23.7,0.867343544960022
27,True,TTK_HUMAN_D0_2ZMC_A,True,24.4,0.6100427508354187
28,True,PAK4_HUMAN_D0_4JDJ_A,True,21.0,0.36281776428222656
29,True,SRC_CHICK_D0_3LOK_B,True,58.3,0.7691560387611389
30,True,CDK2_HUMAN_D0_3R9H_A,True,27.5,0.8864609003067017
31,True,MK14_HUMAN_D0_3GCP_A,True,29.1,1.228399395942688
32,True,MK14_MOUSE_D0_4LOP_B,True,29.1,0.8490755558013916
33,True,CDK2_HUMAN_D0_4EOQ_A,True,27.5,0.8080976009368896
34,True,EPHB1_HUMAN_D0_3ZFX_D,True,42.6,0.3088732361793518
35,True,MK14_MOUSE_D0_4LOQ_C,True,29.1,0.772145688533783
36,True,ABL1_MOUSE_D0_3DK7_B,True,49.2,0.3287840187549591
37,True,ABL1_MOUSE_D0_3IK3_B,True,49.2,0.6087803244590759
38,True,MK14_MOUSE_D0_2GTM_A,True,29.1,1.1516212224960327
39,True,MK13_HUMAN_D0_3COI_A,True,26.7,1.0039869546890259
40,True,DAPK2_MOUSE_D0_2YAA_A,True,25.2,0.6657798886299133
41,True,CDK5_HUMAN_D0_1UNL_B,True,25.2,0.6497128009796143
42,True,MP2K1_HUMAN_D0_4AN9_A,True,25.0,0.5366931557655334
43,True,MK14_HUMAN_D0_4KIQ_C,True,29.1,0.9209147691726685
44,True,DAPK2_HUMAN_D0_2CKE_A,True,24.8,0.5799153447151184
45,True,TYK2_HUMAN_D1_4PY1_A,True,37.6,0.30667567253112793
46,True,ACVL1_HUMAN_D0_3MY0_A,True,31.0,0.9369262456893921
47,True,CDK9_HUMAN_D0_4IMY_E,True,26.0,0.7832973599433899
48,True,MKNK1_HUMAN_D0_2HW6_B,True,20.5,1.1619830131530762
49,True,CDK2_HUMAN_D0_4BCO_C,True,27.5,0.7167477011680603
50,True,EPHA3_HUMAN_D0_2QON_A,True,43.4,0.4077252745628357
51,True,GSK3B_HUMAN_D0_1Q5K_A,True,26.7,1.1530472040176392
52,True,KAPCA_MOUSE_D0_4IAC_A,True,23.1,0.8015530705451965
53,True,PLK2_HUMAN_D0_4I6B_A,True,25.1,0.39936563372612
54,True,EPHA3_HUMAN_D0_2QO7_A,True,43.4,0.45535925030708313
55,True,MK14_HUMAN_D0_3NNU_A,True,29.1,0.8137952089309692
56,True,MK14_HUMAN_D0_3HV7_A,True,29.1,1.131085753440857
57,False,FGFR2_HUMAN_D0_4J98_B,False,41.9,
58,True,SRC_HUMAN_D0_1YI6_A,True,58.7,0.26770445704460144
59,True,MUSK_RAT_D0_1LUF_A,True,38.8,0.6212513446807861
60,True,MK14_HUMAN_D0_3DS6_D,True,29.1,0.9217951893806458
61,False,CDK7_HUMAN_D0_1UA2_D,False,25.6,
62,False,ACVL1_HUMAN_D0_3MY0_H,True,31.0,
63,True,SRC_HUMAN_D0_1YOJ_B,True,57.5,1.0860681533813477
64,True,STK24_HUMAN_D0_3CKX_A,True,29.8,0.3648951053619385
