,templateid,seqid
0,EPHB1_HUMAN_D0_3ZFX_G,100.0
1,EPHB1_HUMAN_D0_3ZFX_H,100.0
2,EPHB1_HUMAN_D0_3ZFX_I,100.0
3,EPHB1_HUMAN_D0_3ZFX_D,100.0
4,EPHB1_HUMAN_D0_3ZFX_A,100.0
5,EPHB1_HUMAN_D0_3ZFX_E,100.0
6,EPHB1_HUMAN_D0_3ZFX_B,100.0
7,EPHB1_HUMAN_D0_3ZFX_F,100.0
8,EPHB1_HUMAN_D0_3ZFX_C,100.0
9,EPHB2_MOUSE_D0_1JPA_B,90.9
10,EPHB2_MOUSE_D0_2HEN_A,90.9
11,EPHB2_MOUSE_D0_2HEN_C,90.9
12,EPHB2_MOUSE_D0_1JPA_A,90.9
13,EPHB2_MOUSE_D0_2HEN_D,90.9
14,EPHB2_HUMAN_D0_3ZFM_A,90.9
15,EPHB2_MOUSE_D0_2HEN_B,90.9
16,EPHB3_HUMAN_D0_3ZFY_A,89.8
17,EPHB3_HUMAN_D0_3ZFY_B,89.8
18,EPHB4_HUMAN_D0_2VWU_A,86.7
19,EPHB4_HUMAN_D0_2YN8_A,85.2
20,EPHB4_HUMAN_D0_2YN8_B,84.7
21,EPHA4_MOUSE_D0_2Y6O_A,82.8
22,EPHA4_MOUSE_D0_2XYU_A,82.8
23,EPHA4_MOUSE_D0_2Y6M_A,82.8
24,EPHA4_MOUSE_D0_2HEL_A,82.8
25,EPHA5_HUMAN_D0_2R2P_A,81.9
26,EPHA3_HUMAN_D0_2QOK_A,81.7
27,EPHA7_HUMAN_D0_3DKO_A,81.7
28,EPHA7_HUMAN_D0_2REI_A,81.7
29,EPHA3_HUMAN_D0_4GK2_A,80.5
30,EPHA3_HUMAN_D0_4P4C_A,80.5
31,EPHA3_HUMAN_D0_3FY2_A,80.5
32,EPHA3_HUMAN_D0_4GK3_A,80.5
33,EPHA3_HUMAN_D0_2QO7_A,80.5
34,EPHA3_HUMAN_D0_4GK4_A,80.5
35,EPHA3_HUMAN_D0_2QOD_A,80.5
36,EPHA3_HUMAN_D0_4P5Q_A,80.5
37,EPHA3_HUMAN_D0_2QOC_A,80.5
38,EPHA3_HUMAN_D0_2QOI_A,80.5
39,EPHA3_HUMAN_D0_4P5Z_A,80.5
40,EPHA3_HUMAN_D0_2QOF_A,80.5
41,EPHA3_HUMAN_D0_4G2F_A,80.5
42,EPHA3_HUMAN_D0_2QOB_A,80.5
43,EPHA3_HUMAN_D0_3DZQ_A,80.5
44,EPHA3_HUMAN_D0_2QO2_A,80.5
45,EPHA3_HUMAN_D0_2GSF_A,80.5
46,EPHA3_HUMAN_D0_2QO9_A,80.5
47,EPHA3_HUMAN_D0_3FXX_A,80.5
48,EPHA3_HUMAN_D0_2QOQ_A,80.5
49,EPHA3_HUMAN_D0_2QOO_A,80.5
50,EPHA3_HUMAN_D0_2QON_A,80.5
51,EPHA3_HUMAN_D0_2QOL_A,80.5
52,EPHA2_HUMAN_D0_4PDO_A,74.9
53,EPHA2_HUMAN_D0_4PDO_B,74.9
54,EPHA2_HUMAN_D0_1MQB_A,74.9
55,EPHA2_HUMAN_D0_1MQB_B,74.9
56,EPHA2_HUMAN_D0_4P2K_A,74.9
57,EPHA2_HUMAN_D0_4TRL_A,74.8
58,EPHA8_HUMAN_D0_3KUL_A,71.4
59,EPHA8_HUMAN_D0_3KUL_B,70.8
60,SRC_CHICK_D0_2HWO_A,48.9
61,SRC_CHICK_D0_2QI8_A,48.3
62,SRC_CHICK_D0_3LOK_B,48.2
63,SRC_CHICK_D0_2QQ7_A,47.8
64,SRC_CHICK_D0_2QQ7_B,47.7
65,LCK_HUMAN_D0_2OFV_B,47.4
66,SRC_CHICK_D0_3EN7_A,47.1
67,SRC_CHICK_D0_4LGH_B,47.1
68,SRC_CHICK_D0_4LGG_A,46.9
69,SRC_CHICK_D0_3EL7_A,46.8
70,SRC_CHICK_D0_3SVV_A,46.8
