,templateid,seqid
0,SRC_CHICK_D0_2QQ7_A,57.1
1,SRC_CHICK_D0_3EN7_A,57.0
2,SRC_CHICK_D0_2HWO_A,56.9
3,SRC_CHICK_D0_3EN7_B,56.7
4,SRC_CHICK_D0_3EN5_A,56.4
5,SRC_CHICK_D0_2QQ7_B,56.4
6,SRC_CHICK_D0_3LOK_B,56.4
7,SRC_CHICK_D0_4LGH_B,56.4
8,SRC_HUMAN_D0_1YOJ_A,56.3
9,SRC_CHICK_D0_2QI8_A,56.1
10,SRC_CHICK_D0_2HWP_A,55.9
11,SRC_CHICK_D0_2QI8_B,55.6
12,SRC_CHICK_D0_3F6X_B,55.4
13,SRC_CHICK_D0_3SVV_A,55.3
14,SRC_CHICK_D0_4MCV_A,55.0
15,SRC_CHICK_D0_4LGG_A,54.9
16,SRC_CHICK_D0_4MCV_B,54.8
17,SRC_HUMAN_D0_1YOL_B,54.3
18,SRC_HUMAN_D0_1YOL_A,54.3
19,SRC_CHICK_D0_3EL7_A,54.1
20,SRC_HUMAN_D0_1YOJ_B,54.0
21,SRC_CHICK_D0_3SVV_B,53.9
22,SRC_HUMAN_D0_4MXY_A,53.5
23,SRC_HUMAN_D0_4MXZ_A,53.5
24,SRC_CHICK_D0_3TZ9_B,53.2
25,SRC_CHICK_D0_3LOK_A,53.2
26,SRC_CHICK_D0_2OIQ_B,53.2
27,SRC_CHICK_D0_3TZ8_A,53.2
28,SRC_CHICK_D0_3EN4_B,53.2
29,SRC_CHICK_D0_3D7U_D,53.2
30,SRC_CHICK_D0_3U51_B,53.2
31,SRC_CHICK_D0_3EN4_A,53.2
32,SRC_CHICK_D0_3F3W_B,53.2
33,SRC_CHICK_D0_3TZ9_A,53.2
34,SRC_CHICK_D0_4LGG_B,53.2
35,SRC_CHICK_D0_4DGG_A,53.2
36,SRC_CHICK_D0_3TZ7_A,53.2
37,SRC_CHICK_D0_3F6X_A,53.2
38,SRC_CHICK_D0_3QLF_A,53.2
39,SRC_CHICK_D0_2PTK_A,53.2
40,SRC_CHICK_D0_3F3T_B,53.2
41,SRC_CHICK_D0_3QLG_A,53.2
42,SRC_CHICK_D0_3OEZ_A,53.2
43,SRC_CHICK_D0_3F6X_C,53.2
44,SRC_CHICK_D0_3OF0_B,53.2
45,SRC_CHICK_D0_2QLQ_B,53.2
46,SRC_CHICK_D0_3U4W_A,53.2
47,SRC_CHICK_D0_3F3T_A,53.2
48,SRC_CHICK_D0_3UQG_A,53.2
49,SRC_CHICK_D0_3TZ8_B,53.2
50,SRC_CHICK_D0_3D7T_B,53.2
51,SRC_CHICK_D0_3UQF_A,53.2
52,SRC_CHICK_D0_3UQF_B,53.2
53,SRC_CHICK_D0_3TZ7_B,53.2
54,SRC_CHICK_D0_3F3U_A,53.2
55,SRC_CHICK_D0_4U5J_B,53.2
56,SRC_CHICK_D0_3F3V_B,53.2
57,SRC_CHICK_D0_3EN6_B,53.2
58,SRC_CHICK_D0_3F3W_A,53.2
59,SRC_CHICK_D0_3G5D_A,53.2
60,SRC_CHICK_D0_3DQX_A,53.2
61,SRC_CHICK_D0_4U5J_A,53.2
62,SRC_CHICK_D0_4FIC_A,53.2
63,SRC_CHICK_D0_3EL8_A,53.2
64,SRC_CHICK_D0_3G6G_B,53.2
65,SRC_CHICK_D0_4AGW_B,53.2
66,SRC_CHICK_D0_3F6X_D,53.2
67,SRC_CHICK_D0_3G6G_A,53.2
68,SRC_CHICK_D0_3QLG_B,53.2
69,SRC_CHICK_D0_2HWO_B,53.2
70,SRC_CHICK_D0_3U51_A,53.2
71,SRC_CHICK_D0_3OEZ_B,53.2
72,SRC_CHICK_D0_3UQG_B,53.2
73,SRC_CHICK_D0_4LGH_A,53.2
74,SRC_CHICK_D0_2HWP_B,53.2
75,SRC_CHICK_D0_3EL8_B,53.2
76,SRC_CHICK_D0_3F3U_B,53.2
77,SRC_CHICK_D0_4AGW_A,53.2
78,SRC_CHICK_D0_3QLF_B,53.2
79,SRC_CHICK_D0_3G6H_B,53.2
80,SRC_CHICK_D0_3EN6_A,53.2
81,SRC_CHICK_D0_3EN5_B,53.2
82,SRC_CHICK_D0_3GEQ_A,53.2
83,SRC_CHICK_D0_2OIQ_A,53.2
84,SRC_CHICK_D0_3G5D_B,53.2
85,SRC_CHICK_D0_4FIC_B,53.2
86,SRC_CHICK_D0_3D7U_B,53.2
87,SRC_CHICK_D0_3GEQ_B,53.2
88,SRC_CHICK_D0_3DQX_B,53.2
89,SRC_CHICK_D0_4DGG_B,53.2
90,SRC_CHICK_D0_3F3V_A,53.2
91,SRC_CHICK_D0_2QLQ_A,53.2
